row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sảnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,563.091.144.114,4.128.553.570.400,200.630.701.973,33.762.296.721,21.454.447.263,4.947.492.160.471,563091144114.0,4128553570400.0,200630701973.0,33762296721.0,21454447263.0,4947492160471.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,126.000.384.220,1.006.791.572.009,52.063.468.125,9.576.593.702,616.618.651,1.195.048.636.707,126000384220.0,1006791572009.0,52063468125.0,9576593702.0,616618651.0,1195048636707.0
Chuyển từ tài sản hữu hình thuê tài chính,Giá trị hao mòn lũy kế > Chuyển từ tài sản hữu hình thuê tài chính,Chuyển từ tài sản hữu hình thuê tài chính,-,6.317.615.506,17.798.334.682,3.865.326.067,-,27.981.276.255,,6317615506.0,17798334682.0,3865326067.0,,27981276255.0
Phân loại sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Phân loại sang chi phí trả trước dài hạn,Phân loại sang chi phí trả trước dài hạn,-,371.881.966,-,-,-,371.881.966,,371881966.0,,,,371881966.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,1.059.780.286,-,(1.059.780.286),-,-,,1059780286.0,,-1059780286.0,,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(57.667.080.137),(1.193.567.964),-,-,(58.860.648.101),,-57667080137.0,-1193567964.0,,,-58860648101.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(44.653.651.475),(370.000.000),-,-,(45.023.651.475),,-44653651475.0,-370000000.0,,,-45023651475.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,689.091.528.334,5.040.773.688.555,268.928.936.816,46.144.436.204,22.071.065.914,6.067.009.655.823,689091528334.0,5040773688555.0,268928936816.0,46144436204.0,22071065914.0,6067009655823.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.883.719.487.837,6.044.554.978.952,212.044.719.390,40.804.600.000,5.595.927.660,8.186.719.713.839,1883719487837.0,6044554978952.0,212044719390.0,40804600000.0,5595927660.0,8186719713839.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.782.323.541.523,5.232.536.494.820,201.136.322.620,41.452.609.716,4.979.309.009,7.262.428.277.688,1782323541523.0,5232536494820.0,201136322620.0,41452609716.0,4979309009.0,7262428277688.0
