row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Công ty Cổ phần Vicem Vật liệu xây dựng Đà Nẵng,Phải trả người bán ngắn hạn > Công ty Cổ phần Vicem Vật liệu xây dựng Đà Nẵng,Công ty Cổ phần Vicem Vật liệu xây dựng Đà Nẵng,Bên liên quan,Mua vò bao,(579.451.752),-,,,-579451752.0,
Công ty Tư vấn Đầu tư Phát triển Xi măng,Phải trả người bán ngắn hạn > Công ty Tư vấn Đầu tư Phát triển Xi măng,Công ty Tư vấn Đầu tư Phát triển Xi măng,Bên liên quan,Phí tư vấn,(259.501.300),(2.314.121.030),,,-259501300.0,-2314121030.0
Công ty Cổ phần Xi măng Vicem Hải Vân,Phải trả người bán ngắn hạn > Công ty Cổ phần Xi măng Vicem Hải Vân,Công ty Cổ phần Xi măng Vicem Hải Vân,Bên liên quan,Mua clinker,(554.002),-,,,-554002.0,
Công ty Cổ phần Vicem Thạch Cao Xi măng,Phải trả người bán ngắn hạn > Công ty Cổ phần Vicem Thạch Cao Xi măng,Công ty Cổ phần Vicem Thạch Cao Xi măng,Bên liên quan,Mua thạch cao,-,(2.128.500.000),,,,-2128500000.0
Nhà Máy Vật liệu Chịu lửa Kiềm tính Việt Nam,Phải trả người bán ngắn hạn > Nhà Máy Vật liệu Chịu lửa Kiềm tính Việt Nam,Nhà Máy Vật liệu Chịu lửa Kiềm tính Việt Nam,Bên liên quan,Mua gạch,(77.696.850),(1.630.418.405),,,-77696850.0,-1630418405.0
,,,,,(210.471.347.810),(174.317.953.946),,,-210471347810.0,-174317953946.0
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,,,,
Tổng Công ty Công nghiệp Xi măng Việt Nam,Chi phí phải trả ngắn hạn > Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Chi phí lãi vay,(619.954.051),(309.977.025),,,-619954051.0,-309977025.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,
Tổng Công ty Công nghiệp Xi măng Việt Nam,Vay dài hạn > Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Vay dài hạn,(17.568.573.607),(17.568.573.607),,,-17568573607.0,-17568573607.0
