row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2022 > Giá gốc,Ngày 31 tháng 12 năm 2022 > Giá trị ghi số(sau khi trích lập dự phòng),Ngày 31 tháng 12 năm 2021 > Giá gốc,Ngày 31 tháng 12 năm 2021 > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Ngày 31 tháng 12 năm 2022 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2022 > Giá trị ghi số(sau khi trích lập dự phòng),numeric__Ngày 31 tháng 12 năm 2021 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2021 > Giá trị ghi số(sau khi trích lập dự phòng)
Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết > Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,26.082.158.236,10.071.077.626,26.533.223.424,12.692.018.024,26082158236.0,10071077626.0,26533223424.0,12692018024.0
,,,78.882.158.236,37.411.577.626,79.333.223.424,41.732.018.024,78882158236.0,37411577626.0,79333223424.0,41732018024.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,,,
BVPF,Chứng chỉ quỹ > BVPF,BVPF,77.000.000.000,77.000.000.000,77.000.000.000,77.000.000.000,77000000000.0,77000000000.0,77000000000.0,77000000000.0
BVBF,Chứng chỉ quỹ > BVBF,BVBF,60.000.000.000,60.000.000.000,60.000.000.000,60.000.000.000,60000000000.0,60000000000.0,60000000000.0,60000000000.0
BVFED,Chứng chỉ quỹ > BVFED,BVFED,55.000.000.000,55.000.000.000,55.000.000.000,55.000.000.000,55000000000.0,55000000000.0,55000000000.0,55000000000.0
E1VFVN30,Chứng chỉ quỹ > E1VFVN30,E1VFVN30,37.103.641.629,34.661.559.700,19.612.419.582,19.612.419.582,37103641629.0,34661559700.0,19612419582.0,19612419582.0
Khác,Chứng chỉ quỹ > Khác,Khác,36.275.001.731,33.156.292.770,35.759.377.426,35.740.651.869,36275001731.0,33156292770.0,35759377426.0,35740651869.0
,,,265.378.643.360,259.817.852.470,247.371.797.008,247.353.071.451,265378643360.0,259817852470.0,247371797008.0,247353071451.0
Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,,,,
Công ty Cổ Phần Đầu tư và Phát triển Du lịch Phú Quốc,Trái phiếu > Công ty Cổ Phần Đầu tư và Phát triển Du lịch Phú Quốc,Công ty Cổ Phần Đầu tư và Phát triển Du lịch Phú Quốc,49.999.965.684,49.999.965.684,-,-,49999965684.0,49999965684.0,,
Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Trái phiếu > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,50.000.000.000,50.000.000.000,50.000.000.000,50.000.000.000,50000000000.0,50000000000.0,50000000000.0,50000000000.0
Khác,Trái phiếu > Khác,Khác,86.928.475.097,86.928.475.097,550.125.708.918,550.125.708.918,86928475097.0,86928475097.0,550125708918.0,550125708918.0
,,,186.928.440.781,186.928.440.781,600.125.708.918,600.125.708.918,186928440781.0,186928440781.0,600125708918.0,600125708918.0
TỔNG CỘNG,Trái phiếu > TỔNG CỘNG,TỔNG CỘNG,2.925.305.389.000,2.625.284.601.086,2.842.449.430.183,2.796.236.651.509,2925305389000.0,2625284601086.0,2842449430183.0,2796236651509.0
