row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy móc vàthiết bị,"Phương tiện vântai, truyền dẫn","Thiết bị, dụngcụ quản lý",Tài sảncố định khác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc vàthiết bị,"numeric__Phương tiện vântai, truyền dẫn","numeric__Thiết bị, dụngcụ quản lý",numeric__Tài sảncố định khác,numeric__Cộng
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,329.715.938.253,319.761.350.248,55.422.879.284,2.654.725.699,11.985.856.850,719.540.750.334,329715938253.0,319761350248.0,55422879284.0,2654725699.0,11985856850.0,719540750334.0
Khấu hao tài sản cố định hình thành từquỹ khen thưởng,Giá trị hao mòn > Khấu hao tài sản cố định hình thành từquỹ khen thưởng,Khấu hao tài sản cố định hình thành từquỹ khen thưởng,68.544.647,-,-,-,-,68.544.647,68544647.0,,,,,68544647.0
Hao mòn tài sản thuê tài chính mua lại,Giá trị hao mòn > Hao mòn tài sản thuê tài chính mua lại,Hao mòn tài sản thuê tài chính mua lại,-,5.997.838.145,-,-,-,5.997.838.145,,5997838145.0,,,,5997838145.0
"Thanh lý, nhượng bán","Giá trị hao mòn > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(46.355.152.495),(67.816.908.733),(740.888.276),-,(114.912.949.504),,-46355152495.0,-67816908733.0,-740888276.0,,-114912949504.0
Giảm do sự cố cháy nổ,Giá trị hao mòn > Giảm do sự cố cháy nổ,Giảm do sự cố cháy nổ,-,(8.091.975.715),-,-,-,(8.091.975.715),,-8091975715.0,,,,-8091975715.0
Phân loại lại,Giá trị hao mòn > Phân loại lại,Phân loại lại,1.546.609.716,84.058.946.221,12.683.388.027,2.683.283.321,(100.972.227.285),-,1546609716.0,84058946221.0,12683388027.0,2683283321.0,-100972227285.0,
Tăng giảm khác,Giá trị hao mòn > Tăng giảm khác,Tăng giảm khác,(697.161.026),2.239.231.984,-,3.332.774,-,1.545.403.732,-697161026.0,2239231984.0,,3332774.0,,1545403732.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,3.316.434.073.931,4.610.822.468.080,896.217.196.895,26.882.646.672,64.977.561.364,8.915.333.946.942,3316434073931.0,4610822468080.0,896217196895.0,26882646672.0,64977561364.0,8915333946942.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,6.487.358.614.008,2.618.182.845.831,268.283.770.542,6.813.952.981,698.221.566.805,10.078.860.750.167,6487358614008.0,2618182845831.0,268283770542.0,6813952981.0,698221566805.0,10078860750167.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,6.278.195.854.757,2.678.123.911.549,261.266.964.711,6.582.757.649,207.663.765.832,9.431.833.254.498,6278195854757.0,2678123911549.0,261266964711.0,6582757649.0,207663765832.0,9431833254498.0
