row_label_raw,row_label_full,col_0,Nhà xưởng và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị quản lý VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà xưởng và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị quản lý VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,22.633.413.552,1.372.325.947.887,22.779.111.136,452.641.729.186,8.426.478.137,1.878.806.679.898,22633413552.0,1372325947887.0,22779111136.0,452641729186.0,8426478137.0,1878806679898.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,6.565.025.443,465.223.513.473,3.226.089.284,42.767.577.698,15.728.203.183,533.510.409.081,6565025443.0,465223513473.0,3226089284.0,42767577698.0,15728203183.0,533510409081.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,6.565.025.443,465.233.696.734,3.226.089.284,42.767.577.698,15.718.019.922,533.510.409.081,6565025443.0,465233696734.0,3226089284.0,42767577698.0,15718019922.0,533510409081.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,(10.183.261),-,-,10.183.261,-,,-10183261.0,,,10183261.0,
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,4.889.650.814,573.918.727,7.795.729.855,-,13.259.299.396,,4889650814.0,573918727.0,7795729855.0,,13259299396.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,4.889.650.814,573.918.727,6.498.879.172,-,11.962.448.713,,4889650814.0,573918727.0,6498879172.0,,11962448713.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,-,-,-,1.296.850.683,-,1.296.850.683,,,,1296850683.0,,1296850683.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,29.198.438.995,1.832.659.810.546,25.431.281.693,487.613.577.029,24.154.681.320,2.399.057.789.583,29198438995.0,1832659810546.0,25431281693.0,487613577029.0,24154681320.0,2399057789583.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,125.123.206.570,2.629.069.761.023,28.564.857.963,89.252.955.039,60.237.057.254,2.932.247.837.849,125123206570.0,2629069761023.0,28564857963.0,89252955039.0,60237057254.0,2932247837849.0
Tại ngày 31/12/2014,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,131.760.297.013,1.694.492.309.436,29.534.025.428,118.829.775.128,19.740.465.826,1.994.356.872.831,131760297013.0,1694492309436.0,29534025428.0,118829775128.0,19740465826.0,1994356872831.0
