row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1)
Phải thu dài hạn của khách hàng (Thuyết minh số 6.1),Phải thu dài hạn của khách hàng (Thuyết minh số 6.1),Phải thu dài hạn của khách hàng (Thuyết minh số 6.1),Phải thu dài hạn của khách hàng (Thuyết minh số 6.1),Phải thu dài hạn của khách hàng (Thuyết minh số 6.1),Phải thu dài hạn của khách hàng (Thuyết minh số 6.1),Phải thu dài hạn của khách hàng (Thuyết minh số 6.1),,,,
Công ty An Cường,Phải thu dài hạn của khách hàng (Thuyết minh số 6.1) > Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn (kể từ ngày 31 tháng 12 năm 2020),Bản hàng hóa,35.000.000.000,-,,,35000000000.0,
,,,,,35.000.000.000,-,,,35000000000.0,
Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),,,,
Công ty An Thành Singapore,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty con,Bản hàng hóa,16.304.506.611,5.420.411.404,,,16304506611.0,5420411404.0
An Phát International Inc,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > An Phát International Inc,An Phát International Inc,Công ty cùng lãnh đạo chủ chốt,Bản hàng hóa,14.851.991.594,-,,,14851991594.0,
Công ty An Trung,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Công ty An Trung,Công ty An Trung,Công ty cùng Tập đoàn,Bản hàng hóa,6.823.799.288,-,,,6823799288.0,
Ankor Bioplastics Co.Ltd,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Ankor Bioplastics Co.Ltd,Ankor Bioplastics Co.Ltd,Công ty có cùng lãnh đạo chủ chốt,Mua hàng hóa,2.452.714.488,-,,,2452714488.0,
Công ty An Tiến,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Công ty An Tiến,Công ty An Tiến,Công ty con,Mua hàng hóa,-,29.766.857.210,,,,29766857210.0
,,,,,40.433.011.981,35.187.268.614,,,40433011981.0,35187268614.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),,,,
Công ty An Phát Complex,Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Cho vay,79.660.000.000,-,,,79660000000.0,
,,,,,79.660.000.000,-,,,79660000000.0,
