row_label_raw,row_label_full,Bên liên quan,Mối liên kết,Số dư,Phải thu / (phải trả),numeric__Mối liên kết,numeric__Số dư,numeric__Phải thu / (phải trả)
Công ty CP Văn Công nghiệp Trường Thành (TTBD3),Công ty CP Văn Công nghiệp Trường Thành (TTBD3),Công ty CP Văn Công nghiệp Trường Thành (TTBD3),Công ty con,Phải thu,"141,822,317,792",,,
Công ty CP Lâm nghiệp Trường Thành (ĐắkNông),Công ty CP Lâm nghiệp Trường Thành (ĐắkNông),Công ty CP Lâm nghiệp Trường Thành (ĐắkNông),Công ty con,Phải thu,"146,854,854",,,
Công ty CP Trường Thành Xanh (TTG),Công ty CP Trường Thành Xanh (TTG),Công ty CP Trường Thành Xanh (TTG),Công ty con,Phải trả,"(20,974,936,190)",,,
Công ty CP Trường Thành Xanh (TTG),Công ty CP Trường Thành Xanh (TTG),Công ty CP Trường Thành Xanh (TTG),Công ty con,Phải trả khác,"(3,408,493,106)",,,
Công ty CP Công nghiệp Gỗ Trường Thành (TTI),Công ty CP Công nghiệp Gỗ Trường Thành (TTI),Công ty CP Công nghiệp Gỗ Trường Thành (TTI),Công ty con,Phải trả,"(4,222,102,455)",,,
Công ty CP Trồng rừng Trường Thành (TTDL4),Công ty CP Trồng rừng Trường Thành (TTDL4),Công ty CP Trồng rừng Trường Thành (TTDL4),Công ty con,Phải thu,"388,878,614",,,
Công ty CP Trồng rừng Trường Thành (TTDL4),Công ty CP Trồng rừng Trường Thành (TTDL4),Công ty CP Trồng rừng Trường Thành (TTDL4),Công ty con,Phải thu cho vay,"5,283,172,288",,,
Công ty CP Trồng rừng Trường Thành (TTDL4),Công ty CP Trồng rừng Trường Thành (TTDL4),Công ty CP Trồng rừng Trường Thành (TTDL4),Công ty con,Phải thu khác,"1,141,209,253",,,
Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty con,Phải thu,"672,289,581",,,
Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty con,Phải thu cho vay,"64,949,000,000",,,
Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty con,Phải thu khác,"3,500,911,668",,,
Công ty CP Thương mại XNK Trường Thành ĐakNông,Công ty CP Thương mại XNK Trường Thành ĐakNông,Công ty CP Thương mại XNK Trường Thành ĐakNông,Công ty con,Phải thu khác,"24,309,502,815",,,
Công ty CP Thương mại XNK Trường Thành ĐakNông,Công ty CP Thương mại XNK Trường Thành ĐakNông,Công ty CP Thương mại XNK Trường Thành ĐakNông,Công ty con,Phải thu,"93,223,988,180",,,
Công ty CP Nông Lâm nghiệp Trường Thành,Công ty CP Nông Lâm nghiệp Trường Thành,Công ty CP Nông Lâm nghiệp Trường Thành,Công ty con,Phải thu,"284,349,320",,,
Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty con,Phải trả khác,"(51,141,316)",,,
Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty con,Phải thu cho vay,"4,700,000,000",,,
Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty con,Phải thu khác,"400,000,000",,,
Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty con,Phải thu khác,"291,716,668",,,
Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty con,Phải thu,"1,166,035,491",,,
Công ty TNHH Trồng rừng Trường Thành Oji,Công ty TNHH Trồng rừng Trường Thành Oji,Công ty TNHH Trồng rừng Trường Thành Oji,Công ty liên doanh,Phải thu cho vay,"28,920,848,000",,,
Công ty CP VLXD Trường Thành - Phước An,Công ty CP VLXD Trường Thành - Phước An,Công ty CP VLXD Trường Thành - Phước An,Cùng tập đoàn,Phải thu,"1,541,783,102",,,
Công ty CP VLXD Trường Thành - Phước An,Công ty CP VLXD Trường Thành - Phước An,Công ty CP VLXD Trường Thành - Phước An,Cùng tập đoàn,Phải thu cho vay,"9,506,757,500",,,
Công ty CP VLXD Trường Thành - Phước An,Công ty CP VLXD Trường Thành - Phước An,Công ty CP VLXD Trường Thành - Phước An,Cùng tập đoàn,Phải thu khác,"1,962,401,740",,,
Công ty CP Nông Lâm Công nghiệp Trường An,Công ty CP Nông Lâm Công nghiệp Trường An,Công ty CP Nông Lâm Công nghiệp Trường An,Cùng tập đoàn,Phải trả,"(230,051,375)",,,
Công ty CP Nông Lâm Công nghiệp Trường An,Công ty CP Nông Lâm Công nghiệp Trường An,Công ty CP Nông Lâm Công nghiệp Trường An,Cùng tập đoàn,Phải thu khác,"5,000,000",,,
Công ty CP Nông Lâm Công nghiệp Trường An,Công ty CP Nông Lâm Công nghiệp Trường An,Công ty CP Nông Lâm Công nghiệp Trường An,Cùng tập đoàn,Phải thu cho vay,"5,000,000,000",,,
Ông Võ Diệp Anh Tuấn,Ông Võ Diệp Anh Tuấn,Ông Võ Diệp Anh Tuấn,Phó Tổng Giám đốc,Phải trả khác,"(3,401,000,000)",,,
