row_label_raw,row_label_full,Bên liên quan,Mối liên kết,Nội dung,Số tiền,numeric__Mối liên kết,numeric__Nội dung,numeric__Số tiền
Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty con,Nhận cung cấp dịch vụ,"(150,000,000)",,,
Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty con,Cung cấp dịch vụ,"6,818,182",,,
Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty CP Lâm nghiệp Trường Thành,Công ty con,Bán nguyên vật liệu,"43,910,000",,,
Công ty CP Thương mại XNK Trường Thành ĐakNông,Công ty CP Thương mại XNK Trường Thành ĐakNông,Công ty CP Thương mại XNK Trường Thành ĐakNông,Công ty con,Bán nguyên vật liệu,"351,024,791,321",,,
Công ty CP Thương mại XNK Trường Thành ĐakNông,Công ty CP Thương mại XNK Trường Thành ĐakNông,Công ty CP Thương mại XNK Trường Thành ĐakNông,Công ty con,Mua hàng,"(207,571,573,813)",,,
Công ty CP Trồng rừng Trường Thành (TTDL4),Công ty CP Trồng rừng Trường Thành (TTDL4),Công ty CP Trồng rừng Trường Thành (TTDL4),Công ty con,Cung cấp dịch vụ,"6,818,182",,,
Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty con,Bán nguyên vật liệu,"106,086,950",,,
Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty con,Bán TSCĐ,"190,000,000",,,
Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty con,Mua TSCĐ,"(272,250,000)",,,
Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty con,Nhận cung cấp dịch vụ,"(110,750,000)",,,
Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty CP Chế biến Gỗ Trường Thành M'drak,Công ty con,Mua hàng,"(14,844,884,326)",,,
Ban điều hành,Ban điều hành,Ban điều hành,,Thu nhập,"4,953,031,000",,,
