row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh.,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh.,numeric__Số cuối năm,numeric__Số đầu năm
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,"(36,876,720,341)","(7,372,860,741)",149.0,,,
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,"24,826,805,256","3,324,431,897",150.0,,,
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,V.12a,"1,033,542,305","1,368,286,321",151.0,,,
2. Thuế và các khoản khác phải thu Nhà nước,2. Thuế và các khoản khác phải thu Nhà nước,2. Thuế và các khoản khác phải thu Nhà nước,153,V.16b,"23,793,262,951","1,956,145,576",153.0,,,
B. Tài sản dài hạn,B. Tài sản dài hạn,B. Tài sản dài hạn,200,,"810,419,113,855","682,704,215,046",200.0,,,
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,"39,486,954,816","18,879,016,866",210.0,,,
1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,1. Trả trước cho người bán dài hạn,212,V.03b,"25,865,164,805","19,702,765,383",212.0,,,
2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,2. Phải thu dài hạn khác,216,V.05b,"17,967,996,219","1,150,000,000",216.0,,,
3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,3. Dự phòng phải thu dài hạn khó đòi,219,V.08,"(4,346,206,208)","(1,973,748,517)",219.0,,,
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,"79,614,802,279","19,189,389,123",220.0,,,
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,V.07,"79,575,174,046","13,868,732,538",221.0,,,
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,"113,184,767,946","43,067,266,763",222.0,,,
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,"(33,609,593,900)","(29,198,534,225)",223.0,,,
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,V.09,"39,628,233","5,320,656,585",227.0,,,
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,"494,272,894","5,750,272,894",228.0,,,
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,"(454,644,661)","(429,616,309)",229.0,,,
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,,-,-,230.0,,,
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,,"118,504,628,272","137,849,989,195",240.0,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,V.10,"78,756,299,992","63,554,910,106",241.0,,,
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,V.11,"39,748,328,280","74,295,079,089",242.0,,,
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,,"513,216,372,380","483,681,022,355",250.0,,,
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,V.13.2,"367,985,487,443","364,685,487,443",251.0,,,
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,V.13.2,"120,455,473,000","96,191,518,700",252.0,,,
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,V.13.2,"58,359,784,766","59,034,784,766",253.0,,,
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,V.13.2,"(42,316,372,829)","(53,513,348,554)",254.0,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,5. Đầu tư nắm giữ đến ngày đáo hạn,5. Đầu tư nắm giữ đến ngày đáo hạn,255,V.13.1,"8,732,000,000","17,282,580,000",255.0,,,
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,"59,596,356,108","23,104,797,507",260.0,,,
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,V.12b,"59,596,356,108","23,031,600,152",261.0,,,
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,,-,"73,197,355",262.0,,,
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,"3,512,693,533,850","2,977,258,541,549",270.0,,,
