row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
24,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 24,24,"Tiền thu hồi cho vay, bản lại các đầu tư nàm giữ đến ngày đáo hạn",,156.500.000.000,28.000.000.000,,,156500000000.0,28000000000.0
25,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 25,25,Tiền chi đầu tư góp vốn vào công ty con,,(415.254.912.329),(1.500.000.000),,,-415254912329.0,-1500000000.0
27,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,14.025.676.372,40.168.882.612,,,14025676372.0,40168882612.0
30,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(2.217.440.219.350),(745.588.173.860),,,-2217440219350.0,-745588173860.0
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 31,31,Tiền thu từ phát hành cổ phiếu,,27.890.000.000,22.110.000.000,,,27890000000.0,22110000000.0
33,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 33,33,Tiền thu từ vay ngắn hạn,18,27.687.476.327.112,31.261.321.526.957,,18.0,27687476327112.0,31261321526957.0
34,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 34,34,Tiền chi trả nợ gốc vay,18,(28.725.153.444.486),(28.854.393.170.251),,18.0,-28725153444486.0,-28854393170251.0
36,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 36,36,Tiền chi trả cổ tức cho chủ sở hữu,21,(310.104.306.500),(307.574.177.800),,21.0,-310104306500.0,-307574177800.0
40,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(1.319.891.423.874),2.121.464.178.906,,,-1319891423874.0,2121464178906.0
50,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 50,50,Lưu chuyển tiền thuần trong năm,,(69.353.041.498),(75.249.367.664),,,-69353041498.0,-75249367664.0
60,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 60,60,Tiền và tương đương tiền đầu năm,3,427.778.817.941,501.386.999.566,,3.0,427778817941.0,501386999566.0
61,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 61,61,Ảnh hưởng của thay đổi tỷ giả hối đoai quy đổi ngoại tệ,,(758.363.239),1.641.186.039,,,-758363239.0,1641186039.0
70,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 70,70,Tiền và tương đương tiền cuối năm,3,357.667.413.204,427.778.817.941,,3.0,357667413204.0,427778817941.0
