row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,Vật nuôi và câytrồng lâu năm,Tài sản khác,Ngàn VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Vật nuôi và câytrồng lâu năm,numeric__Tài sản khác,numeric__Ngàn VNDTổng cộng
Chênh lệch tỷ giá,Giá trị khấu hao lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,6.448.495,1.093.578,3.002.517,(3.478),10.899.244,43.301,21.483.657,6448495.0,1093578.0,3002517.0,-3478.0,10899244.0,43301.0,21483657.0
Giảm trong năm,Giá trị khấu hao lũy kế > Giảm trong năm,Giảm trong năm,24.017.812,38.837.047,19.250.207,623.012,18.137.468,926.787,101.792.333,24017812.0,38837047.0,19250207.0,623012.0,18137468.0,926787.0,101792333.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,23.674.949,6.760.085,14.512.656,623.012,18.137.468,926.787,64.634.957,23674949.0,6760085.0,14512656.0,623012.0,18137468.0,926787.0,64634957.0
Thanh lý công ty con,Giá trị khấu hao lũy kế > Thanh lý công ty con,Thanh lý công ty con,342.863,32.076.962,4.737.551,-,-,-,37.157.376,342863.0,32076962.0,4737551.0,,,,37157376.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(363.144.371),(438.078.851),(337.804.895),(5.385.475),(247.096.781),(20.311.381),(1.411.821.754),-363144371.0,-438078851.0,-337804895.0,-5385475.0,-247096781.0,-20311381.0,-1411821754.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.775.544.808,1.374.685.305,1.036.505.621,3.455.784,1.942.926.616,43.660.285,6.176.778.419,1775544808.0,1374685305.0,1036505621.0,3455784.0,1942926616.0,43660285.0,6176778419.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.986.044.782,1.623.039.045,1.660.542.555,2.845.579,2.363.248.582,29.272.654,8.664.993.197,2986044782.0,1623039045.0,1660542555.0,2845579.0,2363248582.0,29272654.0,8664993197.0
Trong đó:Tài sản sử dụng để cấm cố /thế chấpcác khoản vay (TM số 25),Giá trị còn lại > Trong đó:Tài sản sử dụng để cấm cố /thế chấpcác khoản vay (TM số 25),Trong đó:Tài sản sử dụng để cấm cố /thế chấpcác khoản vay (TM số 25),2.986.044.782,1.623.039.045,1.660.542.555,-,2.363.248.582,-,8.632.874.964,2986044782.0,1623039045.0,1660542555.0,,2363248582.0,,8632874964.0
Nguyên giá của tài sản đã khấu hao hết,Giá trị còn lại > Nguyên giá của tài sản đã khấu hao hết,Nguyên giá của tài sản đã khấu hao hết,7.281.034,11.635.053,20.643.098,1.736.435,-,1.500.217,42.795.837,7281034.0,11635053.0,20643098.0,1736435.0,,1500217.0,42795837.0
