row_label_raw,row_label_full,col_0,Bất động sản,Sản xuất,Thương mại và dịch vụ,Xây dựng,Nông nghiệp,Năng lượng,Khoáng sản,Loại trừ,Ngân VNDTổng công,numeric__Bất động sản,numeric__Sản xuất,numeric__Thương mại và dịch vụ,numeric__Xây dựng,numeric__Nông nghiệp,numeric__Năng lượng,numeric__Khoáng sản,numeric__Loại trừ,numeric__Ngân VNDTổng công
Chi phí tài chính,"Lỗ trước thuế, thu nhập > Chi phí tài chính",Chi phí tài chính,,,,,,,,,(1.674.519.826),,,,,,,,,-1674519826.0
Lợi nhuận từ công ty liên kết,"Lỗ trước thuế, thu nhập > Lợi nhuận từ công ty liên kết",Lợi nhuận từ công ty liên kết,,,,,,,,,11.710.281,,,,,,,,,11710281.0
Lỗ kế toán trước thuế,"Lỗ trước thuế, thu nhập > Lỗ kế toán trước thuế",Lỗ kế toán trước thuế,,,,,,,,,(1.406.287.691),,,,,,,,,-1406287691.0
Chi phí thuế TNDN hiện hành,"Lỗ trước thuế, thu nhập > Chi phí thuế TNDN hiện hành",Chi phí thuế TNDN hiện hành,,,,,,,,,(10.311.463),,,,,,,,,-10311463.0
Chi phí thuế TNDN hoãn lại,"Lỗ trước thuế, thu nhập > Chi phí thuế TNDN hoãn lại",Chi phí thuế TNDN hoãn lại,,,,,,,,,(86.187.524),,,,,,,,,-86187524.0
Lỗ sau thuế TNDN trong năm,"Lỗ trước thuế, thu nhập > Lỗ sau thuế TNDN trong năm",Lỗ sau thuế TNDN trong năm,,,,,,,,,(1.502.786.678),,,,,,,,,-1502786678.0
Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,,,,,,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,,,,,,,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,9.303.424.303,5.938.175.313,420.743.155,134.654.415,35.742.409.998,4.527.494.431,445.831.631,-,56.512.733.246,9303424303.0,5938175313.0,420743155.0,134654415.0,35742409998.0,4527494431.0,445831631.0,,56512733246.0
Tiền,Tài sản và nợ phải trả > Tiền,Tiền,,,,,,,,,791.208.293,,,,,,,,,791208293.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,,,,865.766.030,,,,,,,,,865766030.0
Tài sản không phân bổ,Tài sản và nợ phải trả > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,(5.406.237.968),,,,,,,,,-5406237968.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,,,,,,52.763.469.601,,,,,,,,,52763469601.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(6.018.627.989),(8.783.778.325),(363.576.683),(116.462.423),(28.479.547.520),(3.037.788.835),(115.006.912),-,(46.914.788.687),-6018627989.0,-8783778325.0,-363576683.0,-116462423.0,-28479547520.0,-3037788835.0,-115006912.0,,-46914788687.0
Nợ phải trả không phân bổ,Tài sản và nợ phải trả > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,10.801.093.508,,,,,,,,,10801093508.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,,(36.113.695.179),,,,,,,,,-36113695179.0
