row_label_raw,row_label_full,col_0,Giá trị giao dịch cho năm,Giá trị giao dịch cho năm_1,numeric__Giá trị giao dịch cho năm,numeric__Giá trị giao dịch cho năm_1
Mua dịch vụ,Trung tâm Viễn thông và Công nghệ Thông tin > Mua dịch vụ,Mua dịch vụ,-,273.254.664,,273254664.0
Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,Nhân sự quản lý chủ chốt,,
Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,Ban Tổng Giám đốc,,
Ông Đặng Văn Cường – Tổng Giám đốc(từ ngày 1 tháng 7 năm 2022),Ông Đặng Văn Cường – Tổng Giám đốc(từ ngày 1 tháng 7 năm 2022),Ông Đặng Văn Cường – Tổng Giám đốc(từ ngày 1 tháng 7 năm 2022),Ông Đặng Văn Cường – Tổng Giám đốc(từ ngày 1 tháng 7 năm 2022),Ông Đặng Văn Cường – Tổng Giám đốc(từ ngày 1 tháng 7 năm 2022),,
Tiền lương và thường,Ông Đặng Văn Cường – Tổng Giám đốc(từ ngày 1 tháng 7 năm 2022) > Tiền lương và thường,Tiền lương và thường,533.725.358,-,533725358.0,
Ông Đỗ Minh Lộc – Quyền Tổng Giám đốc(từ ngày 1 tháng 3 năm 2022 đến ngày 1 tháng 7 năm 2022),Ông Đỗ Minh Lộc – Quyền Tổng Giám đốc(từ ngày 1 tháng 3 năm 2022 đến ngày 1 tháng 7 năm 2022),Ông Đỗ Minh Lộc – Quyền Tổng Giám đốc(từ ngày 1 tháng 3 năm 2022 đến ngày 1 tháng 7 năm 2022),Ông Đỗ Minh Lộc – Quyền Tổng Giám đốc(từ ngày 1 tháng 3 năm 2022 đến ngày 1 tháng 7 năm 2022),Ông Đỗ Minh Lộc – Quyền Tổng Giám đốc(từ ngày 1 tháng 3 năm 2022 đến ngày 1 tháng 7 năm 2022),,
Tiền lương và thường,Ông Đỗ Minh Lộc – Quyền Tổng Giám đốc(từ ngày 1 tháng 3 năm 2022 đến ngày 1 tháng 7 năm 2022) > Tiền lương và thường,Tiền lương và thường,952.633.898,656.484.000,952633898.0,656484000.0
Ông Lê Văn Quang – Tổng Giám đốc(đến ngày 1 tháng 3 năm 2022),Ông Lê Văn Quang – Tổng Giám đốc(đến ngày 1 tháng 3 năm 2022),Ông Lê Văn Quang – Tổng Giám đốc(đến ngày 1 tháng 3 năm 2022),Ông Lê Văn Quang – Tổng Giám đốc(đến ngày 1 tháng 3 năm 2022),Ông Lê Văn Quang – Tổng Giám đốc(đến ngày 1 tháng 3 năm 2022),,
Tiền lương và thường,Ông Lê Văn Quang – Tổng Giám đốc(đến ngày 1 tháng 3 năm 2022) > Tiền lương và thường,Tiền lương và thường,179.099.656,742.092.000,179099656.0,742092000.0
Thành viên khác trong Ban Tổng Giám đốc,Thành viên khác trong Ban Tổng Giám đốc,Thành viên khác trong Ban Tổng Giám đốc,Thành viên khác trong Ban Tổng Giám đốc,Thành viên khác trong Ban Tổng Giám đốc,,
Tiền lương và thường,Thành viên khác trong Ban Tổng Giám đốc > Tiền lương và thường,Tiền lương và thường,952.633.898,1.312.968.000,952633898.0,1312968000.0
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,,
Ông Lê Văn Quang – Chủ tịch(từ ngày 28 tháng 2 năm 2022),Ông Lê Văn Quang – Chủ tịch(từ ngày 28 tháng 2 năm 2022),Ông Lê Văn Quang – Chủ tịch(từ ngày 28 tháng 2 năm 2022),Ông Lê Văn Quang – Chủ tịch(từ ngày 28 tháng 2 năm 2022),Ông Lê Văn Quang – Chủ tịch(từ ngày 28 tháng 2 năm 2022),,
Tiền lương và thường,Ông Lê Văn Quang – Chủ tịch(từ ngày 28 tháng 2 năm 2022) > Tiền lương và thường,Tiền lương và thường,926.963.442,-,926963442.0,
Ông Nguyễn Trọng Oánh – Chủ tịch(đến ngày 28 tháng 2 năm 2022),Ông Nguyễn Trọng Oánh – Chủ tịch(đến ngày 28 tháng 2 năm 2022),Ông Nguyễn Trọng Oánh – Chủ tịch(đến ngày 28 tháng 2 năm 2022),Ông Nguyễn Trọng Oánh – Chủ tịch(đến ngày 28 tháng 2 năm 2022),Ông Nguyễn Trọng Oánh – Chủ tịch(đến ngày 28 tháng 2 năm 2022),,
Tiền lương và thường,Ông Nguyễn Trọng Oánh – Chủ tịch(đến ngày 28 tháng 2 năm 2022) > Tiền lương và thường,Tiền lương và thường,186.117.158,1.003.986.456,186117158.0,1003986456.0
