row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Không chịu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Không chịu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,8.100.996,-,-,-,-,-,-,8.100.996,,8100996.0,,,,,,,8100996.0
Tài sản có khác - gộp,Tài sản > Tài sản có khác - gộp,Tài sản có khác - gộp,1.195.135,40.529.984,-,1.220,4.485,4.695,8.280.000,-,50.015.519,1195135.0,40529984.0,,1220.0,4485.0,4695.0,8280000.0,,50015519.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,12.499.616,99.154.181,85.418.529,131.243.937,909.681,4.487.082,38.526.496,1.739.385,373.978.907,12499616.0,99154181.0,85418529.0,131243937.0,909681.0,4487082.0,38526496.0,1739385.0,373978907.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,6.257,225.227,-,-,-,-,231.484,,,6257.0,225227.0,,,,,231484.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,4.671.473,7.516.502,388.767,72.264,-,-,12.649.006,,,4671473.0,7516502.0,388767.0,72264.0,,,12649006.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,705.145,125.889.391,62.115.936,45.256.843,43.875.257,41.956.929,60.086,319.859.587,,705145.0,125889391.0,62115936.0,45256843.0,43875257.0,41956929.0,60086.0,319859587.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,-,-,90.975,-,-,90.975,,,,,,90975.0,,,90975.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,600,-,2.737.590,-,2.863.196,-,-,5.601.386,,600.0,,2737590.0,,2863196.0,,,5601386.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,6.800.110,-,-,-,-,-,-,6.800.110,,6800110.0,,,,,,,6800110.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,7.505.855,130.567.121,72.595.255,45.645.610,46.901.692,41.956.929,60.086,345.232.548,,7505855.0,130567121.0,72595255.0,45645610.0,46901692.0,41956929.0,60086.0,345232548.0
Mức chênh nhạy cảm với lãi suất nội bằng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng,Mức chênh nhạy cảm với lãi suất nội bằng,12.499.616,91.648.326,(45.148.592),58.648.682,(44.735.929),(42.414.610),(3.430.433),1.679.299,28.746.359,12499616.0,91648326.0,-45148592.0,58648682.0,-44735929.0,-42414610.0,-3430433.0,1679299.0,28746359.0
