row_label_raw,row_label_full,col_0,Kinh doanhkhu công nghiệp > Năm 2022,Kinh doanhkhu công nghiệp > Năm 2021,Kinh doanhnhà và ha tầng > Năm 2022,Kinh doanhnhà và ha tầng > Năm 2021,Kinh doanhcung cấp nước sach > Năm 2022,Kinh doanhcung cấp nước sach > Năm 2021,Kinh doanhdích vu cảng > Năm 2022,Kinh doanhdích vu cảng > Năm 2021,Kinh doanhxử lý chất thải > Năm 2022,Kinh doanhxử lý chất thải > Năm 2021,Khác > Năm 2022,Khác > Năm 2021,Đơn vị tính: Triệu đồngTổng công > Năm 2022,Đơn vị tính: Triệu đồngTổng công > Năm 2021,numeric__Kinh doanhkhu công nghiệp > Năm 2022,numeric__Kinh doanhkhu công nghiệp > Năm 2021,numeric__Kinh doanhnhà và ha tầng > Năm 2022,numeric__Kinh doanhnhà và ha tầng > Năm 2021,numeric__Kinh doanhcung cấp nước sach > Năm 2022,numeric__Kinh doanhcung cấp nước sach > Năm 2021,numeric__Kinh doanhdích vu cảng > Năm 2022,numeric__Kinh doanhdích vu cảng > Năm 2021,numeric__Kinh doanhxử lý chất thải > Năm 2022,numeric__Kinh doanhxử lý chất thải > Năm 2021,numeric__Khác > Năm 2022,numeric__Khác > Năm 2021,numeric__Đơn vị tính: Triệu đồngTổng công > Năm 2022,numeric__Đơn vị tính: Triệu đồngTổng công > Năm 2021
Chi phí thuế TNDN hoãn lại,Lợi nhuận trước thuế > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,"18,377","17,036",,,,,,,,,,,,,18.377,17.036
Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,118,569","1,498,987",,,,,,,,,,,,,,
Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,Các thông tin khác,,,,,,,,,,,,,,
,,,Kinh doanhkhu công nghiệp,Kinh doanhkhu công nghiệp,Kinh doanhnhà và ha tầng,Kinh doanhnhà và ha tầng,Kinh doanhcung cấp nước szech,Kinh doanhcung cấp nước szech,Kinh doanhdích vu cảng,Kinh doanhdích vu cảng,Kinh doanhxử lý chất thải,Kinh doanhxử lý chất thải,Khác,Khác,Đơn vị tính: Triệu đồngTổng công,Đơn vị tính: Triệu đồngTổng công,,,,,,,,,,,,,,
,,,Tại ngày31/12/2022,Tại ngày01/01/2022,Tại ngày31/12/2022,Tại ngày01/01/2022,Tại ngày31/12/2022,Tại ngày01/01/2022,Tại ngày31/12/2022,Tại ngày01/01/2022,Tại ngày31/12/2022,Tại ngày01/01/2022,Tại ngày31/12/2022,Tại ngày01/01/2022,Tại ngày31/12/2022,Tại ngày01/01/2022,,,,,,,,,,,,,,
Tài sản không phân bổNo phải trả khôngphân bổ,Tài sản không phân bổNo phải trả khôngphân bổ,Tài sản không phân bổNo phải trả khôngphân bổ,,,,,,,,,,,,,"22,664,367","21,971,770",,,,,,,,,,,,,,
Tài sản không phân bổNo phải trả khôngphân bổ,Tài sản không phân bổNo phải trả khôngphân bổ,Tài sản không phân bổNo phải trả khôngphân bổ,,,,,,,,,,,,,"13,143,370","12,698,978",,,,,,,,,,,,,,
Tài sản không phân bổNo phải trả khôngphân bổ,Tài sản không phân bổNo phải trả khôngphân bổ,Tài sản không phân bổNo phải trả khôngphân bổ,Kinh doanhkhu công nghiệp,Kinh doanhkhu công nghiệp,Kinh doanhnhà và ha tầng,Kinh doanhnhà và ha tầng,Kinh doanhcung cấp nước szech,Kinh doanhcung cấp nước szech,Kinh doanhdích vu cảng,Kinh doanhdích vu cảng,Kinh doanhxử lý chất thải,Kinh doanhxử lý chất thải,Khác,Khác,Đơn vị tính: Triệu đồngTổng công,Đơn vị tính: Triệu đồngTổng công,,,,,,,,,,,,,,
Tài sản không phân bổNo phải trả khôngphân bổ,Tài sản không phân bổNo phải trả khôngphân bổ,Tài sản không phân bổNo phải trả khôngphân bổ,Năm 2022,Năm 2021,Năm 2022,Năm 2021,Năm 2022,Năm 2021,Năm 2022,Năm 2021,Năm 2022,Năm 2021,Năm 2022,Năm 2021,Năm 2022,Năm 2021,,,,,,,,,,,,,,
Chi phí mua sắm tài sảnChi phí khấu hao,Chi phí mua sắm tài sảnChi phí khấu hao,Chi phí mua sắm tài sảnChi phí khấu hao,,,,,,,,,,,,,"(1,696,424)","(2,075,748)",,,,,,,,,,,,,,
Chi phí mua sắm tài sảnChi phí khấu hao,Chi phí mua sắm tài sảnChi phí khấu hao > Chi phí mua sắm tài sảnChi phí khấu hao,Chi phí mua sắm tài sảnChi phí khấu hao,,,,,,,,,,,,,"930,795","778,552",,,,,,,,,,,,,930.795,778.552
