row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản cố địnhkhác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhkhác,numeric__Đơn vị tính: VNDTổng cộng
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,266.996.654.832,375.151.318.536,38.796.624.908,59.737.187.543,6.365.051.265,747.046.837.084,266996654832.0,375151318536.0,38796624908.0,59737187543.0,6365051265.0,747046837084.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,18.321.774.194,19.437.038.879,4.951.742.047,1.372.839.515,212.661.566,44.296.056.201,18321774194.0,19437038879.0,4951742047.0,1372839515.0,212661566.0,44296056201.0
- Chuyển sang bất động sảnđầu tư,Giá trị khấu hao lũy kế: > - Chuyển sang bất động sảnđầu tư,- Chuyển sang bất động sảnđầu tư,(21.319.831.489),-,-,-,-,(21.319.831.489),-21319831489.0,,,,,-21319831489.0
- Tăng do hợp nhất kinhdoanh,Giá trị khấu hao lũy kế: > - Tăng do hợp nhất kinhdoanh,- Tăng do hợp nhất kinhdoanh,8.337.865.306,3.674.662.175,930.991.946,438.150.282,-,13.381.669.709,8337865306.0,3674662175.0,930991946.0,438150282.0,,13381669709.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(487.527.468),(18.262.020.142),(620.804.000),(248.953.910),(236.079.664),(19.855.385.184),-487527468.0,-18262020142.0,-620804000.0,-248953910.0,-236079664.0,-19855385184.0
- Giảm khác,Giá trị khấu hao lũy kế: > - Giảm khác,- Giảm khác,(1.010.599.510),(127.023.735),(15.720.913),(7.251.616),-,(1.160.595.774),-1010599510.0,-127023735.0,-15720913.0,-7251616.0,,-1160595774.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,270.838.335.865,379.873.975.713,44.042.833.988,61.291.971.814,6.341.633.167,762.388.750.547,270838335865.0,379873975713.0,44042833988.0,61291971814.0,6341633167.0,762388750547.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,181.295.346.628,74.491.292.954,15.811.244.608,3.859.790.887,1.259.557.768,276.717.232.845,181295346628.0,74491292954.0,15811244608.0,3859790887.0,1259557768.0,276717232845.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,81.828.983.147,73.523.356.205,22.030.946.701,3.009.895.215,881.435.155,181.274.616.423,81828983147.0,73523356205.0,22030946701.0,3009895215.0,881435155.0,181274616423.0
