row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2021,Quá hạn (bao gồm số dư đã trich lập dư phòng) > Ngày 31 tháng 12 năm 2021,Không kỳ hạn > Ngày 31 tháng 12 năm 2021,Đến 01 năm > Ngày 31 tháng 12 năm 2021,Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2021,Trên 05 năm > Ngày 31 tháng 12 năm 2021,Tổng cộng > Ngày 31 tháng 12 năm 2021,numeric__Quá hạn (bao gồm số dư đã trich lập dư phòng) > Ngày 31 tháng 12 năm 2021,numeric__Không kỳ hạn > Ngày 31 tháng 12 năm 2021,numeric__Đến 01 năm > Ngày 31 tháng 12 năm 2021,numeric__Từ 01 – 05 năm > Ngày 31 tháng 12 năm 2021,numeric__Trên 05 năm > Ngày 31 tháng 12 năm 2021,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2021
Phải thu khác,TÀI SẢN > Phải thu khác,Phải thu khác,244.874.879.748,327.395.699.799,-,-,-,572.270.579.547,244874879748.0,327395699799.0,,,,572270579547.0
Tài sản khác,TÀI SẢN > Tài sản khác,Tài sản khác,,52.339.317.013,-,-,-,52.339.317.013,,52339317013.0,,,,52339317013.0
Tài sản cố định (bao gồm chi phí xây dựng cơ bản dở dang),TÀI SẢN > Tài sản cố định (bao gồm chi phí xây dựng cơ bản dở dang),Tài sản cố định (bao gồm chi phí xây dựng cơ bản dở dang),-,-,-,223.892.520.471,233.184.318.475,457.076.838.946,,,,223892520471.0,233184318475.0,457076838946.0
Tổng cộng,TÀI SẢN > Tổng cộng,Tổng cộng,275.017.992.962,14.130.370.455.090,31.196.594.255.072,223.892.520.471,3.922.529.448.815,49.748.404.672.410,275017992962.0,14130370455090.0,31196594255072.0,223892520471.0,3922529448815.0,49748404672410.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,
Vay và nợ ngắn hạn,NỘ PHẢI TRẢ > Vay và nợ ngắn hạn,Vay và nợ ngắn hạn,-,6.011.665.792.772,25.109.242.577.423,-,-,31.120.908.370.195,,6011665792772.0,25109242577423.0,,,31120908370195.0
Phải trả hoạt động kinh doanh chứng khoán,NỘ PHẢI TRẢ > Phải trả hoạt động kinh doanh chứng khoán,Phải trả hoạt động kinh doanh chứng khoán,-,45.231.136.706,134.824.507.005,-,-,180.055.643.711,,45231136706.0,134824507005.0,,,180055643711.0
Chi phí phải trả,NỘ PHẢI TRẢ > Chi phí phải trả,Chi phí phải trả,-,6.654.215.476,91.086.346.147,-,-,97.740.561.623,,6654215476.0,91086346147.0,,,97740561623.0
Thuế và các khoản phải nộp Nhà nước,NỘ PHẢI TRẢ > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,-,352.627.769.284,-,-,-,352.627.769.284,,352627769284.0,,,,352627769284.0
"Phải trả, phải nộp khác","NỘ PHẢI TRẢ > Phải trả, phải nộp khác","Phải trả, phải nộp khác",-,463.548.200.715,4.255.363.558.098,-,-,4.718.911.758.813,,463548200715.0,4255363558098.0,,,4718911758813.0
Tổng cộng,NỘ PHẢI TRẢ > Tổng cộng,Tổng cộng,-,6.879.727.114.953,29.590.516.988.673,-,-,36.470.244.103.626,,6879727114953.0,29590516988673.0,,,36470244103626.0
Mức chênh lệch thanh khoản ròng,NỘ PHẢI TRẢ > Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,275.017.992.962,7.250.643.340.137,1.606.077.266.399,223.892.520.471,3.922.529.448.815,13.278.160.568.784,275017992962.0,7250643340137.0,1606077266399.0,223892520471.0,3922529448815.0,13278160568784.0
