row_label_raw,row_label_full,"Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Năm nay > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","Đơn vị tính: VND > Năm trước > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","numeric__Năm nay > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","numeric__Đơn vị tính: VND > Năm trước > Mã số 23. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác"
Tiền tạm ứng/dặt cọc mua công ty con,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tiền tạm ứng/dặt cọc mua công ty con,Tiền tạm ứng/dặt cọc mua công ty con,(7.664.761.129.950),(3.621.128.422.500),-7664761129950.0,-3621128422500.0
Tiền chi mua cổ phần/góp vốn vào các đơn vị khác,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tiền chi mua cổ phần/góp vốn vào các đơn vị khác,Tiền chi mua cổ phần/góp vốn vào các đơn vị khác,(13.034.330.192.800),(3.077.484.315.345),-13034330192800.0,-3077484315345.0
Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,Tiền tạm ứng theo hợp đồng hợp tác kinh doanh,(68.729.803.430),(23.954.604.785),-68729803430.0,-23954604785.0
Tổng cộng,Mã số 25. Tiền chỉ đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,(22.459.345.068.846),(20.185.422.456.828),-22459345068846.0,-20185422456828.0
Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,
"Tiền thu do nhượng bán các khoản đầu tư vào công ty con, sau khi trừ số dự tiền tại công ty con","Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhượng bán các khoản đầu tư vào công ty con, sau khi trừ số dự tiền tại công ty con","Tiền thu do nhượng bán các khoản đầu tư vào công ty con, sau khi trừ số dự tiền tại công ty con",11.207.105.907.932,1.960.679.834.204,11207105907932.0,1960679834204.0
Tiền thu do nhượng bán các khoản đầu tư vào đơn vị khác,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhượng bán các khoản đầu tư vào đơn vị khác,Tiền thu do nhượng bán các khoản đầu tư vào đơn vị khác,1.951.923.727.844,1.186.277.993.558,1951923727844.0,1186277993558.0
Thu hồi tiền đặt cọc mua cổ phần,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi tiền đặt cọc mua cổ phần,Thu hồi tiền đặt cọc mua cổ phần,801.817.800.000,-,801817800000.0,
Tiền thu do nhận đặt cọc để chuyển nhượng các khoản đầu tư vào công ty con,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu do nhận đặt cọc để chuyển nhượng các khoản đầu tư vào công ty con,Tiền thu do nhận đặt cọc để chuyển nhượng các khoản đầu tư vào công ty con,-,648.000.000.000,,648000000000.0
Tiền thu từ chuyển nhượng quyền tham gia phát triển dự án,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tiền thu từ chuyển nhượng quyền tham gia phát triển dự án,Tiền thu từ chuyển nhượng quyền tham gia phát triển dự án,450.000.000.000,-,450000000000.0,
Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,Thu hồi tiền đặt cọc cho mục đích đầu tư vào các dự án bất động sản,896.119.007.571,655.302.896.515,896119007571.0,655302896515.0
Tổng cộng,Mã số 26. Tiền thu hồi đầu tư góp vốn vào đơn vị khác > Tổng cộng,Tổng cộng,15.306.966.443.347,4.450.260.724.277,15306966443347.0,4450260724277.0
"Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu","Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu","Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu","Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu","Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu",,
Nhận góp vốn của cổ đông không kiểm soát,"Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu > Nhận góp vốn của cổ đông không kiểm soát",Nhận góp vốn của cổ đông không kiểm soát,1.310.346.390.000,7.544.319.623.168,1310346390000.0,7544319623168.0
Tổng cộng,"Mã số 31. Tiền thu từ phát hành cổ phiếu, nhận góp vốn của chủ sở hữu > Tổng cộng",Tổng cộng,1.310.346.390.000,7.544.319.623.168,1310346390000.0,7544319623168.0
"Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,
"Cổ tức, lợi nhuận đã trả cho cổ đông không kiểm soát","Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu > Cổ tức, lợi nhuận đã trả cho cổ đông không kiểm soát","Cổ tức, lợi nhuận đã trả cho cổ đông không kiểm soát",(1.339.903.941.515),(974.185.674.300),-1339903941515.0,-974185674300.0
Tổng cộng,"Mã số 36. Cổ tức, lợi nhuận đã trả cho chủ sở hữu > Tổng cộng",Tổng cộng,(1.339.903.941.515),(974.185.674.300),-1339903941515.0,-974185674300.0
