row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyếtmình,31/12/2024VND,01/01/2024VND,numeric__Mã số,numeric__Thuyếtmình,numeric__31/12/2024VND,numeric__01/01/2024VND
1. Phải thu ngắn hạn của khách hàng,TÀI SẢN > 1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.2,6.265.554.068.633,7.209.036.712.669,131.0,52.0,6265554068633.0,7209036712669.0
2. Trả trước cho người bán ngắn hạn,TÀI SẢN > 2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.3,1.315.103.857.894,1.209.155.747.991,132.0,53.0,1315103857894.0,1209155747991.0
3. Phải thu nội bộ ngắn hạn,TÀI SẢN > 3. Phải thu nội bộ ngắn hạn,3. Phải thu nội bộ ngắn hạn,133,,-,-,133.0,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,TÀI SẢN > 4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,134,5.4,2.243.891.683.563,3.079.873.461.429,134.0,54.0,2243891683563.0,3079873461429.0
5. Phải thu về cho vay ngắn hạn,TÀI SẢN > 5. Phải thu về cho vay ngắn hạn,5. Phải thu về cho vay ngắn hạn,135,5.5,1.613.089.335.843,1.383.417.577.114,135.0,55.0,1613089335843.0,1383417577114.0
6. Phải thu ngắn hạn khác,TÀI SẢN > 6. Phải thu ngắn hạn khác,6. Phải thu ngắn hạn khác,136,5.6,1.890.367.973.672,1.191.837.154.083,136.0,56.0,1890367973672.0,1191837154083.0
7. Dự phòng phải thu ngắn hạn khó đòi,TÀI SẢN > 7. Dự phòng phải thu ngắn hạn khó đòi,7. Dự phòng phải thu ngắn hạn khó đòi,137,5.7,(1.769.611.541.347),(2.173.615.723.793),137.0,57.0,-1769611541347.0,-2173615723793.0
8. Tài sản thiếu chờ xử lý,TÀI SẢN > 8. Tài sản thiếu chờ xử lý,8. Tài sản thiếu chờ xử lý,139,,-,-,139.0,,,
III. Hàng tồn kho,TÀI SẢN > III. Hàng tồn kho,III. Hàng tồn kho,140,5.9,1.497.094.931.759,1.038.985.451.458,140.0,59.0,1497094931759.0,1038985451458.0
1. Hàng tồn kho,TÀI SẢN > 1. Hàng tồn kho,1. Hàng tồn kho,141,,1.513.065.648.036,1.070.820.618.605,141.0,,1513065648036.0,1070820618605.0
2. Dự phòng giảm giá hàng tồn kho,TÀI SẢN > 2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(15.970.716.277),(31.835.167.147),149.0,,-15970716277.0,-31835167147.0
IV. Tài sản ngắn hạn khác,TÀI SẢN > IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,150,,13.410.354.828,14.462.381.513,150.0,,13410354828.0,14462381513.0
1. Chỉ phí trả trước ngắn hạn,TÀI SẢN > 1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,5.13,13.410.354.828,14.462.381.513,151.0,513.0,13410354828.0,14462381513.0
2. Thuế GTGT được khấu trừ,TÀI SẢN > 2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,-,-,152.0,,,
3. Thuế và các khoản khác phải thu Nhà nước,TÀI SẢN > 3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,,-,-,153.0,,,
4. Giao dịch mua bán lại trái phiếu Chính phủ,TÀI SẢN > 4. Giao dịch mua bán lại trái phiếu Chính phủ,4. Giao dịch mua bán lại trái phiếu Chính phủ,154,,-,-,154.0,,,
5. Tài sản ngắn hạn khác,TÀI SẢN > 5. Tài sản ngắn hạn khác,5. Tài sản ngắn hạn khác,155,,-,-,155.0,,,
