row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyếtmlnh,31/12/2024VND,01/01/2024VND,numeric__Mã số,numeric__Thuyếtmlnh,numeric__31/12/2024VND,numeric__01/01/2024VND
14. Giao dịch mua bán lại trái phiếu Chính phủ,NGUỒN VỐN > 14. Giao dịch mua bán lại trái phiếu Chính phủ,14. Giao dịch mua bán lại trái phiếu Chính phủ,324,,-,-,324.0,,,
II. Nợ dài hạn,NGUỒN VỐN > II. Nợ dài hạn,II. Nợ dài hạn,330,,537.389.330.574,879.359.990.179,330.0,,537389330574.0,879359990179.0
1. Phải trả người bán dài hạn,NGUỒN VỐN > 1. Phải trả người bán dài hạn,1. Phải trả người bán dài hạn,331,,-,-,331.0,,,
2. Người mua trả tiền trước dài hạn,NGUỒN VỐN > 2. Người mua trả tiền trước dài hạn,2. Người mua trả tiền trước dài hạn,332,,-,-,332.0,,,
3. Chỉ phí phải trả dài hạn,NGUỒN VỐN > 3. Chỉ phí phải trả dài hạn,3. Chỉ phí phải trả dài hạn,333,,-,-,333.0,,,
4. Phải trả nội bộ về vốn kinh doanh,NGUỒN VỐN > 4. Phải trả nội bộ về vốn kinh doanh,4. Phải trả nội bộ về vốn kinh doanh,334,,-,-,334.0,,,
5. Phải trả nội bộ dài hạn,NGUỒN VỐN > 5. Phải trả nội bộ dài hạn,5. Phải trả nội bộ dài hạn,335,,-,-,335.0,,,
6. Doanh thu chưa thực hiện dài hạn,NGUỒN VỐN > 6. Doanh thu chưa thực hiện dài hạn,6. Doanh thu chưa thực hiện dài hạn,336,,-,-,336.0,,,
7. Phải trả dài hạn khác,NGUỒN VỐN > 7. Phải trả dài hạn khác,7. Phải trả dài hạn khác,337,,-,-,337.0,,,
8. Vay và nợ thuê tài chính dài hạn,NGUỒN VỐN > 8. Vay và nợ thuê tài chính dài hạn,8. Vay và nợ thuê tài chính dài hạn,338,5.20,376.000.000.000,683.994.666.668,338.0,520.0,376000000000.0,683994666668.0
9. Trái phiếu chuyển đổi,NGUỒN VỐN > 9. Trái phiếu chuyển đổi,9. Trái phiếu chuyển đổi,339,,-,-,339.0,,,
10. Cổ phiếu ưu đãi,NGUỒN VỐN > 10. Cổ phiếu ưu đãi,10. Cổ phiếu ưu đãi,340,,-,-,340.0,,,
11. Thuế thu nhập hoãn lại phải trả,NGUỒN VỐN > 11. Thuế thu nhập hoãn lại phải trả,11. Thuế thu nhập hoãn lại phải trả,341,,-,-,341.0,,,
12. Dự phòng phải trả dài hạn,NGUỒN VỐN > 12. Dự phòng phải trả dài hạn,12. Dự phòng phải trả dài hạn,342,,161.389.330.574,195.365.323.511,342.0,,161389330574.0,195365323511.0
13. Quỹ phát triển khoa học và công nghệ,NGUỒN VỐN > 13. Quỹ phát triển khoa học và công nghệ,13. Quỹ phát triển khoa học và công nghệ,343,,-,-,343.0,,,
