row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Gia sức VND,Tài sản khác VND,Tổng cộng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Gia sức VND,numeric__Tài sản khác VND,numeric__Tổng cộng VND
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.646.881.495.495,13.051.279.679.438,940.586.878.125,578.470.807.234,417.804.067.701,6.767.835.452,17.641.790.763.445,2646881495495.0,13051279679438.0,940586878125.0,578470807234.0,417804067701.0,6767835452.0,17641790763445.0
Khâu hao trong năm,Giá trị hao mòn lũy kế > Khâu hao trong năm,Khâu hao trong năm,316.567.038.523,1.305.672.484.634,92.088.160.866,49.669.070.177,234.252.916.255,658.437.805,1.998.908.108.260,316567038523.0,1305672484634.0,92088160866.0,49669070177.0,234252916255.0,658437805.0,1998908108260.0
Thanh lý/xóa số,Giá trị hao mòn lũy kế > Thanh lý/xóa số,Thanh lý/xóa số,(7.148.644.988),(49.647.927.103),(9.540.020.008),(3.648.342.074),(137.671.998.878),-,(207.656.933.051),-7148644988.0,-49647927103.0,-9540020008.0,-3648342074.0,-137671998878.0,,-207656933051.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,3.458.747.906,3.490.668.899,266.416.574,(14.135.723),(1.229),(7.201.696.427),-,3458747906.0,3490668899.0,266416574.0,-14135723.0,-1229.0,-7201696427.0,
Giảm khác,Giá trị hao mòn lũy kế > Giảm khác,Giảm khác,-,-,-,(40.956.221),(39.070.772.386),-,(39.111.728.607),,,,-40956221.0,-39070772386.0,,-39111728607.0
Chênh lệch quy đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,3.223.852.780,20.552.979.113,2.035.303.544,668.240.118,237.379.436,6.099.610,26.723.854.601,3223852780.0,20552979113.0,2035303544.0,668240118.0,237379436.0,6099610.0,26723854601.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.962.982.489.716,14.331.347.884.981,1.025.436.739.101,625.104.683.511,475.551.590.899,230.676.440,19.420.654.064.648,2962982489716.0,14331347884981.0,1025436739101.0,625104683511.0,475551590899.0,230676440.0,19420654064648.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.234.135.024.135,6.096.042.714.567,411.789.372.158,148.015.692.432,967.148.170.464,3.235.533.666,10.860.366.507.422,3234135024135.0,6096042714567.0,411789372158.0,148015692432.0,967148170464.0,3235533666.0,10860366507422.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.922.270.689.642,6.317.821.287.453,351.102.402.716,142.506.501.404,954.634.967.315,184.456.515,11.688.520.305.045,3922270689642.0,6317821287453.0,351102402716.0,142506501404.0,954634967315.0,184456515.0,11688520305045.0
