row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2016,Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2016,Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2016,Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2016,Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2016,Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2016,Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2016,Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2016,Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2016,numeric__Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2016,numeric__Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2016,numeric__Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2016,numeric__Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2016
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,-,211.872,211.872,,,,,,,211872.0,211872.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),996.052,95.609,5.704.297,7.448,520.048,1.204.982,-,8.528.436,996052.0,95609.0,5704297.0,7448.0,520048.0,1204982.0,,8528436.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.296.406,514.413,31.227.278,19.293.749,53.926.099,64.490.689,65.443.368,239.192.002,4296406.0,514413.0,31227278.0,19293749.0,53926099.0,64490689.0,65443368.0,239192002.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,1.625.579,230.176,304.029,67.121,8.210,2.235.115,,,1625579.0,230176.0,304029.0,67121.0,8210.0,2235115.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,70.062.809,35.911.362,61.588.195,39.229.541,259.362,207.051.269,,,70062809.0,35911362.0,61588195.0,39229541.0,259362.0,207051269.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,56,10.127,27.609,58.283,26.622,122.697,,,56.0,10127.0,27609.0,58283.0,26622.0,122697.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,105.000,456.000,5.000.000,1.054.000,6.615.000,,,,105000.0,456000.0,5000000.0,1054000.0,6615000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,3.594.080,-,-,-,-,3.594.080,,,3594080.0,,,,,3594080.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,75.282.524,36.256.665,62.375.833,44.354.945,1.348.194,219.618.161,,,75282524.0,36256665.0,62375833.0,44354945.0,1348194.0,219618161.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,4.296.406,514.413,(44.055.246),(16.962.916),(8.449.734),20.135.744,64.095.174,19.573.841,4296406.0,514413.0,-44055246.0,-16962916.0,-8449734.0,20135744.0,64095174.0,19573841.0
