row_label_raw,row_label_full,Các bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),Mỗi quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),Giao dịch > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),NgànVND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),numeric__Mỗi quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),numeric__Giao dịch > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),numeric__Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo),numeric__NgànVND Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 9) (tiếp theo)
Công ty Cổ phần Đầu tư Bất động sản An Phú,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty liên quan,Cho vay,1.471.708.240,4.087.185.936,,,1471708240.0,4087185936.0
Ông Đoàn Nguyên Đức,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịch,Cho vay,697.320.000,-,,,697320000.0,
Ông Huỳnh Hữu Vũ,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Ông Huỳnh Hữu Vũ,Ông Huỳnh Hữu Vũ,Bên liên quan,Cho vay,294.936.000,-,,,294936000.0,
Công ty Cổ phần Phú Hoàng Anh,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty liên quan,Cho vay,221.000.000,189.000.000,,,221000000.0,189000000.0
Công ty TNHH TM&DV Trúc Thỉnh,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty TNHH TM&DV Trúc Thỉnh,Công ty TNHH TM&DV Trúc Thỉnh,Công ty liên quan,Cho vay,126.017.533,-,,,126017533.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty liên quan,Cho vay,116.568.196,-,,,116568196.0,
"Công ty Cổ phần Cao su Trung Nguyên (trước đây là ""Công ty Cổ phần Trồng rừng Công nghiệp Gia Lai"")","Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ phần Cao su Trung Nguyên (trước đây là ""Công ty Cổ phần Trồng rừng Công nghiệp Gia Lai"")","Công ty Cổ phần Cao su Trung Nguyên (trước đây là ""Công ty Cổ phần Trồng rừng Công nghiệp Gia Lai"")",Công ty liên quan,Cho vay,62.142.038,-,,,62142038.0,
Công ty TNHH TMDV Minh Tuấn,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty TNHH TMDV Minh Tuấn,Công ty TNHH TMDV Minh Tuấn,Công ty liên quan,Cho vay,54.140.387,-,,,54140387.0,
Công ty Cổ phần Xây dựng Huynh Đệ,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty liên quan,Cho vay,14.651.980,13.190.000,,,14651980.0,13190000.0
TỔNG CỘNG (*),Phải thu về cho vay dài hạn (Thuyết minh số 8) > TỔNG CỘNG (*),TỔNG CỘNG (*),,,5.050.459.374,4.789.375.936,,,5050459374.0,4789375936.0
