row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ Đầu tư phát triển,Chênh lệch tỷ giả hối đoai,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ Đầu tư phát triển,numeric__Chênh lệch tỷ giả hối đoai,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,4.483.500.000.000,929.867.056.019,17.162.355.346,(1.713.600),(211.681.407.015),431.195.404.115,(14.320.575.687),6.257.939.977,1.410.538.854.492,1.260.445.634.805,8.312.963.548.452,4483500000000.0,929867056019.0,17162355346.0,-1713600.0,-211681407015.0,431195404115.0,-14320575687.0,6257939977.0,1410538854492.0,1260445634805.0,8312963548452.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,1.728.187.379.363,184.851.155.599,1.913.038.534.962,,,,,,,,,1728187379363.0,184851155599.0,1913038534962.0
Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,-,-,-,-,-,262.068.302.361,-,-,(262.068.302.361),-,-,,,,,,262068302361.0,,,-262068302361.0,,
Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(93.922.147.657),(7.027.670.692),(100.949.818.349),,,,,,,,,-93922147657.0,-7027670692.0,-100949818349.0
Trả thủ lao của Hội đồng Quản trị,Trả thủ lao của Hội đồng Quản trị,Trả thủ lao của Hội đồng Quản trị,-,-,-,-,-,-,-,-,(1.236.075.364),(1.071.257.969),(2.307.333.333),,,,,,,,,-1236075364.0,-1071257969.0,-2307333333.0
Tăng vốn ở Công ty con,Tăng vốn ở Công ty con,Tăng vốn ở Công ty con,-,-,-,-,-,-,-,-,-,100.232.001.484,100.232.001.484,,,,,,,,,,100232001484.0,100232001484.0
Trả cổ tức (i) (ii),Trả cổ tức (i) (ii),Trả cổ tức (i) (ii),-,-,-,-,-,-,-,-,(1.120.875.000.000),(68.977.907.867),(1.189.852.907.867),,,,,,,,,-1120875000000.0,-68977907867.0,-1189852907867.0
Chênh lệch tỷ giả,Chênh lệch tỷ giả,Chênh lệch tỷ giả,-,-,-,-,-,-,11.114.771.636,-,-,-,11.114.771.636,,,,,,,11114771636.0,,,,11114771636.0
Khác,Khác,Khác,-,-,-,-,-,-,-,-,(760.083.083),1.105.524.738,345.441.655,,,,,,,,,-760083083.0,1105524738.0,345441655.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.483.500.000.000,929.867.056.019,17.162.355.346,(1.713.600),(211.681.407.015),693.263.706.476,(3.205.804.051),6.257.939.977,1.659.864.625.390,1.469.557.480.098,9.044.584.238.640,4483500000000.0,929867056019.0,17162355346.0,-1713600.0,-211681407015.0,693263706476.0,-3205804051.0,6257939977.0,1659864625390.0,1469557480098.0,9044584238640.0
