row_label_raw,row_label_full,col_0,Nhóm bất động sản và xây dựng,"Nhóm kính, gương","Nhóm sır, sen vòi và phụ kiện",Nhóm gạch ốp lát,"Nhóm gạch, ngói đất sét nung",Bộ phận khác,Loại trừ nội bộ,Tổng cộng các bộ phận,numeric__Nhóm bất động sản và xây dựng,"numeric__Nhóm kính, gương","numeric__Nhóm sır, sen vòi và phụ kiện",numeric__Nhóm gạch ốp lát,"numeric__Nhóm gạch, ngói đất sét nung",numeric__Bộ phận khác,numeric__Loại trừ nội bộ,numeric__Tổng cộng các bộ phận
Tổng doanh thu,Kết quả hoạt động sản xuất kinh doanh hợp nhất > Tổng doanh thu,Tổng doanh thu,5.134.313.079.608,2.993.562.427.971,2.336.758.112.760,6.838.324.071.301,1.702.046.534.318,713.869.971.355,(5.126.424.335.336),14.592.449.861.977,5134313079608.0,2993562427971.0,2336758112760.0,6838324071301.0,1702046534318.0,713869971355.0,-5126424335336.0,14592449861977.0
Chi phí hoạt động kinh doanh,Kết quả hoạt động sản xuất kinh doanh hợp nhất > Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,3.075.651.616.572,2.042.105.436.738,1.944.147.870.898,6.159.726.380.211,1.505.500.945.468,648.856.576.977,(5.021.688.389.231),10.354.300.437.633,3075651616572.0,2042105436738.0,1944147870898.0,6159726380211.0,1505500945468.0,648856576977.0,-5021688389231.0,10354300437633.0
Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động sản xuất kinh doanh hợp nhất > Kết quả hoạt động kinh doanh bộ phận,Kết quả hoạt động kinh doanh bộ phận,2.058.661.463.036,951.456.991.233,392.610.241.862,678.597.691.090,196.545.588.850,65.013.394.378,(104.735.946.105),4.238.149.424.344,2058661463036.0,951456991233.0,392610241862.0,678597691090.0,196545588850.0,65013394378.0,-104735946105.0,4238149424344.0
Chi phí không phân bổ,Kết quả hoạt động sản xuất kinh doanh hợp nhất > Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,,1.848.166.454.273,,,,,,,,1848166454273.0
Lợi nhuận từ hoạt động kinh doanh,Kết quả hoạt động sản xuất kinh doanh hợp nhất > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,,2.389.982.970.071,,,,,,,,2389982970071.0
Thu nhập khác,Kết quả hoạt động sản xuất kinh doanh hợp nhất > Thu nhập khác,Thu nhập khác,,,,,,,,41.599.377.111,,,,,,,,41599377111.0
Kết quả từ hoạt động tài chính,Kết quả hoạt động sản xuất kinh doanh hợp nhất > Kết quả từ hoạt động tài chính,Kết quả từ hoạt động tài chính,,,,,,,,(126.378.195.085),,,,,,,,-126378195085.0
Lợi nhuận trước thuế,Kết quả hoạt động sản xuất kinh doanh hợp nhất > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,,2.305.204.152.097,,,,,,,,2305204152097.0
Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Kết quả hoạt động sản xuất kinh doanh hợp nhất > Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành và hoãn lại,,,,,,,,392.165.617.135,,,,,,,,392165617135.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Kết quả hoạt động sản xuất kinh doanh hợp nhất > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,1.913.038.534.962,,,,,,,,1913038534962.0
