row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Tài sản khác,Tổng,numeric__Nhà xưởngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụ quản lý",numeric__Tài sản khác,numeric__Tổng
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.887.878.371.002,3.704.560.934.983,214.378.253.882,21.350.480.319,31.223.143.508,5.859.391.183.694,1887878371002.0,3704560934983.0,214378253882.0,21350480319.0,31223143508.0,5859391183694.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,189.929.511.203,414.609.951.173,15.832.538.019,2.195.955.969,22.437.472.404,645.005.428.768,189929511203.0,414609951173.0,15832538019.0,2195955969.0,22437472404.0,645005428768.0
Tăng từ tài sản cố định thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,42.698.279.540,6.211.414.773,-,-,48.909.694.313,,42698279540.0,6211414773.0,,,48909694313.0
(Giảm) do quyết toán,GIÁ TRỊ HAO MÒN LỦY KẾ > (Giảm) do quyết toán,(Giảm) do quyết toán,(797.896.235),(2.310.885.003),-,-,-,(3.108.781.238),-797896235.0,-2310885003.0,,,,-3108781238.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(4.487.086.329),9.660.859.424,(6.272.488.997),1.098.715.902,-,-,-4487086329.0,9660859424.0,-6272488997.0,1098715902.0,,
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(8.873.604.069),(13.610.353.048),(4.588.620.760),(594.258.952),-,(27.666.836.829),-8873604069.0,-13610353048.0,-4588620760.0,-594258952.0,,-27666836829.0
Bán và tái thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Bán và tái thuê tài chính,Bán và tái thuê tài chính,-,(31.778.387.380),(745.169.288),-,-,(32.523.556.668),,-31778387380.0,-745169288.0,,,-32523556668.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,464.290.412,209.645.234,-,571.223,674.506.869,,464290412.0,209645234.0,,571223.0,674506869.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,2.063.649.295.572,4.124.294.690.101,225.025.572.863,24.050.893.238,53.661.187.135,6.490.681.638.909,2063649295572.0,4124294690101.0,225025572863.0,24050893238.0,53661187135.0,6490681638909.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,2.027.925.777.011,2.636.333.831.187,62.238.645.290,3.508.523.120,152.045.901.233,4.882.052.677.841,2027925777011.0,2636333831187.0,62238645290.0,3508523120.0,152045901233.0,4882052677841.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,2.191.913.827.273,2.616.793.179.691,58.072.637.469,3.907.193.068,132.625.499.279,5.003.312.336.780,2191913827273.0,2616793179691.0,58072637469.0,3907193068.0,132625499279.0,5003312336780.0
