row_label_raw,row_label_full,CHỈ TIÊU,TM,Số dư đầu năm > Năm trước,Số dư đầu năm > Năm nay,Số tăng/ giảm trong năm > Năm trước > Tăng,Số tăng/ giảm trong năm > Năm trước > Giảm,Số tăng/ giảm trong năm > Năm nay > Tăng,Số tăng/ giảm trong năm > Năm nay > Giảm,Số dư cuối năm > Năm trước,Số dư cuối năm > Năm nay,numeric__TM,numeric__Số dư đầu năm > Năm trước,numeric__Số dư đầu năm > Năm nay,numeric__Số tăng/ giảm trong năm > Năm trước > Tăng,numeric__Số tăng/ giảm trong năm > Năm trước > Giảm,numeric__Số tăng/ giảm trong năm > Năm nay > Tăng,numeric__Số tăng/ giảm trong năm > Năm nay > Giảm,numeric__Số dư cuối năm > Năm trước,numeric__Số dư cuối năm > Năm nay
3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,1.5.Vốn khác của chủ sở hữu > 3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,3. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,69.718.084.750,79.356.501.981,9.640.567.231,2.150.000,10.009.834.811,,79.356.501.981,89.366.336.792,,69718084750.0,79356501981.0,9640567231.0,2150000.0,10009834811.0,,79356501981.0,89366336792.0
4.Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4.Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,4.Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,,,,,,,,,,,,,,,,,
5.Chênh lệch tỷ giá hối đoái,5.Chênh lệch tỷ giá hối đoái,5.Chênh lệch tỷ giá hối đoái,,,,,,,,,,,,,,,,,,
6.Các Quỹ khác thuộc vốn chủ sở hữu,6.Các Quỹ khác thuộc vốn chủ sở hữu,6.Các Quỹ khác thuộc vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
7. Lợi nhuận chưa phân phối,6.Các Quỹ khác thuộc vốn chủ sở hữu > 7. Lợi nhuận chưa phân phối,7. Lợi nhuận chưa phân phối,,567.474.679.415,639.339.623.569,306.906.911.560,235.041.967.406,878.321.063.801,189.332.479.993,639.339.623.569,1.328.328.207.377,,567474679415.0,639339623569.0,306906911560.0,235041967406.0,878321063801.0,189332479993.0,639339623569.0,1328328207377.0
7.1. Lợi nhuận sau thuế đã thực hiện (**),6.Các Quỹ khác thuộc vốn chủ sở hữu > 7.1. Lợi nhuận sau thuế đã thực hiện (**),7.1. Lợi nhuận sau thuế đã thực hiện (**),,293.825.405.027,395.337.806.819,200.196.696.216,98.684.294.424,590.298.811.286,156.986.459.094,395.337.806.819,828.650.159.011,,293825405027.0,395337806819.0,200196696216.0,98684294424.0,590298811286.0,156986459094.0,395337806819.0,828650159011.0
7.2. Lợi nhuận chưa thực hiện,6.Các Quỹ khác thuộc vốn chủ sở hữu > 7.2. Lợi nhuận chưa thực hiện,7.2. Lợi nhuận chưa thực hiện,,273.649.274.388,244.001.816.750,106.710.215.344,136.357.672.982,288.022.252.515,32.346.020.899,244.001.816.750,499.678.048.366,,273649274388.0,244001816750.0,106710215344.0,136357672982.0,288022252515.0,32346020899.0,244001816750.0,499678048366.0
Công,6.Các Quỹ khác thuộc vốn chủ sở hữu > Công,Công,,2.111.021.485.315,2.202.166.223.231,446.413.855.322,355.269.117.406,1.050.954.981.673,270.477.317.643,2.202.166.223.231,2.982.643.887.261,,2111021485315.0,2202166223231.0,446413855322.0,355269117406.0,1050954981673.0,270477317643.0,2202166223231.0,2982643887261.0
II. Thu nhập toàn diện khác,II. Thu nhập toàn diện khác,II. Thu nhập toàn diện khác,,,,,,,,,,,,,,,,,,
Công,Công,Công,,,,,,,,,,,,,,,,,,
