row_label_raw,row_label_full,A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty cổ phần Công nghiệp Tàu thủy Shinnec,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Tài sản tài chính giao dịch cầm cố của CTCK - OTC,A.7.15. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính > Tài sản tài chính giao dịch cầm cố của CTCK - OTC,Tài sản tài chính giao dịch cầm cố của CTCK - OTC,70.000.000.000,70.000.000.000,70000000000.0,70000000000.0
Tài sản tài chính niêm yết/đăng ký giao dịch nhưng chưa lưu ký của CTCK - Hạn chế chuyển nhượng,A.7.15. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính > Tài sản tài chính niêm yết/đăng ký giao dịch nhưng chưa lưu ký của CTCK - Hạn chế chuyển nhượng,Tài sản tài chính niêm yết/đăng ký giao dịch nhưng chưa lưu ký của CTCK - Hạn chế chuyển nhượng,56.000.000.000,56.000.000.000,56000000000.0,56000000000.0
Cộng,A.7.15. Tài sản tài chính chưa lưu ký tại VSD của CTCKTài sản tài chính > Cộng,Cộng,128.673.640.000,128.671.550.000,128673640000.0,128671550000.0
A.7.16. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính,A.7.16. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính,A.7.16. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính được hưởng quyền của CTCK,A.7.16. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính > Tài sản tài chính được hưởng quyền của CTCK,Tài sản tài chính được hưởng quyền của CTCK,4.300.000,830.000,4300000.0,830000.0
Cộng,A.7.16. Tài sản tài chính được hưởng quyền của CTCKTài sản tài chính > Cộng,Cộng,4.300.000,830.000,4300000.0,830000.0
A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính,Số cuối năm,Số đầu năm,,
1.Tài sản tài chính giao dịch tự do chuyển nhượng,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính > 1.Tài sản tài chính giao dịch tự do chuyển nhượng,1.Tài sản tài chính giao dịch tự do chuyển nhượng,19.794.730.347.000,17.329.776.234.240,19794730347000.0,17329776234240.0
2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính > 2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,166.639.200.000,226.017.430.000,166639200000.0,226017430000.0
3.Tài sản tài chính giao dịch cầm cố,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính > 3.Tài sản tài chính giao dịch cầm cố,3.Tài sản tài chính giao dịch cầm cố,1.093.092.840.000,954.823.470.000,1093092840000.0,954823470000.0
"4.Tài sản tài chính phong tỏa, tạm giữ","A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính > 4.Tài sản tài chính phong tỏa, tạm giữ","4.Tài sản tài chính phong tỏa, tạm giữ",21.336.530.000,1.226.000.000,21336530000.0,1226000000.0
5.Tài sản tài chính chờ thanh toán,A.7.17. Tài sản tài chính niêm yết/đăng ký giao dịch của Nhà đầu tưTài sản tài chính > 5.Tài sản tài chính chờ thanh toán,5.Tài sản tài chính chờ thanh toán,838.020.350.600,784.389.292.910,838020350600.0,784389292910.0
6.Tài sản tài chính chờ cho vay,6.Tài sản tài chính chờ cho vay,6.Tài sản tài chính chờ cho vay,,,,
Cộng,6.Tài sản tài chính chờ cho vay > Cộng,Cộng,21.913.819.267.600,19.296.232.427.150,21913819267600.0,19296232427150.0
