row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Bán hàng,Mua nguyên vật liệu và dịch vụ,Phân bổ chi phí sử dụng tài sản,Lãi vay phân bổ,Lãi cho vay,Góp vốn,Lợi nhuận được chia,numeric__Mối quan hệ,numeric__Bán hàng,numeric__Mua nguyên vật liệu và dịch vụ,numeric__Phân bổ chi phí sử dụng tài sản,numeric__Lãi vay phân bổ,numeric__Lãi cho vay,numeric__Góp vốn,numeric__Lợi nhuận được chia
Công ty TNHH Lợn Giống Dabaco Lương Tài,Công ty TNHH Lợn Giống Dabaco Lương Tài,Công ty TNHH Lợn Giống Dabaco Lương Tài,Công ty con,126.640.648.900,-,5.563.610.904,-,-,-,-,,126640648900.0,,5563610904.0,,,,
Công ty TNHH Du lịch & Khách sạn Le Indochina,Công ty TNHH Du lịch & Khách sạn Le Indochina,Công ty TNHH Du lịch & Khách sạn Le Indochina,Công ty con,-,-,4.589.160.024,-,17.756.495.934,26.907.454.091,-,,,,4589160024.0,,17756495934.0,26907454091.0,
Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty TNHH Thức ăn chăn nuôi Nasaco Hà Nam,Công ty con,915.368.472.753,-,5.018.819.694,-,-,-,11.010.029.202,,915368472753.0,,5018819694.0,,,,11010029202.0
Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty TNHH Lợn giống Dabaco Phú Thọ,Công ty con,271.764.055.300,-,38.903.891.457,4.807.603.731,-,-,-,,271764055300.0,,38903891457.0,4807603731.0,,,
Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty TNHH Lợn giống Dabaco Hải Phòng,Công ty con,119.080.182.950,-,424.284.852,-,-,-,-,,119080182950.0,,424284852.0,,,,
Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty TNHH Dabaco Tuyên Quang,Công ty con,243.192.034.600,-,1.259.266.413,533.871.243,-,-,3.731.954.304,,243192034600.0,,1259266413.0,533871243.0,,,3731954304.0
Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty TNHH Dầu thực vật Dabaco,Công ty con,2.103.783.377.890,1.308.800.663.539,9.778.987.958,887.490.986,-,-,-,,2103783377890.0,1308800663539.0,9778987958.0,887490986.0,,,
Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty TNHH Dabaco Bình Phước,Công ty con,3.701.543.040,-,6.697.842.266,2.947.938.591,-,-,-,,3701543040.0,,6697842266.0,2947938591.0,,,
Công ty TNHH Phân bón Hữu cơ Việt Nhật,Công ty TNHH Phân bón Hữu cơ Việt Nhật,Công ty TNHH Phân bón Hữu cơ Việt Nhật,Công ty con,-,-,3.554.881.743,-,-,35.044.615.898,1.085.837.969,,,,3554881743.0,,,35044615898.0,1085837969.0
Công ty TNHH Đầu tư và Phát triển Cụm,Công ty TNHH Đầu tư và Phát triển Cụm,Công ty TNHH Đầu tư và Phát triển Cụm,,,,,,,,,,,,,,,,
Công nghiệp Khúc Xuyên,Công ty TNHH Đầu tư và Phát triển Cụm > Công nghiệp Khúc Xuyên,Công nghiệp Khúc Xuyên,Công ty con,-,-,-,-,-,-,747.215.296,,,,,,,,747215296.0
Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Đầu tư và Phát triển Cụm > Công ty TNHH Dabaco Thanh Hóa,Công ty TNHH Dabaco Thanh Hóa,Công ty con,605.059.620.000,-,78.272.225.883,32.031.150.607,-,-,-,,605059620000.0,,78272225883.0,32031150607.0,,,
Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty TNHH Đầu tư và Phát triển Cụm > Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,Công ty con,19.574.235.431,-,-,1.695.148.944,-,-,-,,19574235431.0,,,1695148944.0,,,
Công ty Cổ phần Dabaco Quảng Ninh,Công ty TNHH Đầu tư và Phát triển Cụm > Công ty Cổ phần Dabaco Quảng Ninh,Công ty Cổ phần Dabaco Quảng Ninh,Công ty con,-,-,-,-,-,99.000.000.000,-,,,,,,,99000000000.0,
Công ty TNHH Dược và Thủ y Dacovet,Công ty TNHH Đầu tư và Phát triển Cụm > Công ty TNHH Dược và Thủ y Dacovet,Công ty TNHH Dược và Thủ y Dacovet,Công ty con,-,-,-,-,-,50.000.000.000,-,,,,,,,50000000000.0,
Công ty Cổ phần Transeco,Công ty TNHH Đầu tư và Phát triển Cụm > Công ty Cổ phần Transeco,Công ty Cổ phần Transeco,Công ty liên kết,-,69.377.225.303,-,-,-,-,2.000.000.000,,,69377225303.0,,,,,2000000000.0
,,,,7.494.068.556.562,1.476.192.003.539,223.645.018.587,45.810.355.641,17.756.495.934,210.952.069.989,82.077.716.399,,7494068556562.0,1476192003539.0,223645018587.0,45810355641.0,17756495934.0,210952069989.0,82077716399.0
