row_label_raw,row_label_full,"07. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",Năm 2020,Năm 2019,numeric__Năm 2020,numeric__Năm 2019
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,10.197.120.922,9.563.507.289,10197120922.0,9563507289.0
Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,185.184.497,817.298.846,185184497.0,817298846.0
Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,476.413.696,235.884.486,476413696.0,235884486.0
Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,(26.605.033.044),(26.236.727.203),-26605033044.0,-26236727203.0
Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,Công ty Cổ phần Chế biến gỗ Cao su Chư Păng,26.451.029,169.404.761,26451029.0,169404761.0
Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,(2.097.491),-,-2097491.0,
Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,Công ty TNHH Đô thị và Công nghiệp Nam Tân Uyên,-,8.659.440.022,,8659440022.0
Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty Cổ phần Khu Công nghiệp Hồ Nai,(6.174.970),(8.555.471),-6174970.0,-8555471.0
Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,Công ty Cổ phần Cao su Dầu Tiếng Việt Lào,526.259.610,829.842.817,526259610.0,829842817.0
Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,4.196.191.710,,4196191710.0,
,,,319.423.213.015,413.725.488.527,319423213015.0,413725488527.0
08. Chi phí bán hàng,08. Chi phí bán hàng,08. Chi phí bán hàng,Năm 2020,Năm 2019,,
- Chi phí nhân viên,08. Chi phí bán hàng > - Chi phí nhân viên,- Chi phí nhân viên,34.581.865.738,26.470.261.675,34581865738.0,26470261675.0
- Chi phí vật liệu,08. Chi phí bán hàng > - Chi phí vật liệu,- Chi phí vật liệu,65.245.916.076,74.450.065.824,65245916076.0,74450065824.0
"- Chi phí vận chuyển, bốc xếp","08. Chi phí bán hàng > - Chi phí vận chuyển, bốc xếp","- Chi phí vận chuyển, bốc xếp",90.305.557.983,104.823.715.457,90305557983.0,104823715457.0
- Chi phí khấu hao TSCĐ,08. Chi phí bán hàng > - Chi phí khấu hao TSCĐ,- Chi phí khấu hao TSCĐ,1.716.852.276,2.088.510.333,1716852276.0,2088510333.0
- Chi phí dịch vụ mua ngoài,08. Chi phí bán hàng > - Chi phí dịch vụ mua ngoài,- Chi phí dịch vụ mua ngoài,194.540.249.003,146.748.442.541,194540249003.0,146748442541.0
- Chi hoa hồng môi giới,08. Chi phí bán hàng > - Chi hoa hồng môi giới,- Chi hoa hồng môi giới,3.285.485.947,1.312.249.766,3285485947.0,1312249766.0
- Chi phí khác,08. Chi phí bán hàng > - Chi phí khác,- Chi phí khác,53.236.098.795,73.092.509.834,53236098795.0,73092509834.0
Cộng,08. Chi phí bán hàng > Cộng,Cộng,442.912.025.818,428.985.755.430,442912025818.0,428985755430.0
