row_label_raw,row_label_full,col_0,Năm 2016VND,numeric__Năm 2016VND
Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú,
Giá trị dịch vụ quản lý vận hành,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú > Giá trị dịch vụ quản lý vận hành,Giá trị dịch vụ quản lý vận hành,4.820.485.231,4820485231.0
Trả phí dịch vụ quản lý vận hành,Công ty CP Đầu tư và Phát triển Thương mại Văn Phú > Trả phí dịch vụ quản lý vận hành,Trả phí dịch vụ quản lý vận hành,4.626.291.942,4626291942.0
Công ty CP Thời trang Gina Le,Công ty CP Thời trang Gina Le,Công ty CP Thời trang Gina Le,Công ty CP Thời trang Gina Le,
Chuyển tiền góp vốn,Công ty CP Thời trang Gina Le > Chuyển tiền góp vốn,Chuyển tiền góp vốn,900.000.000,900000000.0
Chuyển nhượng phần vốn góp,Công ty CP Thời trang Gina Le > Chuyển nhượng phần vốn góp,Chuyển nhượng phần vốn góp,1.050.000.000,1050000000.0
Thu tiền cho thuê mặt bằng,Công ty CP Thời trang Gina Le > Thu tiền cho thuê mặt bằng,Thu tiền cho thuê mặt bằng,450.000.000,450000000.0
Chuyển tiền phục vụ hoạt động sản xuất kinh doanh,Công ty CP Thời trang Gina Le > Chuyển tiền phục vụ hoạt động sản xuất kinh doanh,Chuyển tiền phục vụ hoạt động sản xuất kinh doanh,3.016.667,3016667.0
Công ty CP đầu tư Văn Phú - Mineral,Công ty CP đầu tư Văn Phú - Mineral,Công ty CP đầu tư Văn Phú - Mineral,Công ty CP đầu tư Văn Phú - Mineral,
Chuyển nhượng phần vốn góp,Công ty CP đầu tư Văn Phú - Mineral > Chuyển nhượng phần vốn góp,Chuyển nhượng phần vốn góp,1.610.000.000,1610000000.0
Công ty CP Đầu tư Văn Phú - House,Công ty CP Đầu tư Văn Phú - House,Công ty CP Đầu tư Văn Phú - House,Công ty CP Đầu tư Văn Phú - House,
Chuyển nhượng phần vốn góp,Công ty CP Đầu tư Văn Phú - House > Chuyển nhượng phần vốn góp,Chuyển nhượng phần vốn góp,179.675.000.000,179675000000.0
Chuyển tiền phục vụ hoạt động sản xuất kinh doanh,Công ty CP Đầu tư Văn Phú - House > Chuyển tiền phục vụ hoạt động sản xuất kinh doanh,Chuyển tiền phục vụ hoạt động sản xuất kinh doanh,3.000.000,3000000.0
Công ty CP SX và TM Tây Hà,Công ty CP SX và TM Tây Hà,Công ty CP SX và TM Tây Hà,Công ty CP SX và TM Tây Hà,
Chuyển nhượng phần vốn góp,Công ty CP SX và TM Tây Hà > Chuyển nhượng phần vốn góp,Chuyển nhượng phần vốn góp,23.700.000.000,23700000000.0
Chuyển tiền phục vụ hoạt động sản xuất kinh doanh,Công ty CP SX và TM Tây Hà > Chuyển tiền phục vụ hoạt động sản xuất kinh doanh,Chuyển tiền phục vụ hoạt động sản xuất kinh doanh,823.349.984,823349984.0
