row_label_raw,row_label_full,STT,Tên đơn vị,Số cuối năm > Giá trị (VND),Số cuối năm > Dự phòng (VND),Số cuối năm > Tỷ lệ vốn góp thực tế,Số cuối năm > Tỷ lệ biểu quyết,Số đầu năm > Giá trị (VND),Số đầu năm > Dự phòng (VND),Số đầu năm > Tỷ lệ vốn góp thực tế,Số đầu năm > Tỷ lệ biểu quyết,numeric__Tên đơn vị,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Dự phòng (VND),numeric__Số cuối năm > Tỷ lệ vốn góp thực tế,numeric__Số cuối năm > Tỷ lệ biểu quyết,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Dự phòng (VND),numeric__Số đầu năm > Tỷ lệ vốn góp thực tế,numeric__Số đầu năm > Tỷ lệ biểu quyết
11,11,11,Công ty TNHH Lợn giống Dabaco Lương Tài,50.000.000.000,(50.000.000.000),100%,100%,50.000.000.000,(11.096.472.228),100%,100%,,50000000000.0,-50000000000.0,1.0,1.0,50000000000.0,-11096472228.0,1.0,1.0
12,12,12,Công ty TNHH Lợn giống Phú Thọ,50.000.000.000,(50.000.000.000),100%,100%,50.000.000.000,(50.000.000.000),100%,100%,,50000000000.0,-50000000000.0,1.0,1.0,50000000000.0,-50000000000.0,1.0,1.0
13,13,13,Công ty TNHH Dabaco Tuyên Quang,50.000.000.000,(43.845.598.670),100%,100%,50.000.000.000,(9.458.706.294),100%,100%,,50000000000.0,-43845598670.0,1.0,1.0,50000000000.0,-9458706294.0,1.0,1.0
14,14,14,Công ty TNHH Đầu tư và Phát triển Chăn nuôi gia công,45.678.384.595,(45.678.384.595),100%,100%,25.678.384.595,(25.678.384.595),100%,100%,,45678384595.0,-45678384595.0,1.0,1.0,25678384595.0,-25678384595.0,1.0,1.0
15,15,15,Công ty TNHH Lợn giống Dabaco Hà Nam,40.000.000.000,(40.000.000.000),100%,100%,40.000.000.000,(40.000.000.000),100%,100%,,40000000000.0,-40000000000.0,1.0,1.0,40000000000.0,-40000000000.0,1.0,1.0
16,16,16,Công ty TNHH Lợn giống Hải Phòng,35.000.000.000,(35.000.000.000),100%,100%,35.000.000.000,(35.000.000.000),100%,100%,,35000000000.0,-35000000000.0,1.0,1.0,35000000000.0,-35000000000.0,1.0,1.0
17,17,17,Công ty TNHH MTV Lợn giống Lạc Vệ,30.551.441.897,(30.551.441.897),100%,100%,30.551.441.897,(30.551.441.897),100%,100%,,30551441897.0,-30551441897.0,1.0,1.0,30551441897.0,-30551441897.0,1.0,1.0
18,18,18,Công ty TNHH Đầu tư và Phát triển Chăn nuôi Lợn Dabaco,30.000.000.000,(30.000.000.000),100%,100%,30.000.000.000,(30.000.000.000),100%,100%,,30000000000.0,-30000000000.0,1.0,1.0,30000000000.0,-30000000000.0,1.0,1.0
19,19,19,Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco,30.000.000.000,-,100%,100%,30.000.000.000,-,100%,100%,,30000000000.0,,1.0,1.0,30000000000.0,,1.0,1.0
20,20,20,Công ty TNHH Thức ăn chăn nuôi Dabaco Bình Phước,30.000.000.000,(2.451.564.867),100%,100%,30.000.000.000,-,100%,100%,,30000000000.0,-2451564867.0,1.0,1.0,30000000000.0,,1.0,1.0
21,21,21,Công ty TNHH MTV Gà giống Dabaco,10.000.000.000,(10.000.000.000),100%,100%,10.000.000.000,(10.000.000.000),100%,100%,,10000000000.0,-10000000000.0,1.0,1.0,10000000000.0,-10000000000.0,1.0,1.0
,,,TỔNG CỘNG,1.606.622.333.081,(468.433.368.526),,,1.473.271.660.949,(348.855.467.671),,,,1606622333081.0,-468433368526.0,,,1473271660949.0,-348855467671.0,,
