row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,470.410.322.675,459.521.138.705,101.024.401.885,7.169.784.622,1.038.125.647.887,470410322675.0,459521138705.0,101024401885.0,7169784622.0,1038125647887.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,79.002.387.163,80.745.380.856,13.099.687.582,232.224.477,173.079.680.078,79002387163.0,80745380856.0,13099687582.0,232224477.0,173079680078.0
- Phân loại từ tài sản thuê tài chính(Thuyết minh số 11),Giá trị khấu hao lũy kế: > - Phân loại từ tài sản thuê tài chính(Thuyết minh số 11),- Phân loại từ tài sản thuê tài chính(Thuyết minh số 11),-,42.990.230.757,-,-,42.990.230.757,,42990230757.0,,,42990230757.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(6.302.944.652),(90.252.893.270),(462.359.582),(1.347.970.933),(98.366.168.437),-6302944652.0,-90252893270.0,-462359582.0,-1347970933.0,-98366168437.0
- Tài sản điều chuyển cho công ty con (*),Giá trị khấu hao lũy kế: > - Tài sản điều chuyển cho công ty con (*),- Tài sản điều chuyển cho công ty con (*),-,(10.482.921.710),-,-,(10.482.921.710),,-10482921710.0,,,-10482921710.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,543.109.765.186,482.520.935.338,113.661.729.885,6.054.038.166,1.145.346.468.575,543109765186.0,482520935338.0,113661729885.0,6054038166.0,1145346468575.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,769.923.295.710,438.685.553.760,61.789.097.650,-,1.270.397.947.120,769923295710.0,438685553760.0,61789097650.0,,1270397947120.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,1.287.039.570.462,650.514.272.526,74.021.256.032,4.412.265.069,2.015.987.364.089,1287039570462.0,650514272526.0,74021256032.0,4412265069.0,2015987364089.0
Trong đó:Tài sản sử dụng để thế chấp (**),Giá trị còn lại: > Trong đó:Tài sản sử dụng để thế chấp (**),Trong đó:Tài sản sử dụng để thế chấp (**),202.695.211.839,33.060.379.864,7.063.120.841,-,242.818.712.545,202695211839.0,33060379864.0,7063120841.0,,242818712545.0
"(*) Trong năm, Công ty đã thực hiện điều chuyển tài sản cố định cho các công ty con là Công ty TNHH Dabaco Tuyên Quang, Công ty TNHH Lợn giống hạt nhânDabaco, Công ty TNHH Lợn giống Dabaco Hà Nam và Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco.(**) Vào ngày 31 tháng 12 năm 2023, một số tài sản cố định là nhà xưởng, máy móc thiết bị sản xuất, dây chuyển sản xuất thức ăn chăn nuôi và thiết bị văn phòngvới giá trị còn lại là khoảng 243 tỷ đồng Việt Nam đã được sử dụng làm tài sản thể chấp cho các khoản vay tại các ngân hàng thương mại như đã được trìnhbảy trong Thuyết minh số 20.","(*) Trong năm, Công ty đã thực hiện điều chuyển tài sản cố định cho các công ty con là Công ty TNHH Dabaco Tuyên Quang, Công ty TNHH Lợn giống hạt nhânDabaco, Công ty TNHH Lợn giống Dabaco Hà Nam và Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco.(**) Vào ngày 31 tháng 12 năm 2023, một số tài sản cố định là nhà xưởng, máy móc thiết bị sản xuất, dây chuyển sản xuất thức ăn chăn nuôi và thiết bị văn phòngvới giá trị còn lại là khoảng 243 tỷ đồng Việt Nam đã được sử dụng làm tài sản thể chấp cho các khoản vay tại các ngân hàng thương mại như đã được trìnhbảy trong Thuyết minh số 20.","(*) Trong năm, Công ty đã thực hiện điều chuyển tài sản cố định cho các công ty con là Công ty TNHH Dabaco Tuyên Quang, Công ty TNHH Lợn giống hạt nhânDabaco, Công ty TNHH Lợn giống Dabaco Hà Nam và Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco.(**) Vào ngày 31 tháng 12 năm 2023, một số tài sản cố định là nhà xưởng, máy móc thiết bị sản xuất, dây chuyển sản xuất thức ăn chăn nuôi và thiết bị văn phòngvới giá trị còn lại là khoảng 243 tỷ đồng Việt Nam đã được sử dụng làm tài sản thể chấp cho các khoản vay tại các ngân hàng thương mại như đã được trìnhbảy trong Thuyết minh số 20.","(*) Trong năm, Công ty đã thực hiện điều chuyển tài sản cố định cho các công ty con là Công ty TNHH Dabaco Tuyên Quang, Công ty TNHH Lợn giống hạt nhânDabaco, Công ty TNHH Lợn giống Dabaco Hà Nam và Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco.(**) Vào ngày 31 tháng 12 năm 2023, một số tài sản cố định là nhà xưởng, máy móc thiết bị sản xuất, dây chuyển sản xuất thức ăn chăn nuôi và thiết bị văn phòngvới giá trị còn lại là khoảng 243 tỷ đồng Việt Nam đã được sử dụng làm tài sản thể chấp cho các khoản vay tại các ngân hàng thương mại như đã được trìnhbảy trong Thuyết minh số 20.","(*) Trong năm, Công ty đã thực hiện điều chuyển tài sản cố định cho các công ty con là Công ty TNHH Dabaco Tuyên Quang, Công ty TNHH Lợn giống hạt nhânDabaco, Công ty TNHH Lợn giống Dabaco Hà Nam và Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco.(**) Vào ngày 31 tháng 12 năm 2023, một số tài sản cố định là nhà xưởng, máy móc thiết bị sản xuất, dây chuyển sản xuất thức ăn chăn nuôi và thiết bị văn phòngvới giá trị còn lại là khoảng 243 tỷ đồng Việt Nam đã được sử dụng làm tài sản thể chấp cho các khoản vay tại các ngân hàng thương mại như đã được trìnhbảy trong Thuyết minh số 20.","(*) Trong năm, Công ty đã thực hiện điều chuyển tài sản cố định cho các công ty con là Công ty TNHH Dabaco Tuyên Quang, Công ty TNHH Lợn giống hạt nhânDabaco, Công ty TNHH Lợn giống Dabaco Hà Nam và Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco.(**) Vào ngày 31 tháng 12 năm 2023, một số tài sản cố định là nhà xưởng, máy móc thiết bị sản xuất, dây chuyển sản xuất thức ăn chăn nuôi và thiết bị văn phòngvới giá trị còn lại là khoảng 243 tỷ đồng Việt Nam đã được sử dụng làm tài sản thể chấp cho các khoản vay tại các ngân hàng thương mại như đã được trìnhbảy trong Thuyết minh số 20.","(*) Trong năm, Công ty đã thực hiện điều chuyển tài sản cố định cho các công ty con là Công ty TNHH Dabaco Tuyên Quang, Công ty TNHH Lợn giống hạt nhânDabaco, Công ty TNHH Lợn giống Dabaco Hà Nam và Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco.(**) Vào ngày 31 tháng 12 năm 2023, một số tài sản cố định là nhà xưởng, máy móc thiết bị sản xuất, dây chuyển sản xuất thức ăn chăn nuôi và thiết bị văn phòngvới giá trị còn lại là khoảng 243 tỷ đồng Việt Nam đã được sử dụng làm tài sản thể chấp cho các khoản vay tại các ngân hàng thương mại như đã được trìnhbảy trong Thuyết minh số 20.","(*) Trong năm, Công ty đã thực hiện điều chuyển tài sản cố định cho các công ty con là Công ty TNHH Dabaco Tuyên Quang, Công ty TNHH Lợn giống hạt nhânDabaco, Công ty TNHH Lợn giống Dabaco Hà Nam và Công ty TNHH Đầu tư Xây dựng và Phát triển Hạ tầng Dabaco.(**) Vào ngày 31 tháng 12 năm 2023, một số tài sản cố định là nhà xưởng, máy móc thiết bị sản xuất, dây chuyển sản xuất thức ăn chăn nuôi và thiết bị văn phòngvới giá trị còn lại là khoảng 243 tỷ đồng Việt Nam đã được sử dụng làm tài sản thể chấp cho các khoản vay tại các ngân hàng thương mại như đã được trìnhbảy trong Thuyết minh số 20.",,,,,
