row_label_raw,row_label_full,TÀI SẢN,Mã số,Số dư tại01/01/2023VND,Số dư tại31/12/2022VND,Đơn vị tính: VNDChênh lệnh,numeric__Mã số,numeric__Số dư tại01/01/2023VND,numeric__Số dư tại31/12/2022VND,numeric__Đơn vị tính: VNDChênh lệnh
3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,227,117.757.632.328,117.619.854.550,137.777.778,227.0,117757632328.0,117619854550.0,137777778.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,202.987.056.983,202.827.056.983,160.000.000,228.0,202987056983.0,202827056983.0,160000000.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,(85.229.424.655),(85.207.202.433),(22.222.222),229.0,-85229424655.0,-85207202433.0,-22222222.0
IV. Tài sản dỡ dang dài hạn,IV. Tài sản dỡ dang dài hạn,IV. Tài sản dỡ dang dài hạn,240,12.102.434.397.879,12.094.646.601.152,7.787.796.727,240.0,12102434397879.0,12094646601152.0,7787796727.0
1. Chi phí sản xuất kinh doanh dở dang dài,1. Chi phí sản xuất kinh doanh dở dang dài,1. Chi phí sản xuất kinh doanh dở dang dài,241,192.610.413.175,192.745.439.256,(135.026.081),241.0,192610413175.0,192745439256.0,-135026081.0
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,11.909.823.984.704,11.901.901.161.896,7.922.822.808,242.0,11909823984704.0,11901901161896.0,7922822808.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,2.826.988.655.514,2.823.208.037.195,3.780.618.319,250.0,2826988655514.0,2823208037195.0,3780618319.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,(50.380.358.133),(54.160.976.452),3.780.618.319,254.0,-50380358133.0,-54160976452.0,3780618319.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,3.994.389.273.486,4.026.493.637.511,(32.104.364.025),260.0,3994389273486.0,4026493637511.0,-32104364025.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,3.674.890.909.457,3.703.457.070.374,(28.566.160.917),261.0,3674890909457.0,3703457070374.0,-28566160917.0
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,114.354.099.253,117.892.302.361,(3.538.203.108),263.0,114354099253.0,117892302361.0,-3538203108.0
Cộng thay đổi Tài sản,Cộng thay đổi Tài sản,Cộng thay đổi Tài sản,,,,70.943.720.126,,,,70943720126.0
