row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Lỗ trước thuế của Công ty (chi nhánh Hồ Chí Minh),Trong đó > Lỗ trước thuế của Công ty (chi nhánh Hồ Chí Minh),Lỗ trước thuế của Công ty (chi nhánh Hồ Chí Minh),(40.779.832),(18.003.240),-40779832.0,-18003240.0
Lợi nhuận trước thuế của các công ty con,Trong đó > Lợi nhuận trước thuế của các công ty con,Lợi nhuận trước thuế của các công ty con,93.306.389.715,17.430.909.589,93306389715.0,17430909589.0
Lỗ trước thuế của các công ty con,Trong đó > Lỗ trước thuế của các công ty con,Lỗ trước thuế của các công ty con,(71.981.406.302),(89.250.401.397),-71981406302.0,-89250401397.0
Thu nhập chịu thuế cho hoạt động cho thuê đất từ các năm trước,Trong đó > Thu nhập chịu thuế cho hoạt động cho thuê đất từ các năm trước,Thu nhập chịu thuế cho hoạt động cho thuê đất từ các năm trước,6.484.477.034,5.690.165.264,6484477034.0,5690165264.0
Lỗ kỳ trước chuyển sang,Trong đó > Lỗ kỳ trước chuyển sang,Lỗ kỳ trước chuyển sang,(83.598.231.381),(209.062.479.280),-83598231381.0,-209062479280.0
Thu nhập chịu thuế/(lỗ tính thuế),Trong đó > Thu nhập chịu thuế/(lỗ tính thuế),Thu nhập chịu thuế/(lỗ tính thuế),436.823.023.405,(82.122.811.153),436823023405.0,-82122811153.0
Thuế TNDN phải trả ước tinh năm hiện hành,Trong đó > Thuế TNDN phải trả ước tinh năm hiện hành,Thuế TNDN phải trả ước tinh năm hiện hành,113.881.512.091,208.054.254,113881512091.0,208054254.0
Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,,-,,
Thuế TNDN trả trước đầu năm,Thuế TNDN phải trả đầu năm > Thuế TNDN trả trước đầu năm,Thuế TNDN trả trước đầu năm,(45.092.138.252),(43.774.550.524),-45092138252.0,-43774550524.0
Điều chỉnh thuế TNDN trích thiếu năm trước,Thuế TNDN phải trả đầu năm > Điều chỉnh thuế TNDN trích thiếu năm trước,Điều chỉnh thuế TNDN trích thiếu năm trước,-,1.714.279.090,,1714279090.0
Thuế TNDN đã trả trong năm,Thuế TNDN phải trả đầu năm > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(7.694.466.484),(3.239.921.072),-7694466484.0,-3239921072.0
Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả đầu năm > Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,61.094.907.355,(45.092.138.252),61094907355.0,-45092138252.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Thuế TNDN phải trả (Thuyết minh số 16),Trong đó: > Thuế TNDN phải trả (Thuyết minh số 16),Thuế TNDN phải trả (Thuyết minh số 16),99.054.381.716,-,99054381716.0,
Thuế TNDN trả trước (Thuyết minh số 16),Trong đó: > Thuế TNDN trả trước (Thuyết minh số 16),Thuế TNDN trả trước (Thuyết minh số 16),(37.959.474.361),(45.092.138.252),-37959474361.0,-45092138252.0
