row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,31/12/2018 VND,01/01/2018 VND,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2018 VND,numeric__01/01/2018 VND
1.,1.,1.,Hàng tồn kho,141,,766.308.887.273,561.279.373.724,,141.0,,766308887273.0,561279373724.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(21.276.723.024),(20.067.818.435),,149.0,,-21276723024.0,-20067818435.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,22.533.685.447,28.627.369.798,,150.0,,22533685447.0,28627369798.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,14.a,441.520.431,66.918.097,,151.0,,441520431.0,66918097.0
2.,2.,2.,Thuế GTGT được khấu trừ,152,,20.772.483.509,28.196.516.906,,152.0,,20772483509.0,28196516906.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,23,1.319.681.507,363.934.795,,153.0,23.0,1319681507.0,363934795.0
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,4.650.582.071.111,5.014.509.234.882,,200.0,,4650582071111.0,5014509234882.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,801.837.827.417,1.252.611.212.942,,210.0,,801837827417.0,1252611212942.0
1.,1.,1.,Phải thu về cho vay dài hạn,215,10.b,476.062.735.933,752.538.483.608,,215.0,,476062735933.0,752538483608.0
2.,2.,2.,Phải thu dài hạn khác,216,11.b,325.775.091.484,500.072.729.334,,216.0,,325775091484.0,500072729334.0
II.,II.,II.,Tài sản cố định,220,,2.992.446.912.133,2.664.947.443.713,,220.0,,2992446912133.0,2664947443713.0
1.,1.,1.,Tài sản cố định hữu hình,221,15,2.914.850.260.682,2.582.615.490.815,,221.0,15.0,2914850260682.0,2582615490815.0
,,,- Nguyên giá,222,,4.278.653.992.223,3.486.817.112.645,,222.0,,4278653992223.0,3486817112645.0
,,,- Giá trị hao mòn lũy kế,223,,(1.363.803.731.541),(904.201.621.830),,223.0,,-1363803731541.0,-904201621830.0
2.,2.,2.,Tài sản cố định vô hình,227,16,77.596.651.451,82.331.952.898,,227.0,16.0,77596651451.0,82331952898.0
,,,- Nguyên giá,228,,217.496.610.859,204.656.915.081,,228.0,,217496610859.0,204656915081.0
,,,- Giá trị hao mòn lũy kế,229,,(139.899.959.408),(122.324.962.183),,229.0,,-139899959408.0,-122324962183.0
III.,III.,III.,Bất động sản đầu tư,230,17,103.350.161.477,105.325.728.461,,230.0,17.0,103350161477.0,105325728461.0
,,,- Nguyên giá,231,,122.870.111.864,122.870.111.864,,231.0,,122870111864.0,122870111864.0
,,,- Giá trị hao mòn lũy kế,232,,(19.519.950.387),(17.544.383.403),,232.0,,-19519950387.0,-17544383403.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,,405.373.448.492,660.713.035.677,,240.0,,405373448492.0,660713035677.0
1.,1.,1.,"Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,-,-,,241.0,,,
2.,2.,2.,Chi phí xây dựng cơ bản dở dang,242,18,405.373.448.492,660.713.035.677,,242.0,18.0,405373448492.0,660713035677.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,,28.449.218.259,29.039.631.433,,250.0,,28449218259.0,29039631433.0
1.,1.,1.,"Đầu tư vào công ty liên doanh, liên kết",252,7.b,27.429.218.259,26.819.631.433,,252.0,,27429218259.0,26819631433.0
2.,2.,2.,Đầu tư góp vốn vào đơn vị khác,253,7.c,1.500.000.000,2.700.000.000,,253.0,,1500000000.0,2700000000.0
3.,3.,3.,Dự phòng đầu tư tài chính dài hạn,254,7.c,(480.000.000),(480.000.000),,254.0,,-480000000.0,-480000000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,319.124.503.333,301.872.182.656,,260.0,,319124503333.0,301872182656.0
1.,1.,1.,Chi phí trả trước dài hạn,261,14.b,53.452.796.141,43.177.553.475,,261.0,,53452796141.0,43177553475.0
2.,2.,2.,Tài sản thuế thu nhập hoãn lại,262,19,19.181.859.219,18.374.236.778,,262.0,19.0,19181859219.0,18374236778.0
3.,3.,3.,Lợi thế thương mại,269,20,246.489.847.973,240.320.392.403,,269.0,20.0,246489847973.0,240320392403.0
,,,TỔNG CỘNG TÀI SẢN,270,,8.712.257.964.384,8.312.491.432.050,,270.0,,8712257964384.0,8312491432050.0
