row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm nay,Đơn vị: VNDNăm trước(Trình bày lại),numeric__Mã số,numeric__Năm nay,numeric__Đơn vị: VNDNăm trước(Trình bày lại)
Thay đối các khoản phải thu,2. Điều chỉnh cho các khoản: > Thay đối các khoản phải thu,Thay đối các khoản phải thu,09,(3.427.880.752.543),(3.901.273.151.700),9.0,-3427880752543.0,-3901273151700.0
Thay hàng tồn kho,2. Điều chỉnh cho các khoản: > Thay hàng tồn kho,Thay hàng tồn kho,10,(19.942.284.528),(185.642.372.693),10.0,-19942284528.0,-185642372693.0
Thay đối các khoản phải trả,2. Điều chỉnh cho các khoản: > Thay đối các khoản phải trả,Thay đối các khoản phải trả,11,155.480.157.343,122.220.343.673,11.0,155480157343.0,122220343673.0
Thay đối chi phí trả trước,2. Điều chỉnh cho các khoản: > Thay đối chi phí trả trước,Thay đối chi phí trả trước,12,55.156.065.697,53.545.842.493,12.0,55156065697.0,53545842493.0
Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản: > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(68.527.656.317),(76.892.857.692),14.0,-68527656317.0,-76892857692.0
Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản: > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(2.000.000.000.000),(200.000.000.000),15.0,-2000000000000.0,-200000000000.0
Tiền chi khác cho hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(711.207.135.513),(272.122.021.168),17.0,-711207135513.0,-272122021168.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản: > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,6.937.054.051.063,3.332.973.016.800,20.0,6937054051063.0,3332973016800.0
II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chi mua sắm, xây dựng tài sản cố định","II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi mua sắm, xây dựng tài sản cố định","1. Tiền chi mua sắm, xây dựng tài sản cố định",21,(12.893.971.902.517),(5.063.131.419.355),21.0,-12893971902517.0,-5063131419355.0
"2. Tiền thu thanh lý, nhượng bán tài sản cố định","II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền thu thanh lý, nhượng bán tài sản cố định","2. Tiền thu thanh lý, nhượng bán tài sản cố định",22,665.491.038,1.348.865.072,22.0,665491038.0,1348865072.0
3. Tiền chi mua công cụ nợ của đơn vị khác,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền chi mua công cụ nợ của đơn vị khác,3. Tiền chi mua công cụ nợ của đơn vị khác,23,(1.948.000.000.000),(2.000.000.000.000),23.0,-1948000000000.0,-2000000000000.0
4. Tiền thu hồi bán lại các công cụ nợ của đơn vị khác,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu hồi bán lại các công cụ nợ của đơn vị khác,4. Tiền thu hồi bán lại các công cụ nợ của đơn vị khác,24,6.585.000.000.000,4.230.000.000.000,24.0,6585000000000.0,4230000000000.0
"5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","5. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,2.016.970.927.638,1.789.169.301.440,27.0,2016970927638.0,1789169301440.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(6.239.335.483.841),(1.042.613.252.843),30.0,-6239335483841.0,-1042613252843.0
