row_label_raw,row_label_full,"5.6 Các khoản phải thu ngắn hạn, dài hạn khác","5.6 Các khoản phải thu ngắn hạn, dài hạn khác_1","5.6 Các khoản phải thu ngắn hạn, dài hạn khác_2","5.6 Các khoản phải thu ngắn hạn, dài hạn khác_3","5.6 Các khoản phải thu ngắn hạn, dài hạn khác_4","5.6 Các khoản phải thu ngắn hạn, dài hạn khác_5","numeric__5.6 Các khoản phải thu ngắn hạn, dài hạn khác_1","numeric__5.6 Các khoản phải thu ngắn hạn, dài hạn khác_2","numeric__5.6 Các khoản phải thu ngắn hạn, dài hạn khác_3","numeric__5.6 Các khoản phải thu ngắn hạn, dài hạn khác_4","numeric__5.6 Các khoản phải thu ngắn hạn, dài hạn khác_5"
Phải thu từ hoạt động thanh lý tài sản,Tạm ứng cho nhân viên > Phải thu từ hoạt động thanh lý tài sản,Phải thu từ hoạt động thanh lý tài sản,Phải thu từ hoạt động thanh lý tài sản,-,-,290.788.401.334,-,,,,290788401334.0,
Phải thu từ hoạt động chuyển nhượng khoản đầu tư (iii),Tạm ứng cho nhân viên > Phải thu từ hoạt động chuyển nhượng khoản đầu tư (iii),Phải thu từ hoạt động chuyển nhượng khoản đầu tư (iii),Phải thu từ hoạt động chuyển nhượng khoản đầu tư (iii),19.163.384.000,-,39.637.315.070,-,,19163384000.0,,39637315070.0,
Phải thu từ hoạt động bán các khoản phải thu (iv),Tạm ứng cho nhân viên > Phải thu từ hoạt động bán các khoản phải thu (iv),Phải thu từ hoạt động bán các khoản phải thu (iv),Phải thu từ hoạt động bán các khoản phải thu (iv),74.554.981.799,(37.277.490.900),74.554.981.799,-,,74554981799.0,-37277490900.0,74554981799.0,
Lãi chậm thanh toán,Tạm ứng cho nhân viên > Lãi chậm thanh toán,Lãi chậm thanh toán,Lãi chậm thanh toán,349.179.042.380,(30.413.769.289),147.144.983.758,(39.262.940.435),,349179042380.0,-30413769289.0,147144983758.0,-39262940435.0
"Lãi tiền gửi ngân hàng, lãi cho vay","Tạm ứng cho nhân viên > Lãi tiền gửi ngân hàng, lãi cho vay","Lãi tiền gửi ngân hàng, lãi cho vay","Lãi tiền gửi ngân hàng, lãi cho vay",3.648.880.083,-,4.533.254.563,-,,3648880083.0,,4533254563.0,
Cổ tức và lợi nhuận được chia,Tạm ứng cho nhân viên > Cổ tức và lợi nhuận được chia,Cổ tức và lợi nhuận được chia,Cổ tức và lợi nhuận được chia,2.694.833.301,-,2.694.833.301,-,,2694833301.0,,2694833301.0,
Phải thu khác từ nhân viên,Tạm ứng cho nhân viên > Phải thu khác từ nhân viên,Phải thu khác từ nhân viên,Phải thu khác từ nhân viên,9.970.431.397,-,10.677.663.518,-,,9970431397.0,,10677663518.0,
Các khoản ký quỹ,Tạm ứng cho nhân viên > Các khoản ký quỹ,Các khoản ký quỹ,Các khoản ký quỹ,7.493.151.294,-,29.074.988.470,-,,7493151294.0,,29074988470.0,
Các khoản phải thu khác,Tạm ứng cho nhân viên > Các khoản phải thu khác,Các khoản phải thu khác,Các khoản phải thu khác,19.859.227.685,-,49.891.699.334,-,,19859227685.0,,49891699334.0,
,,,,1.087.229.592.378,(144.250.718.446),1.890.367.973.672,(188.736.437.156),,1087229592378.0,-144250718446.0,1890367973672.0,-188736437156.0
