row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,Năm 2025 VND,Năm 2024 VND,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2025 VND,numeric__Năm 2024 VND
Lợi nhuận KD trước những thay đổi vốn lưu động,"(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > Lợi nhuận KD trước những thay đổi vốn lưu động",Lợi nhuận KD trước những thay đổi vốn lưu động,08,,502.156.491.473,130.005.438.296,8.0,,502156491473.0,130005438296.0
"(Tăng), giảm các khoản phải thu","(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > (Tăng), giảm các khoản phải thu","(Tăng), giảm các khoản phải thu",09,,919.872.870.701,1.431.338.242.127,9.0,,919872870701.0,1431338242127.0
"(Tăng), giảm hàng tồn kho","(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > (Tăng), giảm hàng tồn kho","(Tăng), giảm hàng tồn kho",10,,(558.121.872.360),(442.245.029.431),10.0,,-558121872360.0,-442245029431.0
"Tăng, (giảm) các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > Tăng, (giảm) các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","Tăng, (giảm) các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,585.527.244.414,(560.645.593.029),11.0,,585527244414.0,-560645593029.0
(Tăng)/giảm chi phí trả trước,"(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > (Tăng)/giảm chi phí trả trước",(Tăng)/giảm chi phí trả trước,12,,(55.551.760.338),26.631.389.825,12.0,,-55551760338.0,26631389825.0
(Tăng)/ giảm chứng khoán kinh doanh,"(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > (Tăng)/ giảm chứng khoán kinh doanh",(Tăng)/ giảm chứng khoán kinh doanh,13,,-,-,13.0,,,
Tiền lãi vay đã trả,"(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > Tiền lãi vay đã trả",Tiền lãi vay đã trả,14,,(350.397.228.822),(408.246.162.761),14.0,,-350397228822.0,-408246162761.0
Tiền thuế thu nhập doanh nghiệp đã nộp,"(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > Tiền thuế thu nhập doanh nghiệp đã nộp",Tiền thuế thu nhập doanh nghiệp đã nộp,15,,-,-,15.0,,,
Tiền thu khác từ hoạt động kinh doanh,"(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > Tiền thu khác từ hoạt động kinh doanh",Tiền thu khác từ hoạt động kinh doanh,16,,-,-,16.0,,,
Tiền chi khác từ hoạt kinh doanh,"(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > Tiền chi khác từ hoạt kinh doanh",Tiền chi khác từ hoạt kinh doanh,17,,-,-,17.0,,,
"Lưu chuyển tiền thuần từ hoạt động sản xuất, kinh doanh","(Lãi), lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản > Lưu chuyển tiền thuần từ hoạt động sản xuất, kinh doanh","Lưu chuyển tiền thuần từ hoạt động sản xuất, kinh doanh",20,,1.043.485.745.068,176.838.285.027,20.0,,1043485745068.0,176838285027.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"Tiền chi để mua sắm, XD TSCĐ và các TSDH khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi để mua sắm, XD TSCĐ và các TSDH khác","Tiền chi để mua sắm, XD TSCĐ và các TSDH khác",21,,(853.862.819.304),(192.536.574.673),21.0,,-853862819304.0,-192536574673.0
"Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác",22,,99.343.322.455,344.357.861.407,22.0,,99343322455.0,344357861407.0
"Tiền chi cho vay, mua các công cụ nợ của các đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay, mua các công cụ nợ của các đơn vị khác","Tiền chi cho vay, mua các công cụ nợ của các đơn vị khác",23,,(33.694.575.245),(315.324.480.769),23.0,,-33694575245.0,-315324480769.0
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,25.939.367.988,85.652.722.040,24.0,,25939367988.0,85652722040.0
Tiền chi đầu tư góp vốn vào đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(2.049.496.092),(2.153.907.733),25.0,,-2049496092.0,-2153907733.0
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi đầu tư góp vốn vào đơn vị khác,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,-,74.402.520.000,26.0,,,74402520000.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,454.011.087,235.284.389.314,27.0,,454011087.0,235284389314.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(763.870.189.111),229.682.529.586,30.0,,-763870189111.0,229682529586.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,,,,
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,-,-,31.0,,,
"Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành","Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",32,,-,-,32.0,,,
Tiền thu từ đi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,7.2,3.707.301.110.019,3.297.636.755.863,33.0,72.0,3707301110019.0,3297636755863.0
Tiền chi trả nợ gốc vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,34,7.3,(3.923.261.849.345),(3.751.059.487.428),34.0,73.0,-3923261849345.0,-3751059487428.0
Tiền chi trả nợ gốc thuê tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền chi trả nợ gốc thuê tài chính,Tiền chi trả nợ gốc thuê tài chính,35,,-,-,35.0,,,
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,-,-,36.0,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(215.960.739.326),(453.422.731.565),40.0,,-215960739326.0,-453422731565.0
LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,50,,63.654.816.631,(46.901.916.952),50.0,,63654816631.0,-46901916952.0
TIÊN VÀ TƯƠNG ĐƯƠNG TIÊN ĐẦU NĂM,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > TIÊN VÀ TƯƠNG ĐƯƠNG TIÊN ĐẦU NĂM,TIÊN VÀ TƯƠNG ĐƯƠNG TIÊN ĐẦU NĂM,60,5.1,234.635.692.583,281.535.495.972,60.0,51.0,234635692583.0,281535495972.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,(10.852.331),2.113.563,61.0,,-10852331.0,2113563.0
TIÊN VÀ TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > TIÊN VÀ TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM,TIÊN VÀ TƯƠNG ĐƯƠNG TIÊN CUỐI NĂM,70,,298.279.656.883,234.635.692.583,70.0,,298279656883.0,234635692583.0
