row_label_raw,row_label_full,col_0,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 Triệu VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 Triệu VND,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 Triệu VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017 Triệu VND
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
09,Những thay đổi về tài sản hoạt động > 09,09,Tăng các khoản tiền gửi và cho vay các tổ chức tín dụng khác,(2.726.232),(1.110.027),,-2726232.0,-1110027.0
10,Những thay đổi về tài sản hoạt động > 10,10,Tăng các khoản về kinh doanh chứng khoán,(540.434),(7.820.344),,-540434.0,-7820344.0
11,Những thay đổi về tài sản hoạt động > 11,11,Giảm các công cụ tài chính phải sinh và các tài sản tài chính khác,-,16.065,,,16065.0
12,Những thay đổi về tài sản hoạt động > 12,12,Tăng các khoản cho vay khách hàng,(32.252.679),(34.477.205),,-32252679.0,-34477205.0
13,Những thay đổi về tài sản hoạt động > 13,13,Giảm nguồn dự phòng để bù đắp tồn thất các khoản,(238.171),(4.643.282),,-238171.0,-4643282.0
14,Những thay đổi về tài sản hoạt động > 14,14,Giảm/(tăng) khác về tài sản hoạt động,423.717,(560.653),,423717.0,-560653.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Tăng các khoản nợ Chính phủ và Ngân hàng Nhà nước,3.074.100,-,,3074100.0,
16,Những thay đổi về công nợ hoạt động > 16,16,"Tăng các khoản tiền gửi, tiền vay các tổ chức tín dụng khác",5.372.081,13.126.219,,5372081.0,13126219.0
17,Những thay đổi về công nợ hoạt động > 17,17,Tăng tiền gửi của khách hàng,28.855.475,34.270.495,,28855475.0,34270495.0
18,Những thay đổi về công nợ hoạt động > 18,18,Tăng phát hành giấy tờ có giá,2.195.600,-,,2195600.0,
19,Những thay đổi về công nợ hoạt động > 19,19,"Tăng vốn tài trợ, uỷ thác đầu tư, cho vay mà tổ chức tín dụng chịu rủi ro",23.627,13.769,,23627.0,13769.0
20,Những thay đổi về công nợ hoạt động > 20,20,Tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,27.707,10.491,,27707.0,10491.0
21,Những thay đổi về công nợ hoạt động > 21,21,Tăng khác về công nợ hoạt động,622.488,366.386,,622488.0,366386.0
22,Những thay đổi về công nợ hoạt động > 22,22,Chi từ các quỹ của tổ chức tín dụng,(5.205),(5.000),,-5205.0,-5000.0
I,Những thay đổi về công nợ hoạt động > I,I,LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG KINH DOANH,11.803.260,4.763.017,,11803260.0,4763017.0
