row_label_raw,row_label_full,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_1,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_2,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_3,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_4,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_5,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_6,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_7,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_8,NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_9,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_1,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_2,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_3,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_4,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_5,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_6,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_7,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_8,numeric__NGÂN HÀNG THƯƠNG MẠI CÓ PHẦN Á CHÂU_9
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,3.162.339,-,-,-,-,-,-,-,3.162.339,3162339.0,,,,,,,,3162339.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),8.520.193,374.640,2.863,1,13,-,9,37,8.897.756,8520193.0,374640.0,2863.0,1.0,13.0,,9.0,37.0,8897756.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,315.435.186,15.035.397,245.620,138.555,1.943.382,44.407,14.766,30.634,332.887.947,315435186.0,15035397.0,245620.0,138555.0,1943382.0,44407.0,14766.0,30634.0,332887947.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,3.074.100,-,-,-,-,-,-,-,3.074.100,3074100.0,,,,,,,,3074100.0
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,14.845.962,5.906.185,-,-,-,-,-,-,20.752.147,14845962.0,5906185.0,,,,,,,20752147.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,260.451.410,9.672.133,-,117.981,170.525,41.518,5.188,14.228,270.472.983,260451410.0,9672133.0,,117981.0,170525.0,41518.0,5188.0,14228.0,270472983.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(2.477.749),756.979,-,-,1.755.558,-,3.410,-,38.198,-2477749.0,756979.0,,,1755558.0,,3410.0,,38198.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",130.890,-,-,-,29.203,-,-,-,160.093,130890.0,,,,29203.0,,,,160093.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,7.416.918,-,-,-,-,-,-,-,7.416.918,7416918.0,,,,,,,,7416918.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,5.605.923,323.090,-,17.476,6.497,3.451,6.168,9.932,5.972.537,5605923.0,323090.0,,17476.0,6497.0,3451.0,6168.0,9932.0,5972537.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,20.674.058,-,-,-,-,-,-,-,20.674.058,20674058.0,,,,,,,,20674058.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,309.721.512,16.658.387,-,135.457,1.961.783,44.969,14.766,24.160,328.561.034,309721512.0,16658387.0,,135457.0,1961783.0,44969.0,14766.0,24160.0,328561034.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,5.713.674,(1.622.990),245.620,3.098,(18.401),(562),-,6.474,4.326.913,5713674.0,-1622990.0,245620.0,3098.0,-18401.0,-562.0,,6474.0,4326913.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(7.350.183),(1.757.306),-,(142.702),(45.056),622,-,(99.604),(9.394.229),-7350183.0,-1757306.0,,-142702.0,-45056.0,622.0,,-99604.0,-9394229.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(1.636.509),(3.380.296),245.620,(139.604),(63.457),60,-,(93.130),(5.067.316),-1636509.0,-3380296.0,245620.0,-139604.0,-63457.0,60.0,,-93130.0,-5067316.0
