row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty HP Land,Công ty Đại Đông Á > Công ty HP Land,Công ty HP Land,Công ty có chungthành viên quảnlý chủ chốt vớicông ty con,"Nhận lại tiền đặt cọcChuyển tiền đặt cọcPhải trả tiền mua sầm tài sản, dịch vụPhải thu phí môi giớiTiền mặt bằng đã thuPhí môi giới đã thuPhí dịch vụ đã thuPhải trả tiền thuê xeTiền thuê xe đã trảBù trừ công nợ",356.400.000,356.400.000,,,356400000.0,356400000.0
Công ty HP Land,Công ty Đại Đông Á > Công ty HP Land,Công ty HP Land,Công ty có chungthành viên quảnlý chủ chốt vớicông ty con,"Nhận lại tiền đặt cọcChuyển tiền đặt cọcPhải trả tiền mua sầm tài sản, dịch vụPhải thu phí môi giớiTiền mặt bằng đã thuPhí môi giới đã thuPhí dịch vụ đã thuPhải trả tiền thuê xeTiền thuê xe đã trảBù trừ công nợ",-,356.400.000,,,,356400000.0
Công ty HP Land,Công ty Đại Đông Á > Công ty HP Land,Công ty HP Land,Công ty có chungthành viên quảnlý chủ chốt vớicông ty con,"Nhận lại tiền đặt cọcChuyển tiền đặt cọcPhải trả tiền mua sầm tài sản, dịch vụPhải thu phí môi giớiTiền mặt bằng đã thuPhí môi giới đã thuPhí dịch vụ đã thuPhải trả tiền thuê xeTiền thuê xe đã trảBù trừ công nợ",4.024.933.140,4.089.044.787,,,4024933140.0,4089044787.0
Công ty Cổ phầnDịch vụ An ninhANTV,Công ty Đại Đông Á > Công ty Cổ phầnDịch vụ An ninhANTV,Công ty Cổ phầnDịch vụ An ninhANTV,Công ty có cùngthành viên quảnlý chủ chốt vớiCông ty con,Phí dịch vụ phải trảPhí dịch vụ đã trảPhí dịch vụ phải thuPhí dịch vụ đã thu,15.446.646.60015.372.289.400,-,,,1.5446646600153723e+21,
Công ty Cổ phầnDịch vụ An ninhANTV,Công ty Đại Đông Á > Công ty Cổ phầnDịch vụ An ninhANTV,Công ty Cổ phầnDịch vụ An ninhANTV,Công ty có cùngthành viên quảnlý chủ chốt vớiCông ty con,Phí dịch vụ phải trảPhí dịch vụ đã trảPhí dịch vụ phải thuPhí dịch vụ đã thu,190.817.385,-,,,190817385.0,
Công ty Cổ phầnDịch vụ An ninhANTV,Công ty Đại Đông Á > Công ty Cổ phầnDịch vụ An ninhANTV,Công ty Cổ phầnDịch vụ An ninhANTV,Công ty có cùngthành viên quảnlý chủ chốt vớiCông ty con,Phí dịch vụ phải trảPhí dịch vụ đã trảPhí dịch vụ phải thuPhí dịch vụ đã thu,191.558.556,-,,,191558556.0,
Công ty TNHHQuản lý Đô thị AnLand,Công ty Đại Đông Á > Công ty TNHHQuản lý Đô thị AnLand,Công ty TNHHQuản lý Đô thị AnLand,Công ty có cùngthành viên quảnlý chủ chốt vớiCông ty con,Phí dịch vụ phải thuPhí dịch vụ phải trảPhí dịch vụ đã trảPhí dịch vụ thu hộChuyển trả tiền phí dịch vụ thu hộBù trừ công nợ thu hộ với phải thu phí dịch vụ,2.481.293.6121.454.256.3661.562.385.486223.642.8472.502.899.9112.278.647.150,2.322.177.8361.256.123.0551.147.993.935447.078.7812.900.563.0262.217.157.903,,,2.4812936121454257e+58,2.3221778361256123e+58
Công ty BT HàĐông,Công ty Đại Đông Á > Công ty BT HàĐông,Công ty BT HàĐông,Công ty liêndoanh,Chuyển tiền góp vốn,2.660.000.000,5.826.607.167,,,2660000000.0,5826607167.0
Công ty Cienco 5,Công ty Đại Đông Á > Công ty Cienco 5,Công ty Cienco 5,Công ty có chungthành viên chủchốt,Phải trả tiền xây dựngTiền xây dựng đã trảPhí dịch vụ phải thuPhí dịch vụ đã thu,64.348.110.76076.698.850.627405.797.550451.167.922,-,,,6.434811076076699e+39,
Công ty Cienco 5,Công ty Đại Đông Á > Công ty Cienco 5,Công ty Cienco 5,Công ty có chungthành viên chủchốt,Phải trả tiền xây dựngTiền xây dựng đã trảPhí dịch vụ phải thuPhí dịch vụ đã thu,206.473.045266.900.620,,,,2.064730452669006e+17,
