row_label_raw,row_label_full,col_0,Cây trồnglâu năm,"Phương tiệnvận tải, truyền dẫn",Nhà cửa vàvật kiến trúc,Máy móc vàthiết bị,Thiết bịvăn phòng,Tài sản khác,Ngàn VNDTổng cộng,numeric__Cây trồnglâu năm,"numeric__Phương tiệnvận tải, truyền dẫn",numeric__Nhà cửa vàvật kiến trúc,numeric__Máy móc vàthiết bị,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__Ngàn VNDTổng cộng
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,,
Số đầu năm,Khấu hao lũy kế > Số đầu năm,Số đầu năm,(779.594.718),(628.386.447),(311.262.830),(236.339.664),(1.356.533),(7.038.500),(1.963.978.692),-779594718.0,-628386447.0,-311262830.0,-236339664.0,-1356533.0,-7038500.0,-1963978692.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(380.559.202),(144.652.588),(87.896.666),(55.054.563),(740.884),(1.975.726),(670.879.629),-380559202.0,-144652588.0,-87896666.0,-55054563.0,-740884.0,-1975726.0,-670879629.0
Mua công ty con,Khấu hao lũy kế > Mua công ty con,Mua công ty con,(1.666.580),-,(50.617),(41.254),-,(15.476),(1.773.927),-1666580.0,,-50617.0,-41254.0,,-15476.0,-1773927.0
Thanh lý công ty con,Khấu hao lũy kế > Thanh lý công ty con,Thanh lý công ty con,32.904.712,71.731.060,4.849.415,33.581.843,-,-,143.067.030,32904712.0,71731060.0,4849415.0,33581843.0,,,143067030.0
Thanh lý trong năm,Khấu hao lũy kế > Thanh lý trong năm,Thanh lý trong năm,-,6.238.407,64.544,5.208.519,-,-,11.511.470,,6238407.0,64544.0,5208519.0,,,11511470.0
Chênh lệch tỷ giá,Khấu hao lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,55.328.579,27.983.203,20.851.029,7.815.717,3.665,292.862,112.275.055,55328579.0,27983203.0,20851029.0,7815717.0,3665.0,292862.0,112275055.0
Số cuối năm,Khấu hao lũy kế > Số cuối năm,Số cuối năm,(1.073.587.209),(667.086.365),(373.445.125),(244.829.402),(2.093.752),(8.736.840),(2.369.778.693),-1073587209.0,-667086365.0,-373445125.0,-244829402.0,-2093752.0,-8736840.0,-2369778693.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,5.743.569.598,1.404.271.275,1.124.412.224,224.976.341,2.909.896,12.807.823,8.512.947.157,5743569598.0,1404271275.0,1124412224.0,224976341.0,2909896.0,12807823.0,8512947157.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,6.779.553.575,1.245.308.982,1.160.282.459,222.180.509,2.206.576,14.350.524,9.423.882.625,6779553575.0,1245308982.0,1160282459.0,222180509.0,2206576.0,14350524.0,9423882625.0
Trong đó:Thế chấp để đảm bảo chocác khoản vay (TM số 22),Giá trị còn lại > Trong đó:Thế chấp để đảm bảo chocác khoản vay (TM số 22),Trong đó:Thế chấp để đảm bảo chocác khoản vay (TM số 22),6.712.279.920,1.245.308.982,1.160.079.989,221.972.568,-,14.323.143,9.353.964.602,6712279920.0,1245308982.0,1160079989.0,221972568.0,,14323143.0,9353964602.0
