row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2018,Quá hạnVND,Khôngchịu lãiVND,Dưới1 thángVND,Từ 1 đến3 thángVND,Từ trên 3 đến6 thángVND,Từ trên 6 đến12 thángVND,Từ trên 1 đến5 nămVND,Trên 5 nămVND,TổngVND,numeric__Quá hạnVND,numeric__Khôngchịu lãiVND,numeric__Dưới1 thángVND,numeric__Từ 1 đến3 thángVND,numeric__Từ trên 3 đến6 thángVND,numeric__Từ trên 6 đến12 thángVND,numeric__Từ trên 1 đến5 nămVND,numeric__Trên 5 nămVND,numeric__TổngVND
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.158.287.131.305,5.818.183.547.677,23.054.452.734.106,23.084.557.278.997,18.328.159.269.245,4.677.325.858.021,17.332.998.744.347,6.228.666.600.000,100.682.631.163.698,2158287131305.0,5818183547677.0,23054452734106.0,23084557278997.0,18328159269245.0,4677325858021.0,17332998744347.0,6228666600000.0,100682631163698.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,1.232.652.713.665,18.255.045.975,79.590.958.264,138.871.126.271,-,-,1.469.369.844.175,,,1232652713665.0,18255045975.0,79590958264.0,138871126271.0,,,1469369844175.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,14.646.389.104.487,1.830.301.328.076,82.429.549.380,-,195.439.995.403,1.419.998.796,16.755.979.976.142,,,14646389104487.0,1830301328076.0,82429549380.0,,195439995403.0,1419998796.0,16755979976142.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,25.613.790.978.648,10.950.901.695.397,13.494.955.843.775,8.601.269.789.052,1.786.127.827.710,691.980.000,60.447.738.114.582,,,25613790978648.0,10950901695397.0,13494955843775.0,8601269789052.0,1786127827710.0,691980000.0,60447738114582.0
"Vốn tài trợ, ủy thác dấu tư,cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác dấu tư,cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác dấu tư,cho vay TCTD chịu rủi ro",-,-,370.880.000.000,251.142.150.000,927.734.040.000,1.911.050.000,883.216.289.507,119.203.153.704,2.554.086.683.211,,,370880000000.0,251142150000.0,927734040000.0,1911050000.0,883216289507.0,119203153704.0,2554086683211.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,46.391.640.000,152.786.221.145,1.188.308.037.772,2.055.994.484.202,4.712.920.515.601,-,8.156.400.898.720,,,46391640000.0,152786221145.0,1188308037772.0,2055994484202.0,4712920515601.0,,8156400898720.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,1.867.387.413.427,-,-,-,-,-,-,1.867.387.413.427,,1867387413427.0,,,,,,,1867387413427.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,1.867.387.413.427,41.910.104.436.800,13.203.386.440.593,15.773.018.429.191,10.798.046.449.525,7.577.704.628.221,121.315.132.500,91.250.962.930.257,,1867387413427.0,41910104436800.0,13203386440593.0,15773018429191.0,10798046449525.0,7577704628221.0,121315132500.0,91250962930257.0
Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],2.158.287.131.305,3.950.796.134.250,(18.855.651.702.694),9.881.170.838.404,2.555.140.840.054,(6.120.720.591.504),9.755.294.116.126,6.107.351.467.500,9.431.668.233.441,2158287131305.0,3950796134250.0,-18855651702694.0,9881170838404.0,2555140840054.0,-6120720591504.0,9755294116126.0,6107351467500.0,9431668233441.0
Mức chênh nhạy cảm với lãi suất ngoại bảng (4),Mức chênh nhạy cảm với lãi suất ngoại bảng (4),Mức chênh nhạy cảm với lãi suất ngoại bảng (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng[(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suất ngoại bảng (4) > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng[(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng[(5)=(3)+(4)]",2.158.287.131.305,3.950.796.134.250,(18.855.651.702.694),9.881.170.838.404,2.555.140.840.054,(6.120.720.591.504),9.755.294.116.126,6.107.351.467.500,9.431.668.233.441,2158287131305.0,3950796134250.0,-18855651702694.0,9881170838404.0,2555140840054.0,-6120720591504.0,9755294116126.0,6107351467500.0,9431668233441.0
