row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2020,01/01/2020,numeric__Mã số,numeric__TM,numeric__31/12/2020,numeric__01/01/2020
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,5.10,8.915.426.848,26.060.324.848,151.0,510.0,8915426848.0,26060324848.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,65.895.246.115,43.147.387.295,152.0,,65895246115.0,43147387295.0
Thuế và các khoản khác phải thu nhà nước,Thuế và các khoản khác phải thu nhà nước,Thuế và các khoản khác phải thu nhà nước,153,5.13,477.808.230,10.537.458.600,153.0,513.0,477808230.0,10537458600.0
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,16.563.794.695.501,18.408.687.559.121,200.0,,16563794695501.0,18408687559121.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,11.229.974.268,9.773.677.378,210.0,,11229974268.0,9773677378.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,5.4,11.229.974.268,9.773.677.378,216.0,54.0,11229974268.0,9773677378.0
Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),219,,-,-,219.0,,,
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,14.542.939.662.560,15.995.264.965.109,220.0,,14542939662560.0,15995264965109.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,221,5.8,14.507.064.948.688,15.956.245.370.816,221.0,58.0,14507064948688.0,15956245370816.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,33.526.079.594.914,33.317.701.024.345,222.0,,33526079594914.0,33317701024345.0
- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),223,,(19.019.014.646.226),(17.361.455.653.529),223.0,,-19019014646226.0,-17361455653529.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,227,5.9,35.874.713.872,39.019.594.293,227.0,59.0,35874713872.0,39019594293.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,49.913.314.429,49.918.621.728,228.0,,49913314429.0,49918621728.0
- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),- Giá trị hao mòn luỹ kế (*),229,,(14.038.600.557),(10.899.027.435),229.0,,-14038600557.0,-10899027435.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,5.7,141.846.826.075,119.938.005.994,240.0,57.0,141846826075.0,119938005994.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,1.053.494.656,873.587.951,241.0,,1053494656.0,873587951.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,,140.793.331.419,119.064.418.043,242.0,,140793331419.0,119064418043.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,5.2,1.224.938.734.159,1.224.938.734.159,250.0,52.0,1224938734159.0,1224938734159.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,,-,-,251.0,,,
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,1.224.938.734.159,1.224.938.734.159,253.0,,1224938734159.0,1224938734159.0
Dự phòng giảm giá đầu tư tài chính dài hạn (*),Dự phòng giảm giá đầu tư tài chính dài hạn (*),Dự phòng giảm giá đầu tư tài chính dài hạn (*),254,,-,-,254.0,,,
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,642.839.498.439,1.058.772.176.481,260.0,,642839498439.0,1058772176481.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,5.10,469.014.901.923,893.598.552.737,261.0,510.0,469014901923.0,893598552737.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,262,,-,-,262.0,,,
"Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,173.824.596.516,165.173.623.744,263.0,,173824596516.0,165173623744.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,,-,-,269.0,,,
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,20.080.779.446.928,21.932.003.704.371,270.0,,20080779446928.0,21932003704371.0
