row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2024Nghìn VND,1/1/2024Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2024Nghìn VND,numeric__1/1/2024Nghìn VND
Thuế thu nhập hoãn lại phải trả,NGUỒN VỐN > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,23(a),584.715.264,1.457.520.209,341.0,,584715264.0,1457520209.0
Dự phòng phải trả dài hạn,NGUỒN VỐN > Dự phòng phải trả dài hạn,Dự phòng phải trả dài hạn,342,24,465.288.768,5.507.645.797,342.0,24.0,465288768.0,5507645797.0
VỐN CHỦ SỞ HỮU (400 = 410),NGUỒN VỐN > VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,12.163.693.516,13.624.491.863,400.0,,12163693516.0,13624491863.0
Vốn chủ sở hữu,NGUỒN VỐN > Vốn chủ sở hữu,Vốn chủ sở hữu,410,25,12.163.693.516,13.624.491.863,410.0,25.0,12163693516.0,13624491863.0
Vốn cổ phần,NGUỒN VỐN > Vốn cổ phần,Vốn cổ phần,411,26,10.991.554.200,10.991.554.200,411.0,26.0,10991554200.0,10991554200.0
- Cổ phiếu phổ thông có quyền biểu quyết,NGUỒN VỐN > - Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,10.991.554.200,10.991.554.200,,,10991554200.0,10991554200.0
Thặng dư vốn cổ phần,NGUỒN VỐN > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,26,1.098.259.892,1.098.259.892,412.0,26.0,1098259892.0,1098259892.0
Vốn khác của chủ sở hữu,NGUỒN VỐN > Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,(295.683.347),(295.683.347),414.0,,-295683347.0,-295683347.0
Chênh lệch tỷ giá hối đoái,NGUỒN VỐN > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,-,(233.846.997),417.0,,,-233846997.0
Quỹ khác thuộc vốn chủ sở hữu,NGUỒN VỐN > Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,-,396.305.033,420.0,,,396305033.0
Lợi nhuận sau thuế chưa phân phối,NGUỒN VỐN > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,369.562.771,1.455.345.029,421.0,,369562771.0,1455345029.0
- LNST chưa phân phối đến cuối năm trước,NGUỒN VỐN > - LNST chưa phân phối đến cuối năm trước,- LNST chưa phân phối đến cuối năm trước,421a,,1.455.345.029,3.031.229.349,,,1455345029.0,3031229349.0
- Lỗ năm nay,NGUỒN VỐN > - Lỗ năm nay,- Lỗ năm nay,421b,,(1.085.782.258),(1.575.884.320),,,-1085782258.0,-1575884320.0
Lợi ích cổ đông không kiểm soát,NGUỒN VỐN > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,-,212.558.053,429.0,,,212558053.0
TỔNG NGUỒN VỐN (440 = 300 + 400),NGUỒN VỐN > TỔNG NGUỒN VỐN (440 = 300 + 400),TỔNG NGUỒN VỐN (440 = 300 + 400),440,,26.966.527.000,40.372.356.113,440.0,,26966527000.0,40372356113.0
