row_label_raw,row_label_full,col_0,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính),numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3
Ngân hàng TNHH MTV UOB Việt Nam,Bên cho vay > Ngân hàng TNHH MTV UOB Việt Nam,Ngân hàng TNHH MTV UOB Việt Nam,(vii),USD,384.498.035.750,57.085.000.000,,,384498035750.0,57085000000.0
Ngân hàng TNHH MTV UOB Việt Nam,Bên cho vay > Ngân hàng TNHH MTV UOB Việt Nam,Ngân hàng TNHH MTV UOB Việt Nam,(viii),VND,66.934.425.013,61.832.823.335,,,66934425013.0,61832823335.0
Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,Bên cho vay > Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,(ix),VND,60.626.701.580,42.323.443.406,,,60626701580.0,42323443406.0
Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,Bên cho vay > Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,(ix),USD,73.836.076.658,46.084.500.000,,,73836076658.0,46084500000.0
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,Bên cho vay > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,(x),VND,-,145.844.804.159,,,,145844804159.0
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bà Rịa Vũng Tàu,Bên cho vay > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bà Rịa Vũng Tàu,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bà Rịa Vũng Tàu,(xi),VND,8.440.160.000,-,,,8440160000.0,
Ngân Hàng TMCP Hàng Hải Việt Nam - Chi nhánh TP. Hồ Chí Minh,Bên cho vay > Ngân Hàng TMCP Hàng Hải Việt Nam - Chi nhánh TP. Hồ Chí Minh,Ngân Hàng TMCP Hàng Hải Việt Nam - Chi nhánh TP. Hồ Chí Minh,(xii),VND,67.617.983.015,97.147.784.400,,,67617983015.0,97147784400.0
Ngân Hàng TMCP Sài Gòn Thương Tín - Chi nhánh Trung Tâm,Bên cho vay > Ngân Hàng TMCP Sài Gòn Thương Tín - Chi nhánh Trung Tâm,Ngân Hàng TMCP Sài Gòn Thương Tín - Chi nhánh Trung Tâm,(xiii),VND,-,50.000.000.000,,,,50000000000.0
Ngân Hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,Bên cho vay > Ngân Hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,Ngân Hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,(xiv),VND,75.695.575.053,19.942.608.592,,,75695575053.0,19942608592.0
Ngân Hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,Bên cho vay > Ngân Hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,Ngân Hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,(xiv),USD,101.281.886.260,155.234.011.226,,,101281886260.0,155234011226.0
,,,,,4.829.888.415.777,5.266.057.103.675,,,4829888415777.0,5266057103675.0
