row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2022,Đơn vị tính: VND 01/01/2022,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2022,numeric__Đơn vị tính: VND 01/01/2022
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,224.903.449.704,225.108.875.092,231.0,,224903449704.0,225108875092.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(55.728.368.631),(50.700.039.521),232.0,,-55728368631.0,-50700039521.0
IV Tài sản dở dang dài hạn,IV Tài sản dở dang dài hạn,IV Tài sản dở dang dài hạn,240,,20.468.025.147,21.617.325.147,240.0,,20468025147.0,21617325147.0
1 Chi phí xây dựng cơ bản dở dang,1 Chi phí xây dựng cơ bản dở dang,1 Chi phí xây dựng cơ bản dở dang,242,V.11.,20.468.025.147,21.617.325.147,242.0,,20468025147.0,21617325147.0
V Đầu tư tài chính dài hạn,V Đầu tư tài chính dài hạn,V Đầu tư tài chính dài hạn,250,V.2.,2.134.927.172.794,2.235.693.407.483,250.0,,2134927172794.0,2235693407483.0
1 Đầu tư vào công ty con,1 Đầu tư vào công ty con,1 Đầu tư vào công ty con,251,,2.420.484.108.803,2.424.447.074.014,251.0,,2420484108803.0,2424447074014.0
2 Dự phòng đầu tư tài chính dài hạn,2 Dự phòng đầu tư tài chính dài hạn,2 Dự phòng đầu tư tài chính dài hạn,254,,(285.556.936.009),(188.753.666.531),254.0,,-285556936009.0,-188753666531.0
VI Tài sản dài hạn khác,VI Tài sản dài hạn khác,VI Tài sản dài hạn khác,260,,6.273.568.699,7.128.956.961,260.0,,6273568699.0,7128956961.0
1 Chi phí trả trước dài hạn,1 Chi phí trả trước dài hạn,1 Chi phí trả trước dài hạn,261,V.12.,6.273.568.699,7.128.956.961,261.0,,6273568699.0,7128956961.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,3.858.361.537.100,3.516.412.372.492,270.0,,3858361537100.0,3516412372492.0
