row_label_raw,row_label_full,Tại 31 tháng 12 năm 2021(Triệu VND),Quá hạn,Khônghương lãi,Dưới1 tháng,Từ 1 đến3 tháng,Từ 3 đến6 tháng,Từ 6 đến12 tháng,Từ 1 đến5 năm,Trên5 năm,Tổng cộng,numeric__Quá hạn,numeric__Khônghương lãi,numeric__Dưới1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ 3 đến6 tháng,numeric__Từ 6 đến12 tháng,numeric__Từ 1 đến5 năm,numeric__Trên5 năm,numeric__Tổng cộng
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,82.035,42.730.468,-,-,-,-,-,-,42.812.503,82035.0,42730468.0,,,,,,,42812503.0
,,,2.499.528,52.477.832,256.263.072,44.685.360,27.988.168,28.447.413,50.511.132,26.745.444,489.617.949,2499528.0,52477832.0,256263072.0,44685360.0,27988168.0,28447413.0,50511132.0,26745444.0,489617949.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,8.444.199,2.181,7.807,188,-,-,8.454.375,,,8444199.0,2181.0,7807.0,188.0,,,8454375.0
"Tiền gửi và vay các TCTD, TCTC khác","Nợ phải trả > Tiền gửi và vay các TCTD, TCTC khác","Tiền gửi và vay các TCTD, TCTC khác",-,-,57.157.441,18.667.197,23.846.743,6.903.965,380.500,-,106.955.846,,,57157441.0,18667197.0,23846743.0,6903965.0,380500.0,,106955846.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,107.226.538,60.325.826,51.639.546,17.648.266,2.286.923,1.420,239.128.519,,,107226538.0,60325826.0,51639546.0,17648266.0,2286923.0,1420.0,239128519.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,325,103.605,-,-,-,-,103.930,,,325.0,103605.0,,,,,103930.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,45.402,587.453,3.495.105,9.431.820,29.049.507,-,42.609.287,,,45402.0,587453.0,3495105.0,9431820.0,29049507.0,,42609287.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,11.151.410,-,-,-,-,-,-,11.151.410,,11151410.0,,,,,,,11151410.0
,,,-,11.151.410,172.873.905,79.686.262,78.989.201,33.984.239,31.716.930,1.420,408.403.367,,11151410.0,172873905.0,79686262.0,78989201.0,33984239.0,31716930.0,1420.0,408403367.0
Mức chênh nhạy cảm với lãi suất nộibảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nộibảng,Mức chênh nhạy cảm với lãi suất nộibảng,2.499.528,41.326.422,83.389.167,(35.000.902),(51.001.033),(5.536.826),18.794.202,26.744.024,81.214.582,2499528.0,41326422.0,83389167.0,-35000902.0,-51001033.0,-5536826.0,18794202.0,26744024.0,81214582.0
Mức chênh nhạy cảm với lãi suấtngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suấtngoại bảng,Mức chênh nhạy cảm với lãi suấtngoại bảng,-,-,-,-,20.444.265,3.105.695,(12.249.110),(11.300.850),-,,,,,20444265.0,3105695.0,-12249110.0,-11300850.0,
"Mức chênh nhạy cảm với lãi suất nội,ngoại bảng","Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội,ngoại bảng","Mức chênh nhạy cảm với lãi suất nội,ngoại bảng",2.499.528,41.326.422,83.389.167,(35.000.902),(30.556.768),(2.431.131),6.545.092,15.443.174,81.214.582,2499528.0,41326422.0,83389167.0,-35000902.0,-30556768.0,-2431131.0,6545092.0,15443174.0,81214582.0
