row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2024,Khu vựcMiền BắcTriệu VND,Khu vựcMiền TrungTriệu VND,Khu vựcMiền NamTriệu VND,Tổng bộ phàndã báo cáoTriệu VND,Loại trừTriệu VND,Tổng cộngTriệu VND,numeric__Khu vựcMiền BắcTriệu VND,numeric__Khu vựcMiền TrungTriệu VND,numeric__Khu vựcMiền NamTriệu VND,numeric__Tổng bộ phàndã báo cáoTriệu VND,numeric__Loại trừTriệu VND,numeric__Tổng cộngTriệu VND
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,320.968,656.625,14.795.508,15.773.101,-,15.773.101,320968.0,656625.0,14795508.0,15773101.0,,15773101.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,47.305,1.814,92.203.506,92.252.625,-,92.252.625,47305.0,1814.0,92203506.0,92252625.0,,92252625.0
Cho vay khách hàng – thuần,Tài sản > Cho vay khách hàng – thuần,Cho vay khách hàng – thuần,82.745.680,89.817.886,346.136.125,518.699.691,-,518.699.691,82745680.0,89817886.0,346136125.0,518699691.0,,518699691.0
Chứng khoán đầu tư – thuần,Tài sản > Chứng khoán đầu tư – thuần,Chứng khoán đầu tư – thuần,-,-,89.253.107,89.253.107,-,89.253.107,,,89253107.0,89253107.0,,89253107.0
Tài sản Có khác – thuần,Tài sản > Tài sản Có khác – thuần,Tài sản Có khác – thuần,972.318,1.047.285,15.660.659,17.680.262,(563.801),17.116.461,972318.0,1047285.0,15660659.0,17680262.0,-563801.0,17116461.0
TỔNG TÀI SẢN,Tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,85.211.992,92.536.729,563.858.201,741.606.922,(563.801),741.043.121,85211992.0,92536729.0,563858201.0,741606922.0,-563801.0,741043121.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,54.255,54.255,-,54.255,,,54255.0,54255.0,,54255.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,738.829,4.961,70.836.823,71.580.613,-,71.580.613,738829.0,4961.0,70836823.0,71580613.0,,71580613.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,105.690.983,72.581.616,383.468.802,561.741.401,-,561.741.401,105690983.0,72581616.0,383468802.0,561741401.0,,561741401.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,3.472.192,1.860.784,31.420.547,36.753.523,-,36.753.523,3472192.0,1860784.0,31420547.0,36753523.0,,36753523.0
Nợ phải trả khác,Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,1.914.685,1.192.676,14.279.239,17.386.600,(563.801),16.822.799,1914685.0,1192676.0,14279239.0,17386600.0,-563801.0,16822799.0
TỔNG NỘ PHẢI TRẢ,Nợ phải trả > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,111.816.689,75.640.037,500.059.666,687.516.392,(563.801),686.952.591,111816689.0,75640037.0,500059666.0,687516392.0,-563801.0,686952591.0
