row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn Chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Nguồn vốn đầu tư XDCB,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn Chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Nguồn vốn đầu tư XDCB,numeric__Cộng
cuối năm trước,cuối năm trước,cuối năm trước,4.483.500.000.000,913.476.178.878,21.824.042.505,(149.876.239),(211.681.407.015),194.835.810.008,6.598.811.391,788.838.027.398,484.802.805.904,-,6.682.044.392.830,4483500000000.0,913476178878.0,21824042505.0,-149876239.0,-211681407015.0,194835810008.0,6598811391.0,788838027398.0,484802805904.0,,6682044392830.0
ong năm nay,ong năm nay,ong năm nay,-,-,-,-,-,-,-,565.494.693.465,101.718.146.702,-,667.212.840.167,,,,,,,,565494693465.0,101718146702.0,,667212840167.0
ố tức,ố tức,ố tức,-,-,-,-,-,-,-,(425.932.500.000),(48.367.102.142),-,(474.299.602.142),,,,,,,,-425932500000.0,-48367102142.0,,-474299602142.0
lập quỹ,lập quỹ,lập quỹ,-,-,398.485.996,-,-,44.737.447.232,-,(45.135.933.228),-,-,-,,,398485996.0,,,44737447232.0,,-45135933228.0,,,
lập quỹ khen thưởng phúc lợi,lập quỹ khen thưởng phúc lợi,lập quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(20.034.509.137),(9.430.284.149),-,(29.464.793.286),,,,,,,,-20034509137.0,-9430284149.0,,-29464793286.0
khác,khác,khác,-,-,-,-,-,-,-,3.196.905.231,-,-,3.196.905.231,,,,,,,,3196905231.0,,,3196905231.0
ù lao của Hội đồng quản trị,ù lao của Hội đồng quản trị,ù lao của Hội đồng quản trị,-,-,-,-,-,-,-,(1.458.848.487),(934.999.513),-,(2.393.848.000),,,,,,,,-1458848487.0,-934999513.0,,-2393848000.0
do Công ty con điều chỉnh hồi nhuận các năm trước,do Công ty con điều chỉnh hồi nhuận các năm trước,do Công ty con điều chỉnh hồi nhuận các năm trước,-,-,-,-,-,-,-,(2.650.878.168),(1.609.531.168),-,(4.260.409.336),,,,,,,,-2650878168.0,-1609531168.0,,-4260409336.0
ng ty con thay đổi vốn góp,ng ty con thay đổi vốn góp,ng ty con thay đổi vốn góp,,16.127.388.891,363.623.181,,,1.919.971.983,(3.481),(65.635.996.758),88.043.780.584,-,40.818.764.400,,16127388891.0,363623181.0,,,1919971983.0,-3481.0,-65635996758.0,88043780584.0,,40818764400.0
chính theo báo cáo quyết toán phần vốn nhà nước (25.1),chính theo báo cáo quyết toán phần vốn nhà nước (25.1),chính theo báo cáo quyết toán phần vốn nhà nước (25.1),-,-,-,-,-,-,-,(65.982.902.293),-,-,(65.982.902.293),,,,,,,,-65982902293.0,,,-65982902293.0
khác,khác,khác,-,(311.659.491),-,-,-,-,-,(395.218.304),(149.698.279),-,(856.576.074),,-311659491.0,,,,,,-395218304.0,-149698279.0,,-856576074.0
