row_label_raw,row_label_full,col_0,Mã số,Đã điều chỉnh lại > VND,Đã trình bày trên báo cáo nằm trước > VND,numeric__Mã số,numeric__Đã điều chỉnh lại > VND,numeric__Đã trình bày trên báo cáo nằm trước > VND
Tài sản cố định vô hình,a/ Băng Cân đối kế toán hợp nhất > Tài sản cố định vô hình,Tài sản cố định vô hình,227,156.320.567.376,156.320.072.539,227.0,156320567376.0,156320072539.0
Bất động sản đầu tư,a/ Băng Cân đối kế toán hợp nhất > Bất động sản đầu tư,Bất động sản đầu tư,230,2.860.760.478.540,2.858.540.966.220,230.0,2860760478540.0,2858540966220.0
Chi phí xây dựng cơ bản dở dang,a/ Băng Cân đối kế toán hợp nhất > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,1.454.288.346.772,1.446.498.458.445,242.0,1454288346772.0,1446498458445.0
Chi phí trả trước dài hạn,a/ Băng Cân đối kế toán hợp nhất > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,271.421.824.882,277.864.493.744,261.0,271421824882.0,277864493744.0
Phải trả người bán ngắn hạn,a/ Băng Cân đối kế toán hợp nhất > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,311,1.069.825.457.703,1.071.837.413.395,311.0,1069825457703.0,1071837413395.0
Người mua trả tiền trước ngắn hạn,a/ Băng Cân đối kế toán hợp nhất > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,312,204.045.389.430,175.598.389.430,312.0,204045389430.0,175598389430.0
Thuế và các khoản phải nộp Nhà nước,a/ Băng Cân đối kế toán hợp nhất > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,251.979.614.567,240.570.469.002,313.0,251979614567.0,240570469002.0
Phải trả người lao động,a/ Băng Cân đối kế toán hợp nhất > Phải trả người lao động,Phải trả người lao động,314,169.538.699.326,169.565.015.708,314.0,169538699326.0,169565015708.0
Chi phí phải trả ngắn hạn,a/ Băng Cân đối kế toán hợp nhất > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,730.902.486.987,756.689.003.558,315.0,730902486987.0,756689003558.0
Phải trả ngắn hạn khác,a/ Băng Cân đối kế toán hợp nhất > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,337.162.230.537,302.151.266.596,319.0,337162230537.0,302151266596.0
Dự phòng phải trả ngắn hạn,a/ Băng Cân đối kế toán hợp nhất > Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,139.073.685.069,142.231.713.064,321.0,139073685069.0,142231713064.0
"Quỹ khen thưởng, phúc lợi","a/ Băng Cân đối kế toán hợp nhất > Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",322,100.473.204.243,100.558.910.043,322.0,100473204243.0,100558910043.0
Lợi nhuận sau thuế chưa phân phối,a/ Băng Cân đối kế toán hợp nhất > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,788.838.027.398,765.082.646.461,421.0,788838027398.0,765082646461.0
Lợi ích cổ đông không kiểm soát,a/ Băng Cân đối kế toán hợp nhất > Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,484.802.805.904,482.069.491.509,429.0,484802805904.0,482069491509.0
Nguồn kinh phí đã hình thành TSCĐ,a/ Băng Cân đối kế toán hợp nhất > Nguồn kinh phí đã hình thành TSCĐ,Nguồn kinh phí đã hình thành TSCĐ,432,36.872.775.983,48.483.775.983,432.0,36872775983.0,48483775983.0
b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất,,,
Doanh thu bán hàng và cung cấp dịch vụ,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,9.204.467.624.436,9.205.509.347.295,1.0,9204467624436.0,9205509347295.0
Giá vốn hàng bán,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Giá vốn hàng bán,Giá vốn hàng bán,11,7.028.217.346.804,7.055.593.789.496,11.0,7028217346804.0,7055593789496.0
Doanh thu hoạt động tài chính,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,78.631.232.923,77.556.616.941,21.0,78631232923.0,77556616941.0
Chi phí tài chính,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Chi phí tài chính,Chi phí tài chính,22,168.920.660.136,169.775.660.136,22.0,168920660136.0,169775660136.0
Chi phí bán hàng,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Chi phí bán hàng,Chi phí bán hàng,25,561.588.692.828,561.848.219.206,25.0,561588692828.0,561848219206.0
Chi phí quản lý doanh nghiệp,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,569.171.797.892,573.698.732.583,26.0,569171797892.0,573698732583.0
Thu nhập khác,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Thu nhập khác,Thu nhập khác,31,111.565.769.074,109.752.944.789,31.0,111565769074.0,109752944789.0
Chi phí khác,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Chi phí khác,Chi phí khác,32,125.292.005.762,124.963.104.554,32.0,125292005762.0,124963104554.0
Tổng lợi nhuận kế toán trước thuế,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,948.344.473.255,913.809.753.294,50.0,948344473255.0,913809753294.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,174.621.104.815,166.575.080.186,51.0,174621104815.0,166575080186.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,748.551.485.308,722.062.789.976,60.0,748551485308.0,722062789976.0
Lợi nhuận sau thuế của Công ty mẹ,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế của Công ty mẹ,Lợi nhuận sau thuế của Công ty mẹ,61,623.892.550.371,600.137.169.434,61.0,623892550371.0,600137169434.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,124.658.934.937,121.925.620.542,62.0,124658934937.0,121925620542.0
Lãi cơ bản trên cổ phiếu,b/ Báo cáo Kết quả hoạt động kinh doanh hợp nhất > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,1.648,1.585,70.0,1648.0,1585.0
