row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản khác,numeric__Tổng
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.479.393.860.504,5.211.618.205.598,353.443.426.985,46.294.003.351,30.434.908.097,9.121.184.404.535,3479393860504.0,5211618205598.0,353443426985.0,46294003351.0,30434908097.0,9121184404535.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,389.099.440.180,995.431.160.866,63.379.063.004,5.593.217.795,22.815.487.127,1.476.318.368.972,389099440180.0,995431160866.0,63379063004.0,5593217795.0,22815487127.0,1476318368972.0
Điều chỉnh giá trị quyết toán xây dựng cơ bản,GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chỉnh giá trị quyết toán xây dựng cơ bản,Điều chỉnh giá trị quyết toán xây dựng cơ bản,(95.749.545),(2.310.885.003),-,-,-,(2.406.634.548),-95749545.0,-2310885003.0,,,,-2406634548.0
Mua lại tài sản cố định thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Mua lại tài sản cố định thuê tài chính,Mua lại tài sản cố định thuê tài chính,-,42.018.279.540,6.891.414.773,-,-,48.909.694.313,,42018279540.0,6891414773.0,,,48909694313.0
Bán tài sản (tái thuê tài chính như trình bày tại Thuyết minh số 12),GIÁ TRỊ HAO MÒN LỦY KẾ > Bán tài sản (tái thuê tài chính như trình bày tại Thuyết minh số 12),Bán tài sản (tái thuê tài chính như trình bày tại Thuyết minh số 12),-,(31.778.387.380),(745.169.288),-,-,(32.523.556.668),,-31778387380.0,-745169288.0,,,-32523556668.0
Phân loại lại bắt động sản đầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại bắt động sản đầu tư,Phân loại lại bắt động sản đầu tư,(58.109.064.332),278.361.214,-,1.454.223.118,-,(56.376.480.000),-58109064332.0,278361214.0,,1454223118.0,,-56376480000.0
"Thanh lý, nhượng bán, phá dỡ","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán, phá dỡ","Thanh lý, nhượng bán, phá dỡ",(198.189.246.611),(102.516.158.505),(18.945.293.349),(1.596.932.254),-,(321.247.630.719),-198189246611.0,-102516158505.0,-18945293349.0,-1596932254.0,,-321247630719.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,7.368.997.046,5.249.203.159,(5.033.399.804),1.281.418.359,-,8.866.218.760,7368997046.0,5249203159.0,-5033399804.0,1281418359.0,,8866218760.0
"Tăng, giảm khác","GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng, giảm khác","Tăng, giảm khác",(702.146.687),-,-,(18.129.096),-,(720.275.783),-702146687.0,,,-18129096.0,,-720275783.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.618.766.090.555,6.117.989.779.489,398.990.042.321,53.007.801.273,53.250.395.224,10.242.004.108.862,3618766090555.0,6117989779489.0,398990042321.0,53007801273.0,53250395224.0,10242004108862.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,5.671.413.578.712,10.199.147.581.483,243.104.453.453,17.735.641.683,152.834.136.645,16.284.235.391.976,5671413578712.0,10199147581483.0,243104453453.0,17735641683.0,152834136645.0,16284235391976.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,6.219.120.886.394,9.395.015.085.679,264.127.309.749,19.641.493.771,133.036.291.191,16.030.941.066.784,6219120886394.0,9395015085679.0,264127309749.0,19641493771.0,133036291191.0,16030941066784.0
