row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,VNDTriệu VND,USDTriệu VND,VàngTriệu VND,EURTriệu VND,JPYTriệu VND,AUDTriệu VND,CADTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__VàngTriệu VND,numeric__EURTriệu VND,numeric__JPYTriệu VND,numeric__AUDTriệu VND,numeric__CADTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,161.988.717,13.205.362,-,109.804,64.093,14.328,3.027,9.671,175.395.002,161988717.0,13205362.0,,109804.0,64093.0,14328.0,3027.0,9671.0,175395002.0
"Vốn tài trợ, ủy thác đầu tư, cho vay","Vốn tài trợ, ủy thác đầu tư, cho vay","Vốn tài trợ, ủy thác đầu tư, cho vay",,,,,,,,,,,,,,,,,,
TCTD chịu rủi ro,"Vốn tài trợ, ủy thác đầu tư, cho vay > TCTD chịu rủi ro",TCTD chịu rủi ro,130.935,-,-,-,30.743,-,-,-,161.678,130935.0,,,,30743.0,,,,161678.0
Phát hành giấy tờ có giá,"Vốn tài trợ, ủy thác đầu tư, cho vay > Phát hành giấy tờ có giá",Phát hành giấy tờ có giá,3.000.000,-,-,-,-,-,-,-,3.000.000,3000000.0,,,,,,,,3000000.0
Các khoản nợ khác,"Vốn tài trợ, ủy thác đầu tư, cho vay > Các khoản nợ khác",Các khoản nợ khác,2.468.364,251.180,-,14.168,38.456,2.638,1.168,7.064,2.783.038,2468364.0,251180.0,,14168.0,38456.0,2638.0,1168.0,7064.0,2783038.0
Vốn chủ sở hữu,"Vốn tài trợ, ủy thác đầu tư, cho vay > Vốn chủ sở hữu",Vốn chủ sở hữu,12.502.699,-,-,-,-,-,-,-,12.502.699,12502699.0,,,,,,,,12502699.0
,,,187.507.325,13.579.216,-,123.987,133.315,17.040,4.195,16.735,201.381.813,187507325.0,13579216.0,,123987.0,133315.0,17040.0,4195.0,16735.0,201381813.0
Trạng thái tiền tệ nội bảng,"Vốn tài trợ, ủy thác đầu tư, cho vay > Trạng thái tiền tệ nội bảng",Trạng thái tiền tệ nội bảng,3.897.611,20.544,394.438,759,(69.350),67.519,(44),13.159,4.324.636,3897611.0,20544.0,394438.0,759.0,-69350.0,67519.0,-44.0,13159.0,4324636.0
Trạng thái tiền tệ ngoại bảng,"Vốn tài trợ, ủy thác đầu tư, cho vay > Trạng thái tiền tệ ngoại bảng",Trạng thái tiền tệ ngoại bảng,(5.001.234),(3.168.970),-,(142.261),(124.838),(67.490),-,(113.017),(8.617.810),-5001234.0,-3168970.0,,-142261.0,-124838.0,-67490.0,,-113017.0,-8617810.0
"Trạng thái tiền tệ nội, ngoại bảng","Vốn tài trợ, ủy thác đầu tư, cho vay > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(1.103.623),(3.148.426),394.438,(141.502),(194.188),29,(44),(99.858),(4.293.174),-1103623.0,-3148426.0,394438.0,-141502.0,-194188.0,29.0,-44.0,-99858.0,-4293174.0
