row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2014,Quá hạnTriệu VND,Khôngchịu lãiTriệu VND,Đến 1 thángTriệu VND,Từ trên 1 đến3 thángTriệu VND,Từ trên 3đến 6 thángTriệu VND,Từ trên 6đến 12 thángTriệu VND,Từ trên 1đến 5 nămTriệu VND,Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạnTriệu VND,numeric__Khôngchịu lãiTriệu VND,numeric__Đến 1 thángTriệu VND,numeric__Từ trên 1 đến3 thángTriệu VND,numeric__Từ trên 3đến 6 thángTriệu VND,numeric__Từ trên 6đến 12 thángTriệu VND,numeric__Từ trên 1đến 5 nămTriệu VND,numeric__Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,190.579,9.473.861,-,-,-,-,-,-,9.664.440,190579.0,9473861.0,,,,,,,9664440.0
,,,4.118.796,23.347.695,4.772.130,99.764.521,6.058.206,11.111.673,31.940.332,2.026.335,183.139.688,4118796.0,23347695.0,4772130.0,99764521.0,6058206.0,11111673.0,31940332.0,2026335.0,183139688.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,2.798.864,3.198.526,-,-,-,-,5.997.390,,,2798864.0,3198526.0,,,,,5997390.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,76.584.659,14.798.448,20.338.014,7.552.138,36.241.820,32,155.515.111,,,76584659.0,14798448.0,20338014.0,7552138.0,36241820.0,32.0,155515111.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,-,-,158.734,-,-,-,29.421,188.155,,,,158734.0,,,,29421.0,188155.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,-,-,3.000.000,3.000.000,,,,,,,,3000000.0,3000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.068.094,-,-,-,-,-,-,3.068.094,,3068094.0,,,,,,,3068094.0
,,,-,3.068.094,79.383.523,18.155.708,20.338.014,7.552.138,36.241.820,3.029.453,167.768.750,,3068094.0,79383523.0,18155708.0,20338014.0,7552138.0,36241820.0,3029453.0,167768750.0
Mức chênh nhạy cảm với lãi suấtnội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bảng,Mức chênh nhạy cảm với lãi suấtnội bảng,4.118.796,20.279.601,(74.611.393),81.608.813,(14.279.808),3.559.535,(4.301.488),(1.003.118),15.370.938,4118796.0,20279601.0,-74611393.0,81608813.0,-14279808.0,3559535.0,-4301488.0,-1003118.0,15370938.0
Mức chênh nhạy cảm với lãi suấtngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suấtngoại bảng,Mức chênh nhạy cảm với lãi suấtngoại bảng,-,(9.548.240),-,-,-,-,-,-,(9.548.240),,-9548240.0,,,,,,,-9548240.0
"Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng","Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng","Mức chênh nhạy cảm với lãi suấtnội, ngoại bảng",4.118.796,10.731.361,(74.611.393),81.608.813,(14.279.808),3.559.535,(4.301.488),(1.003.118),5.822.698,4118796.0,10731361.0,-74611393.0,81608813.0,-14279808.0,3559535.0,-4301488.0,-1003118.0,5822698.0
