row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,1. Chỉ phí trả trước ngắn hạn,151,15,6.314.037.069,4.296.518.669,151.0,15.0,6314037069.0,4296518669.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,27.649.108.473,32.940.153.301,152.0,,27649108473.0,32940153301.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,,1.832.630.726,3.094.671.603,153.0,,1832630726.0,3094671603.0
B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,B - TÀI SẢN DÀI HẠN,200,,2.518.519.715.732,2.628.848.864.917,200.0,,2518519715732.0,2628848864917.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,1.404.000.000,1.031.500.000,210.0,,1404000000.0,1031500000.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,8,1.404.000.000,1.031.500.000,216.0,8.0,1404000000.0,1031500000.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,500.473.228.258,714.383.522.231,220.0,,500473228258.0,714383522231.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,12,401.334.450.656,523.670.853.483,221.0,12.0,401334450656.0,523670853483.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,868.368.669.934,1.113.989.879.905,222.0,,868368669934.0,1113989879905.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(467.034.219.278),(590.319.026.422),223.0,,-467034219278.0,-590319026422.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,13,99.138.777.602,190.712.668.748,227.0,13.0,99138777602.0,190712668748.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,105.884.298.537,199.214.216.361,228.0,,105884298537.0,199214216361.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(6.745.520.935),(8.501.547.613),229.0,,-6745520935.0,-8501547613.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,14,150.220.910.779,80.473.281.156,230.0,14.0,150220910779.0,80473281156.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,,167.467.407.005,84.672.504.853,231.0,,167467407005.0,84672504853.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,,(17.246.496.226),(4.199.223.697),232.0,,-17246496226.0,-4199223697.0
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,11,40.881.470.362,28.511.715.277,240.0,11.0,40881470362.0,28511715277.0
"1. Chỉ phí sản xuất, kinh doanh dở dang dài hạn","1. Chỉ phí sản xuất, kinh doanh dở dang dài hạn","1. Chỉ phí sản xuất, kinh doanh dở dang dài hạn",241,,13.089.459.280,9.826.030.450,241.0,,13089459280.0,9826030450.0
2. Chỉ phí xây dựng cơ bản dở dang,2. Chỉ phí xây dựng cơ bản dở dang,2. Chỉ phí xây dựng cơ bản dở dang,242,,27.792.011.082,18.685.684.827,242.0,,27792011082.0,18685684827.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,5,1.694.604.269.265,1.619.574.441.699,250.0,5.0,1694604269265.0,1619574441699.0
"1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết","1. Đầu tư vào công ty liên doanh, liên kết",252,,1.135.652.089.265,811.128.461.699,252.0,,1135652089265.0,811128461699.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,,25.952.180.000,25.952.180.000,253.0,,25952180000.0,25952180000.0
3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,3. Đầu tư nằm giữ đến ngày đáo hạn,255,,533.000.000.000,782.493.800.000,255.0,,533000000000.0,782493800000.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,19.286.689.958,25.288.350.007,260.0,,19286689958.0,25288350007.0
1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,1. Chỉ phí trả trước dài hạn,261,15,16.615.666.254,22.473.245.528,261.0,15.0,16615666254.0,22473245528.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,,2.671.023.704,2.815.104.479,262.0,,2671023704.0,2815104479.0
VII. Lợi thế thương mại,VII. Lợi thế thương mại,VII. Lợi thế thương mại,269,16,111.649.147.110,159.586.054.547,269.0,16.0,111649147110.0,159586054547.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,5.284.710.648.566,5.197.291.797.193,270.0,,5284710648566.0,5197291797193.0
