row_label_raw,row_label_full,CHỈ TIÊU,TM,Số dư đầu năm > Năm trước,Số dư đầu năm > Năm nay,Số tăng/ giảm trong kỳ > Năm trước > Tăng,Số tăng/ giảm trong kỳ > Năm trước > Giảm,Số tăng/ giảm trong kỳ > Năm nay > Tăng,Số tăng/ giảm trong kỳ > Năm nay > Giảm,Số dư cuối năm > Năm trước,Số dư cuối năm > Năm nay,numeric__TM,numeric__Số dư đầu năm > Năm trước,numeric__Số dư đầu năm > Năm nay,numeric__Số tăng/ giảm trong kỳ > Năm trước > Tăng,numeric__Số tăng/ giảm trong kỳ > Năm trước > Giảm,numeric__Số tăng/ giảm trong kỳ > Năm nay > Tăng,numeric__Số tăng/ giảm trong kỳ > Năm nay > Giảm,numeric__Số dư cuối năm > Năm trước,numeric__Số dư cuối năm > Năm nay
4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,1.5. Vốn khác của chủ sở hữu > 4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,,48.866.408.602,57.823.247.889,8.956.839.287,,11.894.836.861,,57.823.247.889,69.718.084.750,,48866408602.0,57823247889.0,8956839287.0,,11894836861.0,,57823247889.0,69718084750.0
5. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,5. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,5. Chênh lệch đánh giá lại tài sản theo giá trị hợp lý,,,,,,,,,,,,,,,,,,
6. Chênh lệch tỷ giá hối đoái,6. Chênh lệch tỷ giá hối đoái,6. Chênh lệch tỷ giá hối đoái,,,,,,,,,,,,,,,,,,
7. Các Quỹ khác thuộc vốn chủ sở hữu,7. Các Quỹ khác thuộc vốn chủ sở hữu,7. Các Quỹ khác thuộc vốn chủ sở hữu,,,,,,,,,,,,,,,,,,
8. Lợi nhuận chưa phân phối,7. Các Quỹ khác thuộc vốn chủ sở hữu > 8. Lợi nhuận chưa phân phối,8. Lợi nhuận chưa phân phối,,259.621.708.865,564.718.581.122,490.145.791.200,185.048.918.943,315.964.013.308,313.207.915.015,564.718.581.122,567.474.679.415,,259621708865.0,564718581122.0,490145791200.0,185048918943.0,315964013308.0,313207915015.0,564718581122.0,567474679415.0
8.1. Lợi nhuận sau thuế đã thực hiện (**),7. Các Quỹ khác thuộc vốn chủ sở hữu > 8.1. Lợi nhuận sau thuế đã thực hiện (**),8.1. Lợi nhuận sau thuế đã thực hiện (**),,259.540.156.789,312.553.706.851,237.896.737.210,184.883.187.148,192.811.344.619,211.539.646.443,312.553.706.851,293.825.405.027,,259540156789.0,312553706851.0,237896737210.0,184883187148.0,192811344619.0,211539646443.0,312553706851.0,293825405027.0
8.2. Lợi nhuận chưa thực hiện,7. Các Quỹ khác thuộc vốn chủ sở hữu > 8.2. Lợi nhuận chưa thực hiện,8.2. Lợi nhuận chưa thực hiện,,81.552.076,252.164.874.271,252.249.053.990,165.731.795,123.152.668.689,101.668.268.572,252.164.874.271,273.649.274.388,,81552076.0,252164874271.0,252249053990.0,165731795.0,123152668689.0,101668268572.0,252164874271.0,273649274388.0
Cộng,7. Các Quỹ khác thuộc vốn chủ sở hữu > Cộng,Cộng,,1.552.797.351.669,1.975.176.502.150,607.421.739.634,185.042.589.153,449.052.898.180,313.207.915.015,1.975.176.502.150,2.111.021.485.315,,1552797351669.0,1975176502150.0,607421739634.0,185042589153.0,449052898180.0,313207915015.0,1975176502150.0,2111021485315.0
II. Thu nhập toàn diện khác,II. Thu nhập toàn diện khác,II. Thu nhập toàn diện khác,,,,,,,,,,,,,,,,,,
Cộng,Cộng,Cộng,,,,,,,,,,,,,,,,,,
