row_label_raw,row_label_full,col_0,Mã số minh,Thuyết 2021 VND,2020 VND,numeric__Mã số minh,numeric__Thuyết 2021 VND,numeric__2020 VND
Biến động các khoản phải thu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu,Biến động các khoản phải thu,09,(228.569.399.361),347.143.086.136,9.0,-228569399361.0,347143086136.0
Biến động hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,(58.981.851.419),(85.598.090.483),10.0,-58981851419.0,-85598090483.0
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,(337.703.468.062),400.649.487.705,11.0,-337703468062.0,400649487705.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,25.631.554.748,30.284.842.156,12.0,25631554748.0,30284842156.0
,,,,(445.485.313.366),954.351.482.943,,-445485313366.0,954351482943.0
Tiền lãi vay đã trả,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,(104.588.408.329),(99.843.090.357),14.0,-104588408329.0,-99843090357.0
Thuế thu nhập doanh nghiệp đã nộp,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,(23.330.603.744),(24.418.131.091),15.0,-23330603744.0,-24418131091.0
Tiền chi khác cho hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,(1.484.095.268),(1.127.460.193),17.0,-1484095268.0,-1127460193.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(574.888.420.707),828.962.801.302,20.0,-574888420707.0,828962801302.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
Tiền chi mua sắm tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm tài sản cố định,Tiền chi mua sắm tài sản cố định,21,(24.901.318.883),(41.189.064.648),21.0,-24901318883.0,-41189064648.0
Tiền thu từ thanh lý tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý tài sản cố định,Tiền thu từ thanh lý tài sản cố định,22,4.980.572.163,14.769.937.075,22.0,4980572163.0,14769937075.0
Tiền chi gửi tiền gửi có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi gửi tiền gửi có kỳ hạn,Tiền chi gửi tiền gửi có kỳ hạn,23,(104.500.000.000),(44.000.000.000),23.0,-104500000000.0,-44000000000.0
Tiền thu tiền gửi có kỳ hạn,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu tiền gửi có kỳ hạn,Tiền thu tiền gửi có kỳ hạn,24,44.000.000.000,28.180.000.000,24.0,44000000000.0,28180000000.0
"Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia","Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia",27,8.911.263.192,11.711.532.982,27.0,8911263192.0,11711532982.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(71.509.483.528),(30.527.594.591),30.0,-71509483528.0,-30527594591.0
