row_label_raw,row_label_full,Bên cho vay > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Loại tiền > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Thuyết minh > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,31/12/2021 VND > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,1/1/2021 VND > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,numeric__Loại tiền > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,numeric__Thuyết minh > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,numeric__31/12/2021 VND > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,numeric__1/1/2021 VND > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,USD,(i),232.702.048.531,206.501.142.815,,,232702048531.0,206501142815.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh > ▪ Khoản vay 2,▪ Khoản vay 2,VND,(i),20.224.282.982,51.056.246.849,,,20224282982.0,51056246849.0
▪ Khoản vay 3,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh > ▪ Khoản vay 3,▪ Khoản vay 3,VND,(ii),118.570.200.000,-,,,118570200000.0,
▪ Khoản vay 4,Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh > ▪ Khoản vay 4,▪ Khoản vay 4,VND,(ii),19.165.060.000,-,,,19165060000.0,
Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,USD,(i),-,45.720.704.075,,,,45720704075.0
▪ Khoản vay 2,Ngân hàng Thương mại Cổ phần Hàng hải Việt Nam – Chi nhánh Hồ Chí Minh > ▪ Khoản vay 2,▪ Khoản vay 2,VND,(i),40.603.800.000,35.473.050.000,,,40603800000.0,35473050000.0
Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn,,,,
▪ Khoản vay 1,Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam – Chi nhánh Sài Gòn > ▪ Khoản vay 1,▪ Khoản vay 1,USD,(ii),52.692.480.000,-,,,52692480000.0,
Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh,,,,
▪ Khoản vay 1,Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh > ▪ Khoản vay 1,▪ Khoản vay 1,USD,(i),66.726.300.000,68.889.150.000,,,66726300000.0,68889150000.0
Ngân hàng Thương mại Cổ phần Tiên phong,Ngân hàng TNHH MTV Public Việt Nam – Chi nhánh Thành phố Hồ Chí Minh > Ngân hàng Thương mại Cổ phần Tiên phong,Ngân hàng Thương mại Cổ phần Tiên phong,USD,(v),58.148.040.000,-,,,58148040000.0,
