row_label_raw,row_label_full,TÀI SẢN,Mã số,Số đã báo cáo tại ngày 31/12/2014,Phân loại lại theo Thông tư 200,Số sau phân loại lại tại 31/12/2014,numeric__Mã số,numeric__Số đã báo cáo tại ngày 31/12/2014,numeric__Phân loại lại theo Thông tư 200,numeric__Số sau phân loại lại tại 31/12/2014
II. Các khoản đầu tư tài chính dài hạn,II. Các khoản đầu tư tài chính dài hạn,II. Các khoản đầu tư tài chính dài hạn,250,460.716.988.400,(65.000.000),460.651.988.400,250.0,460716988400.0,-65000000.0,460651988400.0
1. Đầu tư góp vốn vào đơn vị khác,1. Đầu tư góp vốn vào đơn vị khác,1. Đầu tư góp vốn vào đơn vị khác,253,460.716.988.400,(65.000.000),460.651.988.400,253.0,460716988400.0,-65000000.0,460651988400.0
NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,NGUỒN VỐN,,,,
C - NỘ PHẢI TRẢ,NGUỒN VỐN > C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,1.268.815.128.041,-,1.268.815.128.041,300.0,1268815128041.0,,1268815128041.0
I. Nợ ngắn hạn,NGUỒN VỐN > I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,1.131.686.128.041,-,1.131.686.128.041,310.0,1131686128041.0,,1131686128041.0
1. Vay và nợ ngắn hạn (*),NGUỒN VỐN > 1. Vay và nợ ngắn hạn (*),1. Vay và nợ ngắn hạn (*),311,1.131.686.128.041,(1.131.686.128.041),-,311.0,1131686128041.0,-1131686128041.0,
2. Vay ngắn hạn,NGUỒN VỐN > 2. Vay ngắn hạn,2. Vay ngắn hạn,320,-,1.131.686.128.041,1.131.686.128.041,320.0,,1131686128041.0,1131686128041.0
II. Nợ dài hạn,NGUỒN VỐN > II. Nợ dài hạn,II. Nợ dài hạn,330,137.129.000.000,-,137.129.000.000,330.0,137129000000.0,,137129000000.0
1. Vay và nợ dài hạn (*),NGUỒN VỐN > 1. Vay và nợ dài hạn (*),1. Vay và nợ dài hạn (*),337,137.129.000.000,(137.129.000.000),-,337.0,137129000000.0,-137129000000.0,
2. Vay dài hạn,NGUỒN VỐN > 2. Vay dài hạn,2. Vay dài hạn,338,-,137.129.000.000,137.129.000.000,338.0,,137129000000.0,137129000000.0
D - VỐN CHỦ SỐ HỮU,NGUỒN VỐN > D - VỐN CHỦ SỐ HỮU,D - VỐN CHỦ SỐ HỮU,400,232.805.050.783,-,232.805.050.783,400.0,232805050783.0,,232805050783.0
I. Vốn chủ sở hữu,NGUỒN VỐN > I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,232.805.050.783,-,232.805.050.783,410.0,232805050783.0,,232805050783.0
1. Quỹ dự phòng tài chính,NGUỒN VỐN > 1. Quỹ dự phòng tài chính,1. Quỹ dự phòng tài chính,415,66.734.153.783,(66.734.153.783),-,415.0,66734153783.0,-66734153783.0,
2. Quỹ đầu tư phát triển,NGUỒN VỐN > 2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,418,166.070.897.000,66.734.153.783,232.805.050.783,418.0,166070897000.0,66734153783.0,232805050783.0
