row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,7,17.980.777.493,5.995.509.424,216.0,7.0,17980777493.0,5995509424.0
2. Dự phòng phải thu dài hạn khó đòi,2. Dự phòng phải thu dài hạn khó đòi,2. Dự phòng phải thu dài hạn khó đòi,219,,(1.328.345.591),(1.478.345.591),219.0,,-1328345591.0,-1478345591.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,3.255.469.129.846,3.093.536.634.223,220.0,,3255469129846.0,3093536634223.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,12,3.099.833.313.088,2.932.247.837.849,221.0,12.0,3099833313088.0,2932247837849.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,6.219.991.980.040,5.331.305.627.432,222.0,,6219991980040.0,5331305627432.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(3.120.158.666.952),(2.399.057.789.583),223.0,,-3120158666952.0,-2399057789583.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,13,155.635.816.758,161.288.796.374,227.0,13.0,155635816758.0,161288796374.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,274.766.553.794,260.956.804.541,228.0,,274766553794.0,260956804541.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(119.130.737.036),(99.668.008.167),229.0,,-119130737036.0,-99668008167.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,214.179.694.896,217.795.128.330,240.0,,214179694896.0,217795128330.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,14,214.179.694.896,217.795.128.330,242.0,14.0,214179694896.0,217795128330.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,,6.000.000.000,7.352.439.050,250.0,,6000000000.0,7352439050.0
1. Đầu tư góp vốn vào đơn vị khác,1. Đầu tư góp vốn vào đơn vị khác,1. Đầu tư góp vốn vào đơn vị khác,253,6,9.684.980.000,11.040.000.000,253.0,6.0,9684980000.0,11040000000.0
2. Dự phòng đầu tư tài chính dài hạn,2. Dự phòng đầu tư tài chính dài hạn,2. Dự phòng đầu tư tài chính dài hạn,254,6,(3.684.980.000),(3.687.560.950),254.0,6.0,-3684980000.0,-3687560950.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,468.062.092.599,422.778.233.465,260.0,,468062092599.0,422778233465.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,10,414.733.143.912,352.740.507.591,261.0,10.0,414733143912.0,352740507591.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,,53.328.948.687,70.037.725.874,262.0,,53328948687.0,70037725874.0
VI. Lợi thế thương mại,VI. Lợi thế thương mại,VI. Lợi thế thương mại,269,,32.974.353.173,38.526.647.968,269.0,,32974353173.0,38526647968.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,,8.528.157.826.209,7.945.404.240.874,270.0,,8528157826209.0,7945404240874.0
