row_label_raw,row_label_full,col_0,Nhà xuǒng và vát kiěn trúc,Máy móc và thiết bị,Phuǒng tiēn vận tải,Thiết bị quản lý,Tài sản cố định khác,Tổng cộng,numeric__Nhà xuǒng và vát kiěn trúc,numeric__Máy móc và thiết bị,numeric__Phuǒng tiēn vận tải,numeric__Thiết bị quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,6.590.930.669,684.431.866.512,1.740.599.756,29.374.723.117,57.448.077,722.195.568.131,6590930669.0,684431866512.0,1740599756.0,29374723117.0,57448077.0,722195568131.0
Khảo hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khảo hao trong năm,Khảo hao trong năm,6.590.930.669,684.431.866.512,1.740.599.756,29.374.723.117,57.448.077,722.195.568.131,6590930669.0,684431866512.0,1740599756.0,29374723117.0,57448077.0,722195568131.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,131.715.906.415,(5.199.118.707),(113.389.954.340),(13.126.833.368),-,,131715906415.0,-5199118707.0,-113389954340.0,-13126833368.0,
Điều chỉnh khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chỉnh khác,Điều chỉnh khác,-,-,-,2.233.459.932,-,2.233.459.932,,,,2233459932.0,,2233459932.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,2.270.575.685,677.087.727,380.487.282,-,3.328.150.694,,2270575685.0,677087727.0,380487282.0,,3328150694.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,2.270.575.685,677.087.727,380.487.282,-,3.328.150.694,,2270575685.0,677087727.0,380487282.0,,3328150694.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,35.789.369.664,2.646.537.007.788,21.295.675.015,405.451.318.456,11.085.296.029,3.120.158.666.952,35789369664.0,2646537007788.0,21295675015.0,405451318456.0,11085296029.0,3120158666952.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,125.123.206.570,2.629.069.761.023,28.564.857.963,89.252.955.039,60.237.057.254,2.932.247.837.849,125123206570.0,2629069761023.0,28564857963.0,89252955039.0,60237057254.0,2932247837849.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,118.532.275.901,2.870.191.393.153,26.824.258.207,69.534.948.233,14.750.437.594,3.099.833.313.088,118532275901.0,2870191393153.0,26824258207.0,69534948233.0,14750437594.0,3099833313088.0
