row_label_raw,row_label_full,col_0,Notes,31/12/2018VND million,31/12/2017VND million,numeric__Notes,numeric__31/12/2018VND million,numeric__31/12/2017VND million
Dự phòng rủi ro hoạt động mua nợ,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,10,(898),(514),10.0,-898.0,-514.0
Chứng khoán đầu tư,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Chứng khoán đầu tư,Chứng khoán đầu tư,11,28.577.760,25.609.896,11.0,28577760.0,25609896.0
Chứng khoán đầu tư sẵn sàng để bán,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,,28.676.423,24.893.365,,28676423.0,24893365.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,,42.380,1.570.470,,42380.0,1570470.0
Dự phòng rủi ro chứng khoán đầu tư,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,,(141.043),(853.939),,-141043.0,-853939.0
"Góp vốn, đầu tư dài hạn","Các công cụ tài chính phải sinh và các tài sản tài chính khác > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",12,114.799,113.947,12.0,114799.0,113947.0
Đầu tư dài hạn khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,185.274,185.259,,185274.0,185259.0
Dự phòng giảm giá đầu tư dài hạn,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(70.475),(71.312),,-70475.0,-71312.0
Tài sản cố định,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Tài sản cố định,Tài sản cố định,13,350.758,369.709,13.0,350758.0,369709.0
Tài sản cố định hữu hình,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Tài sản cố định hữu hình,Tài sản cố định hữu hình,13.1,195.020,219.617,131.0,195020.0,219617.0
Nguyên giá tài sản cố định,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,581.930,553.033,,581930.0,553033.0
Khẩu hao tài sản cố định,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(386.910),(333.416),,-386910.0,-333416.0
Tài sản cố định vô hình,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Tài sản cố định vô hình,Tài sản cố định vô hình,13.2,155.738,150.092,132.0,155738.0,150092.0
Nguyên giá tài sản cố định,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,325.770,284.562,,325770.0,284562.0
Hao mòn tài sản cố định,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(170.032),(134.470),,-170032.0,-134470.0
Bất động sản đầu tư,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Bất động sản đầu tư,Bất động sản đầu tư,,-,16.403,,,16403.0
Nguyên giá bất động sản đầu tư,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Nguyên giá bất động sản đầu tư,Nguyên giá bất động sản đầu tư,,-,16.403,,,16403.0
Tài sản Có khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Tài sản Có khác,Tài sản Có khác,14,2.455.993,2.295.103,14.0,2455993.0,2295103.0
Các khoản phải thu,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Các khoản phải thu,Các khoản phải thu,,611.478,662.308,,611478.0,662308.0
"Các khoản lãi, phí phải thu","Các công cụ tài chính phải sinh và các tài sản tài chính khác > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,1.404.848,1.124.648,,1404848.0,1124648.0
Tài sản thuế thu nhập hoãn lại,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,127,76,,127.0,76.0
Tài sản Có khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác > Tài sản Có khác,Tài sản Có khác,,439.540,508.071,,439540.0,508071.0
TỔNG TÀI SẢN,Các công cụ tài chính phải sinh và các tài sản tài chính khác > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,139.166.216,123.159.117,,139166216.0,123159117.0
