row_label_raw,row_label_full,col_0,Miền BắcTriệu đồng,Miền TrungTriệu đồng,Miền NamTriệu đồng,Tổng bộ phânđã báo cáoTriệu đồng,Loại trừTriệu đồng,Tổng cộngTriệu đồng,numeric__Miền BắcTriệu đồng,numeric__Miền TrungTriệu đồng,numeric__Miền NamTriệu đồng,numeric__Tổng bộ phânđã báo cáoTriệu đồng,numeric__Loại trừTriệu đồng,numeric__Tổng cộngTriệu đồng
Tiền mặt và vàng,TÀI SẢN > Tiền mặt và vàng,Tiền mặt và vàng,272.931,257.895,1.595.037,2.125.863,-,2.125.863,272931.0,257895.0,1595037.0,2125863.0,,2125863.0
Tiền gửi tại và cho vay NHNN Việt Namvà các TCTD khác,TÀI SẢN > Tiền gửi tại và cho vay NHNN Việt Namvà các TCTD khác,Tiền gửi tại và cho vay NHNN Việt Namvà các TCTD khác,26.956,11.535,31.592.852,31.631.343,-,31.631.343,26956.0,11535.0,31592852.0,31631343.0,,31631343.0
Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,Các công cụ tài chính phải sinh vàcác tài sản tài chính khác,-,-,120.182,120.182,-,120.182,,,120182.0,120182.0,,120182.0
Cho vay khách hàng - gộp,TÀI SẢN > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,13.878.984,18.787.598,97.839.032,130.505.614,-,130.505.614,13878984.0,18787598.0,97839032.0,130505614.0,,130505614.0
Đầu tư - gộp,TÀI SẢN > Đầu tư - gộp,Đầu tư - gộp,-,-,16.518.725,16.518.725,-,16.518.725,,,16518725.0,16518725.0,,16518725.0
Tải sản cố định,TÀI SẢN > Tải sản cố định,Tải sản cố định,16.792,8.328,3.222.033,3.247.153,-,3.247.153,16792.0,8328.0,3222033.0,3247153.0,,3247153.0
Tải sản cố khác - gộp,TÀI SẢN > Tải sản cố khác - gộp,Tải sản cố khác - gộp,20.046.560,121.669,2.824.216,22.992.445,(19.912.862),3.079.583,20046560.0,121669.0,2824216.0,22992445.0,-19912862.0,3079583.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,34.242.223,19.187.025,153.712.077,207.141.325,(19.912.862),187.228.463,34242223.0,19187025.0,153712077.0,207141325.0,-19912862.0,187228463.0
Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,,,,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ PHẢI TRẢ > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,24.261,24.261,-,24.261,,,24261.0,24261.0,,24261.0
Tiền gửi và vay các TCTD khác,Nợ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,149,2.208,11.890.669,11.893.026,-,11.893.026,149.0,2208.0,11890669.0,11893026.0,,11893026.0
Tiền gửi của khách hàng,Nợ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,32.774.898,10.609.324,105.429.794,148.814.016,-,148.814.016,32774898.0,10609324.0,105429794.0,148814016.0,,148814016.0
Nợ phải trả khác,Nợ PHẢI TRẢ > Nợ phải trả khác,Nợ phải trả khác,632.631,8.049.094,15.363.851,24.045.576,(19.912.862),4.132.714,632631.0,8049094.0,15363851.0,24045576.0,-19912862.0,4132714.0
TỔNG Nợ PHẢI TRẢ,Nợ PHẢI TRẢ > TỔNG Nợ PHẢI TRẢ,TỔNG Nợ PHẢI TRẢ,33.407.678,18.660.626,132.708.575,184.776.879,(19.912.862),164.864.017,33407678.0,18660626.0,132708575.0,184776879.0,-19912862.0,164864017.0
